Name,Quality,ShelfSize
Amazon East,        1,  10
Amazon West,        1,  10
Google Drive,       1,  10
OneDrive Vanilla,   1,  10
AWS Euro Vanilla,   1,  10
Amazon East Plus,   1,  10
Amazon West Plus,   1,  10
Google Drive Plus,  1,  10
OneDrive  Plus,     1,  10
AWS Euro  Plus,     1,  10
Amazon East Premium,    1,  10
Amazon West Premium,    1,  10
Google Drive Premium,   1,  10
OneDrive  Premium,      1,  10
AWS Euro  Premium,      1,  10
Amazon East Super Duper,1,10
Amazon West Super Duper,1,10
Google Drive Super Duper,1,10
OneDrive  Super Duper,1,10
AWS Euro  Super Duper,1,10
Amazon East Platinum,1,10
Amazon West Platinum,1,10
Google Drive Platinum,1,10
OneDrive  Platinum,1,10
AWS Euro  Platinum,1,10
Yet Another 1,1,10
Yet Another 2,1,10
Yet Another 3,1,10
Yet Another 4,1,10
Yet Another 5,1,10
