timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150619_171959 5 1 1 30 100000 919028296 169 10000 9831 0 0 169 0 0 0 0 0 0 0 0 100 0 0 0 1.893 0.312 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed919028296.log 91335 q3-extractinstructions.txt 20150619_172007 0.5 5582f88c776839292828b05d
20150619_172004 5 1 1 30 100000 103765041 163 10000 9837 0 0 163 0 0 0 0 0 0 0 0 100 0 0 0 1.879 0.265 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed103765041.log 87249 q3-extractinstructions.txt 20150619_172012 0.5 5582f88c776839292828b05e
20150619_172009 5 1 1 30 100000 141246882 142 10000 9858 0 0 142 0 0 0 0 0 0 0 0 100 0 0 0 1.820 0.249 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed141246882.log 77393 q3-extractinstructions.txt 20150619_172017 0.5 5582f88c776839292828b05f
20150619_172014 5 1 1 30 100000 681028781 154 10000 9846 0 0 154 0 0 0 0 0 0 0 0 100 0 0 0 1.858 0.296 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed681028781.log 83594 q3-extractinstructions.txt 20150619_172022 0.5 5582f88c776839292828b060
20150619_172020 5 1 1 30 100000 117661523 158 10000 9842 0 0 158 0 0 0 0 0 0 0 0 100 0 0 0 1.869 0.312 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed117661523.log 84820 q3-extractinstructions.txt 20150619_172027 0.5 5582f88c776839292828b061
20150619_172025 5 1 1 30 100000 105731136 160 10000 9840 0 0 160 0 0 0 0 0 0 0 0 100 0 0 0 1.861 0.312 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed105731136.log 85788 q3-extractinstructions.txt 20150619_172032 0.5 5582f88c776839292828b062
20150619_172030 5 1 1 30 100000 967561224 169 10000 9831 0 0 169 0 0 0 0 0 0 0 0 100 0 0 0 1.917 0.359 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed967561224.log 90186 q3-extractinstructions.txt 20150619_172037 0.5 5582f88c776839292828b063
20150619_172035 5 1 1 30 100000 420477893 167 10000 9833 0 0 167 0 0 0 0 0 0 0 0 100 0 0 0 1.919 0.218 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed420477893.log 89993 q3-extractinstructions.txt 20150619_172042 0.5 5582f88c776839292828b064
20150619_172040 5 1 1 30 100000 263688301 148 10000 9852 0 0 148 0 0 0 0 0 0 0 0 100 0 0 0 1.871 0.296 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed263688301.log 79929 q3-extractinstructions.txt 20150619_172048 0.5 5582f88c776839292828b065
20150619_172045 5 1 1 30 100000 50746969 163 10000 9837 0 0 163 0 0 0 0 0 0 0 0 100 0 0 0 1.932 0.344 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed50746969.log 88602 q3-extractinstructions.txt 20150619_172053 0.5 5582f88c776839292828b066
20150619_172050 5 1 1 30 100000 533657980 179 10000 9821 0 0 179 0 0 0 0 0 0 0 0 100 0 0 0 2.158 0.359 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed533657980.log 96037 q3-extractinstructions.txt 20150619_172058 0.5 5582f88c776839292828b067
20150619_172055 5 1 1 30 100000 711283608 159 10000 9841 0 0 159 0 0 0 0 0 0 0 0 100 0 0 0 1.917 0.25 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed711283608.log 85679 q3-extractinstructions.txt 20150619_172103 0.5 5582f88c776839292828b068
20150619_172100 5 1 1 30 100000 597296547 167 10000 9833 0 0 167 0 0 0 0 0 0 0 0 100 0 0 0 1.897 0.28 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed597296547.log 89199 q3-extractinstructions.txt 20150619_172108 0.5 5582f88c776839292828b069
