timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150516_193441 50 1 3 100000 919028296 8236 10000 1764 0 0 8236 9 10000 1 0 0 0 8236 1000 50 0 100 63 79.205 47.019 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed919028296.log 5937147 q3-extractinstructions.txt 20150516_193706 0.5 554fe3d177683917c0ab3330
20150516_193446 50 1 3 100000 103765041 8272 10000 1728 0 0 8272 9 10000 1 0 0 0 8272 1000 50 0 100 56 78.375 47.83 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed103765041.log 5958219 q3-extractinstructions.txt 20150516_193711 0.5 554fe3d177683917c0ab3331
20150516_193451 50 1 3 100000 141246882 8254 10000 1746 0 0 8254 9 10000 1 0 0 0 8254 1000 50 0 100 56 79.271 49.593 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed141246882.log 5948420 q3-extractinstructions.txt 20150516_193718 0.5 554fe3d177683917c0ab3332
20150516_193456 50 1 3 100000 681028781 8303 10000 1697 0 0 8303 9 10000 1 0 0 0 8303 1000 50 0 100 76 81.570 49.78 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed681028781.log 5991750 q3-extractinstructions.txt 20150516_193727 0.5 554fe3d177683917c0ab3333
20150516_193507 50 1 3 100000 105731136 8326 10000 1674 0 0 8326 9 10000 1 0 0 0 8326 1000 50 0 100 55 81.329 49.749 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed105731136.log 5994750 q3-extractinstructions.txt 20150516_193737 0.5 554fe3d177683917c0ab3335
20150516_193501 50 1 3 100000 117661523 8287 10000 1713 0 0 8287 9 10000 1 0 0 0 8287 1000 50 0 100 59 86.884 50.373 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed117661523.log 5971969 q3-extractinstructions.txt 20150516_193737 0.5 554fe3d177683917c0ab3334
20150516_193512 50 1 3 100000 967561224 8299 10000 1701 0 0 8299 9 10000 1 0 0 0 8299 1000 50 0 100 73 80.831 49.874 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed967561224.log 5976468 q3-extractinstructions.txt 20150516_193745 0.5 554fe3d177683917c0ab3336
20150516_193517 50 1 3 100000 420477893 8310 10000 1690 0 0 8310 9 10000 1 0 0 0 8310 1000 50 0 100 66 81.457 48.017 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed420477893.log 5989056 q3-extractinstructions.txt 20150516_193749 0.5 554fe3d177683917c0ab3337
20150516_193613 50 1 3 100000 263688301 8373 10000 1627 0 0 8373 9 10000 1 0 0 0 8373 1000 50 0 100 88 99.727 50.014 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed263688301.log 6036444 q3-extractinstructions.txt 20150516_193902 0.5 554fe3d177683917c0ab3338
20150516_193628 50 1 3 100000 50746969 8279 10000 1721 0 0 8279 9 10000 1 0 0 0 8279 1000 50 0 100 64 103.449 47.767 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed50746969.log 5971418 q3-extractinstructions.txt 20150516_193919 0.5 554fe3d177683917c0ab3339
20150516_193735 50 1 3 100000 533657980 8243 10000 1757 0 0 8243 9 10000 1 0 0 0 8243 1000 50 0 100 58 82.171 47.721 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf1000i50d0m100_seed533657980.log 5943780 q3-extractinstructions.txt 20150516_194005 0.5 554fe3d177683917c0ab333a
20150516_193739 50 2 3 100000 919028296 2419 10000 260 8873 0 2419 9 10000 1 22089 22089 0 2208 1000 50 0 100 144 208.471 121.322 ../q3/./log/doc50cop2lif3_af10000s1tTOTAL_gf1000i50d0m100_seed919028296.log 18727495 q3-extractinstructions.txt 20150516_194334 0.5 554fe3d177683917c0ab333b
20150516_193754 50 2 3 100000 103765041 2402 10000 270 8847 0 2402 9 10000 1 21932 21932 0 2209 1000 50 0 100 124 206.005 121.509 ../q3/./log/doc50cop2lif3_af10000s1tTOTAL_gf1000i50d0m100_seed103765041.log 18627213 q3-extractinstructions.txt 20150516_194347 0.5 554fe3d177683917c0ab333c
20150516_193805 50 2 3 100000 681028781 2372 10000 274 8905 0 2372 9 10000 1 22191 22191 0 2163 1000 50 0 100 143 210.918 121.822 ../q3/./log/doc50cop2lif3_af10000s1tTOTAL_gf1000i50d0m100_seed681028781.log 18760556 q3-extractinstructions.txt 20150516_194405 0.5 554fe3d177683917c0ab333e
