timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150515_023042 50 1 3 100000 919028296 8107 10000 1893 0 0 8107 9 10000 1 0 0 0 8107 0 10 0 0 0 61.722 37.112 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed919028296.log 5825467 q3-extractinstructions.txt 20150515_023219 0.5 554fe34577683917c0a324b0
20150515_023047 50 1 3 100000 103765041 8104 10000 1896 0 0 8104 9 10000 1 0 0 0 8104 0 10 0 0 0 65.076 38.672 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed103765041.log 5817626 q3-extractinstructions.txt 20150515_023227 0.5 554fe34577683917c0a324b1
20150515_023052 50 1 3 100000 141246882 8123 10000 1877 0 0 8123 9 10000 1 0 0 0 8123 0 10 0 0 0 65.438 39.702 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed141246882.log 5832787 q3-extractinstructions.txt 20150515_023234 0.5 554fe34577683917c0a324b2
20150515_023057 50 1 3 100000 681028781 8160 10000 1840 0 0 8160 9 10000 1 0 0 0 8159 0 10 0 0 0 67.122 41.246 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed681028781.log 5863090 q3-extractinstructions.txt 20150515_023242 0.5 554fe34577683917c0a324b3
20150515_023103 50 1 3 100000 117661523 8062 10000 1938 0 0 8062 9 10000 1 0 0 0 8062 0 10 0 0 0 67.662 41.636 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed117661523.log 5780805 q3-extractinstructions.txt 20150515_023248 0.5 554fe34577683917c0a324b4
20150515_023108 50 1 3 100000 105731136 8146 10000 1854 0 0 8146 9 10000 1 0 0 0 8146 0 10 0 0 0 79.101 43.929 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed105731136.log 5846520 q3-extractinstructions.txt 20150515_023308 0.5 554fe34577683917c0a324b5
20150515_023113 50 1 3 100000 967561224 8160 10000 1840 0 0 8160 9 10000 1 0 0 0 8160 0 10 0 0 0 75.006 44.087 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed967561224.log 5852465 q3-extractinstructions.txt 20150515_023309 0.5 554fe34577683917c0a324b6
20150515_023118 50 1 3 100000 420477893 8116 10000 1884 0 0 8116 9 10000 1 0 0 0 8116 0 10 0 0 0 73.631 44.102 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed420477893.log 5824676 q3-extractinstructions.txt 20150515_023313 0.5 554fe34577683917c0a324b7
20150515_023234 50 1 3 100000 263688301 8140 10000 1860 0 0 8140 9 10000 1 0 0 0 8140 0 10 0 0 0 82.268 50.404 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed263688301.log 5847938 q3-extractinstructions.txt 20150515_023433 0.5 554fe34577683917c0a324b8
20150515_023239 50 1 3 100000 50746969 8138 10000 1862 0 0 8138 9 10000 1 0 0 0 8138 0 10 0 0 0 81.326 50.341 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed50746969.log 5841246 q3-extractinstructions.txt 20150515_023436 0.5 554fe34577683917c0a324b9
20150515_023245 50 1 3 100000 533657980 8126 10000 1874 0 0 8126 9 10000 1 0 0 0 8126 0 10 0 0 0 79.712 49.999 ../q3/./log/doc50cop1lif3_af10000s1tTOTAL_gf0i10d0m0_seed533657980.log 5838460 q3-extractinstructions.txt 20150515_023440 0.5 554fe34577683917c0a324ba
