timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150517_232416 50 1 3 100000 919028296 8236 10000 1764 0 0 8236 99 1000 1 0 0 0 8236 1000 50 0 100 63 133.252 105.097 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed919028296.log 6040866 q3-extractinstructions.txt 20150517_232711 0.5 554fe3d077683917c0ab28e0
20150517_232421 50 1 3 100000 103765041 8272 10000 1728 0 0 8272 99 1000 1 0 0 0 8272 1000 50 0 100 56 133.045 104.007 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed103765041.log 6062004 q3-extractinstructions.txt 20150517_232716 0.5 554fe3d077683917c0ab28e1
20150517_232427 50 1 3 100000 141246882 8254 10000 1746 0 0 8254 99 1000 1 0 0 0 8254 1000 50 0 100 56 136.077 106.486 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed141246882.log 6052399 q3-extractinstructions.txt 20150517_232723 0.5 554fe3d077683917c0ab28e2
20150517_232432 50 1 3 100000 681028781 8303 10000 1697 0 0 8303 99 1000 1 0 0 0 8303 1000 50 0 100 76 141.407 109.17 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed681028781.log 6095347 q3-extractinstructions.txt 20150517_232733 0.5 554fe3d077683917c0ab28e3
20150517_232437 50 1 3 100000 117661523 8287 10000 1713 0 0 8287 99 1000 1 0 0 0 8287 1000 50 0 100 59 144.653 110.215 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed117661523.log 6075776 q3-extractinstructions.txt 20150517_232741 0.5 554fe3d077683917c0ab28e4
20150517_232442 50 1 3 100000 105731136 8326 10000 1674 0 0 8326 99 1000 1 0 0 0 8326 1000 50 0 100 55 141.341 110.713 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed105731136.log 6098723 q3-extractinstructions.txt 20150517_232743 0.5 554fe3d077683917c0ab28e5
20150517_232447 50 1 3 100000 967561224 8299 10000 1701 0 0 8299 99 1000 1 0 0 0 8299 1000 50 0 100 73 142.453 111.743 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed967561224.log 6080287 q3-extractinstructions.txt 20150517_232749 0.5 554fe3d077683917c0ab28e6
20150517_232453 50 1 3 100000 420477893 8310 10000 1690 0 0 8310 99 1000 1 0 0 0 8310 1000 50 0 100 66 143.030 110.401 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed420477893.log 6092957 q3-extractinstructions.txt 20150517_232754 0.5 554fe3d077683917c0ab28e7
20150517_232639 50 1 3 100000 263688301 8373 10000 1627 0 0 8373 99 1000 1 0 0 0 8373 1000 50 0 100 88 143.108 107.235 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed263688301.log 6140405 q3-extractinstructions.txt 20150517_232944 0.5 554fe3d077683917c0ab28e8
20150517_232734 50 1 3 100000 50746969 8279 10000 1721 0 0 8279 99 1000 1 0 0 0 8279 1000 50 0 100 64 139.635 105.691 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf1000i50d0m100_seed50746969.log 6075285 q3-extractinstructions.txt 20150517_233037 0.5 554fe3d077683917c0ab28e9
