timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170920_142758 50 1 3 10 100000 919028296 0 10000 3548 6437 38 0 99 1000 1 10239 10165 74 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 263.793 257.080142 ../audit/frequency/log/doc50cop3shlf1lif10_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 6739432 hl-extractinstructions.txt 20170920_143327 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 bdbfd4929bc6838d7b9bb4187ef4acc03a1d9bb9_1
20170920_142800 50 1 3 10 100000 141246882 0 10000 3576 6410 49 0 99 1000 1 10174 10076 98 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 268.215 261.580284 ../audit/frequency/log/doc50cop3shlf1lif10_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 6712849 hl-extractinstructions.txt 20170920_143334 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 bdbfd4929bc6838d7b9bb4187ef4acc03a1d9bb9_3
20170920_142759 50 1 3 10 100000 103765041 0 10000 3554 6428 34 0 99 1000 1 10256 10188 68 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 269.978 263.676289 ../audit/frequency/log/doc50cop3shlf1lif10_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 6747418 hl-extractinstructions.txt 20170920_143336 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 bdbfd4929bc6838d7b9bb4187ef4acc03a1d9bb9_2
20170920_142823 50 1 3 20 100000 681028781 0 10000 5920 4074 9 0 99 1000 1 5156 5138 18 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 274.878 268.215281 ../audit/frequency/log/doc50cop3shlf1lif20_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 3708868 hl-extractinstructions.txt 20170920_143341 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 083c2053a5f200bcc9330dbce20f8cb3a2576dd3_4
20170920_142801 50 1 3 10 100000 681028781 0 10000 3574 6413 39 0 99 1000 1 10241 10165 76 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 272.630 266.254695 ../audit/frequency/log/doc50cop3shlf1lif10_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 6742030 hl-extractinstructions.txt 20170920_143341 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 bdbfd4929bc6838d7b9bb4187ef4acc03a1d9bb9_4
20170920_142820 50 1 3 20 100000 919028296 0 10000 6007 3983 15 0 99 1000 1 5088 5058 30 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 279.609 272.780797 ../audit/frequency/log/doc50cop3shlf1lif20_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 3666504 hl-extractinstructions.txt 20170920_143342 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 083c2053a5f200bcc9330dbce20f8cb3a2576dd3_1
20170920_142802 50 1 3 10 100000 117661523 0 10000 3502 6488 31 0 99 1000 1 10223 10163 60 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 273.087 266.420308 ../audit/frequency/log/doc50cop3shlf1lif10_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 6728767 hl-extractinstructions.txt 20170920_143343 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 bdbfd4929bc6838d7b9bb4187ef4acc03a1d9bb9_5
20170920_142803 50 1 3 10 100000 105731136 0 10000 3573 6420 24 0 99 1000 1 10181 10133 48 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 273.210 266.872527 ../audit/frequency/log/doc50cop3shlf1lif10_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 6706704 hl-extractinstructions.txt 20170920_143343 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 bdbfd4929bc6838d7b9bb4187ef4acc03a1d9bb9_6
20170920_142821 50 1 3 20 100000 103765041 0 10000 5946 4052 6 0 99 1000 1 5189 5177 12 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 279.812 273.001007 ../audit/frequency/log/doc50cop3shlf1lif20_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 3720788 hl-extractinstructions.txt 20170920_143344 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 083c2053a5f200bcc9330dbce20f8cb3a2576dd3_2
20170920_142824 50 1 3 20 100000 117661523 0 10000 5969 4029 6 0 99 1000 1 5141 5129 12 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 278.896 272.383355 ../audit/frequency/log/doc50cop3shlf1lif20_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 3689486 hl-extractinstructions.txt 20170920_143344 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.024 083c2053a5f200bcc9330dbce20f8cb3a2576dd3_5
