timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180826_014444 50 1 3 2 100000 919028296 3404 10000 57 5485 5402 3404 1 50000 5 UNIFORM 15866 6463 9402 1937 0 0 0 0 0 0 0 0 0 0 2 0 0 0 15.978 15.127751 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 20323 hl-extractinstructions.txt 20180826_014530 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_1
20180826_014445 50 1 3 2 100000 103765041 3394 10000 69 5634 5249 3394 1 50000 5 UNIFORM 15594 6630 8963 1885 0 0 0 0 0 0 0 0 0 0 2 0 0 0 16.208 15.325091 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 20323 hl-extractinstructions.txt 20180826_014531 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_2
20180826_014446 50 1 3 2 100000 141246882 3486 10000 61 5543 5240 3486 1 50000 5 UNIFORM 15638 6563 9074 1979 0 0 0 0 0 0 0 0 0 0 2 0 0 0 16.853 15.949902 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 20323 hl-extractinstructions.txt 20180826_014533 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_3
20180826_014447 50 1 3 2 100000 681028781 3455 10000 57 5491 5216 3455 1 50000 5 UNIFORM 15572 6630 8941 1962 0 0 0 0 0 0 0 0 0 0 2 0 0 0 17.192 16.15531 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 20321 hl-extractinstructions.txt 20180826_014534 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_4
20180826_014448 50 1 3 2 100000 117661523 3381 10000 50 5479 5358 3381 1 50000 5 UNIFORM 15836 6484 9351 1909 0 0 0 0 0 0 0 0 0 0 2 0 0 0 16.890 16.006039 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 20323 hl-extractinstructions.txt 20180826_014535 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_5
20180826_014449 50 1 3 2 100000 105731136 3373 10000 53 5548 5440 3373 1 50000 5 UNIFORM 15880 6590 9289 1905 0 0 0 0 0 0 0 0 0 0 2 0 0 0 16.986 16.029353 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 20323 hl-extractinstructions.txt 20180826_014536 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_6
20180826_014450 50 1 3 2 100000 967561224 3327 10000 65 5627 5376 3327 1 50000 5 UNIFORM 15811 6549 9261 1822 0 0 0 0 0 0 0 0 0 0 2 0 0 0 17.654 16.649173 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 20323 hl-extractinstructions.txt 20180826_014537 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_7
20180826_014453 50 1 3 2 100000 50746969 3458 10000 60 5529 5313 3458 1 50000 5 UNIFORM 15747 6507 9239 1943 0 0 0 0 0 0 0 0 0 0 2 0 0 0 17.120 16.18735 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 20320 hl-extractinstructions.txt 20180826_014540 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_10
20180826_014451 50 1 3 2 100000 420477893 3277 10000 52 5549 5412 3277 1 50000 5 UNIFORM 15737 6596 9140 1817 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.250 18.32661 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 20321 hl-extractinstructions.txt 20180826_014540 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_8
20180826_014452 50 1 3 2 100000 263688301 3377 10000 67 5507 5331 3377 1 50000 5 UNIFORM 15543 6407 9135 1927 0 0 0 0 0 0 0 0 0 0 2 0 0 0 18.449 17.412149 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 20323 hl-extractinstructions.txt 20180826_014540 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 27b9078e9dd453e9b2994352a4bf3c66b4a61bfc_9
