timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180826_022801 50 1 3 2 100000 919028296 2922 10000 59 6389 6013 2922 1 50000 5 SYSTEMATIC 19494 6583 12910 2532 0 0 0 0 0 0 0 0 0 0 2 0 0 0 16.792 15.910406 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 20331 hl-extractinstructions.txt 20180826_022848 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_1
20180826_022804 50 1 3 2 100000 681028781 3009 10000 47 6200 5879 3009 1 50000 5 SYSTEMATIC 19071 6492 12578 2609 0 0 0 0 0 0 0 0 0 0 2 0 0 0 16.805 15.942507 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 20331 hl-extractinstructions.txt 20180826_022851 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_4
20180826_022803 50 1 3 2 100000 141246882 3034 10000 60 6242 5995 3034 1 50000 5 SYSTEMATIC 19380 6418 12961 2629 0 0 0 0 0 0 0 0 0 0 2 0 0 0 18.222 17.320376 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 20331 hl-extractinstructions.txt 20180826_022852 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_3
20180826_022805 50 1 3 2 100000 117661523 2972 10000 54 6326 6046 2972 1 50000 5 SYSTEMATIC 19447 6506 12940 2560 0 0 0 0 0 0 0 0 0 0 2 0 0 0 17.571 16.678904 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 20331 hl-extractinstructions.txt 20180826_022853 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_5
20180826_022802 50 1 3 2 100000 103765041 2881 10000 54 6347 6086 2881 1 50000 5 SYSTEMATIC 19563 6474 13088 2460 0 0 0 0 0 0 0 0 0 0 2 0 0 0 20.882 20.002971 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 20331 hl-extractinstructions.txt 20180826_022853 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_2
20180826_022806 50 1 3 2 100000 105731136 2942 10000 44 6387 5971 2942 1 50000 5 SYSTEMATIC 19401 6547 12853 2572 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.465 18.523475 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 20331 hl-extractinstructions.txt 20180826_022856 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_6
20180826_022809 50 1 3 2 100000 420477893 2899 10000 43 6307 6145 2899 1 50000 5 SYSTEMATIC 19790 6517 13272 2501 0 0 0 0 0 0 0 0 0 0 2 0 0 0 18.197 17.154562 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 20331 hl-extractinstructions.txt 20180826_022857 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_8
20180826_022808 50 1 3 2 100000 967561224 2876 10000 55 6379 6121 2876 1 50000 5 SYSTEMATIC 19627 6517 13109 2447 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.458 18.399104 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 20331 hl-extractinstructions.txt 20180826_022857 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_7
20180826_022811 50 1 3 2 100000 50746969 2902 10000 46 6380 6038 2902 1 50000 5 SYSTEMATIC 19404 6564 12839 2487 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.232 18.186286 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 20330 hl-extractinstructions.txt 20180826_022900 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_10
20180826_022810 50 1 3 2 100000 263688301 2978 10000 65 6283 5973 2978 1 50000 5 SYSTEMATIC 19404 6452 12951 2611 0 0 0 0 0 0 0 0 0 0 2 0 0 0 22.939 21.729872 ../hl201808/FIVEYEARRANDOM/log/doc50cop3shlf1lif2_af50000s5tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 20331 hl-extractinstructions.txt 20180826_022903 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 7129b7a55c626f0c0f3d384fc7a62647eb4f9db2_9
