timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180825_194359 50 1 1 2 100000 919028296 8194 10000 1806 0 0 8194 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.698 3.240989 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 18472 hl-extractinstructions.txt 20180825_194433 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_1
20180825_194400 50 1 1 2 100000 103765041 8219 10000 1781 0 0 8219 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.666 3.211559 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 18472 hl-extractinstructions.txt 20180825_194434 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_2
20180825_194401 50 1 1 2 100000 141246882 8202 10000 1798 0 0 8202 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.725 3.265278 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 18472 hl-extractinstructions.txt 20180825_194435 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_3
20180825_194402 50 1 1 2 100000 681028781 8265 10000 1735 0 0 8265 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.780 3.316207 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 18472 hl-extractinstructions.txt 20180825_194436 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_4
20180825_194404 50 1 1 2 100000 117661523 8217 10000 1783 0 0 8217 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.720 3.263298 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 18472 hl-extractinstructions.txt 20180825_194437 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_5
20180825_194405 50 1 1 2 100000 105731136 8256 10000 1744 0 0 8256 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.693 3.238836 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 18472 hl-extractinstructions.txt 20180825_194438 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_6
20180825_194406 50 1 1 2 100000 967561224 8203 10000 1797 0 0 8203 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4.254 3.789105 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 18472 hl-extractinstructions.txt 20180825_194440 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_7
20180825_194407 50 1 1 2 100000 420477893 8299 10000 1701 0 0 8299 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.758 3.302127 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 18472 hl-extractinstructions.txt 20180825_194440 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_8
20180825_194408 50 1 1 2 100000 263688301 8174 10000 1826 0 0 8174 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4.286 3.821636 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 18472 hl-extractinstructions.txt 20180825_194442 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_9
20180825_194409 50 1 1 2 100000 50746969 8237 10000 1763 0 0 8237 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.746 3.285191 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 18471 hl-extractinstructions.txt 20180825_194442 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_10
20180825_194410 50 1 1 2 100000 533657980 8240 10000 1760 0 0 8240 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.726 3.267815 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed533657980.log 18473 hl-extractinstructions.txt 20180825_194443 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_11
20180825_194411 50 1 1 2 100000 711283608 8230 10000 1770 0 0 8230 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.747 3.291321 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed711283608.log 18473 hl-extractinstructions.txt 20180825_194445 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_12
20180825_194412 50 1 1 2 100000 597296547 8210 10000 1790 0 0 8210 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.666 3.210127 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed597296547.log 18473 hl-extractinstructions.txt 20180825_194445 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_13
20180825_194413 50 1 1 2 100000 664375964 8258 10000 1742 0 0 8258 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.789 3.319309 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed664375964.log 18473 hl-extractinstructions.txt 20180825_194447 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_14
20180825_194414 50 1 1 2 100000 258760793 8224 10000 1776 0 0 8224 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.747 3.289805 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed258760793.log 18473 hl-extractinstructions.txt 20180825_194448 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_15
20180825_194415 50 1 1 2 100000 666549275 8217 10000 1783 0 0 8217 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.683 3.228249 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed666549275.log 18473 hl-extractinstructions.txt 20180825_194449 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_16
20180825_194416 50 1 1 2 100000 376517787 8174 10000 1826 0 0 8174 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.702 3.239829 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed376517787.log 18473 hl-extractinstructions.txt 20180825_194450 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_17
20180825_194417 50 1 1 2 100000 817713633 8223 10000 1777 0 0 8223 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.737 3.275351 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed817713633.log 18473 hl-extractinstructions.txt 20180825_194451 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_18
20180825_194418 50 1 1 2 100000 519606501 8216 10000 1784 0 0 8216 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.716 3.254337 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed519606501.log 18473 hl-extractinstructions.txt 20180825_194452 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_19
20180825_194419 50 1 1 2 100000 715258232 8238 10000 1762 0 0 8238 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.741 3.283257 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed715258232.log 18473 hl-extractinstructions.txt 20180825_194453 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_20
20180825_194420 50 1 1 2 100000 792850679 8251 10000 1749 0 0 8251 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.757 3.290231 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed792850679.log 18473 hl-extractinstructions.txt 20180825_194454 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 4fd1cbe1f3d07f55b55093eea7bab3e2ceffaa54_21
20180825_194421 50 1 1 3 100000 919028296 6852 10000 3148 0 0 6852 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.875 2.418756 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 18472 hl-extractinstructions.txt 20180825_194454 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d8254a50bd2634b12e9812654791de8d0785f549_1
20180825_194422 50 1 1 3 100000 103765041 6889 10000 3111 0 0 6889 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.915 2.446081 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 18472 hl-extractinstructions.txt 20180825_194455 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d8254a50bd2634b12e9812654791de8d0785f549_2
20180825_194423 50 1 1 3 100000 141246882 6772 10000 3228 0 0 6772 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.906 2.443023 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 18472 hl-extractinstructions.txt 20180825_194456 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d8254a50bd2634b12e9812654791de8d0785f549_3
20180825_194424 50 1 1 3 100000 681028781 6909 10000 3091 0 0 6909 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.899 2.445988 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 18472 hl-extractinstructions.txt 20180825_194457 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d8254a50bd2634b12e9812654791de8d0785f549_4
20180825_194425 50 1 1 3 100000 117661523 6826 10000 3174 0 0 6826 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.848 2.398861 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 18472 hl-extractinstructions.txt 20180825_194458 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d8254a50bd2634b12e9812654791de8d0785f549_5
20180825_194426 50 1 1 3 100000 105731136 6903 10000 3097 0 0 6903 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.888 2.431625 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 18472 hl-extractinstructions.txt 20180825_194459 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d8254a50bd2634b12e9812654791de8d0785f549_6
20180825_194427 50 1 1 3 100000 967561224 6794 10000 3206 0 0 6794 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2.936 2.465101 ../hl201808/NOAUDITCOPIES/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 18472 hl-extractinstructions.txt 20180825_194500 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d8254a50bd2634b12e9812654791de8d0785f549_7
