timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180829_045318 50 1 4 3 300000 919028296 48 10000 0 9997 1271 48 29 10000 4 SYSTEMATIC 127502 123554 3948 48 0 0 0 0 0 0 0 0 0 0 2 0 0 0 231.885 229.879 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed919028296.log 31178 hl-extractinstructions.txt 20180829_045740 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_1
20180829_045321 50 1 4 3 300000 681028781 38 10000 0 9997 1279 38 29 10000 4 SYSTEMATIC 126887 122858 4029 38 0 0 0 0 0 0 0 0 0 0 2 0 0 0 232.047 230.254 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed681028781.log 31179 hl-extractinstructions.txt 20180829_045744 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_4
20180829_045319 50 1 4 3 300000 103765041 33 10000 0 9997 1321 33 29 10000 4 SYSTEMATIC 127426 123277 4149 33 0 0 0 0 0 0 0 0 0 0 2 0 0 0 234.924 232.810 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed103765041.log 31181 hl-extractinstructions.txt 20180829_045745 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_2
20180829_045324 50 1 4 3 300000 105731136 39 10000 0 9996 1236 39 29 10000 4 SYSTEMATIC 127419 123570 3849 38 0 0 0 0 0 0 0 0 0 0 2 0 0 0 234.490 232.528 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed105731136.log 31178 hl-extractinstructions.txt 20180829_045748 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_6
20180829_045326 50 1 4 3 300000 420477893 39 10000 0 9994 1304 39 29 10000 4 SYSTEMATIC 128036 123914 4122 39 0 0 0 0 0 0 0 0 0 0 2 0 0 0 234.321 232.277 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed420477893.log 31185 hl-extractinstructions.txt 20180829_045750 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_8
20180829_045320 50 1 4 3 300000 141246882 39 10000 0 9995 1264 39 29 10000 4 SYSTEMATIC 127682 123647 4035 39 0 0 0 0 0 0 0 0 0 0 2 0 0 0 239.676 237.689 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed141246882.log 31185 hl-extractinstructions.txt 20180829_045750 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_3
20180829_045327 50 1 4 3 300000 263688301 43 10000 0 9996 1268 43 29 10000 4 SYSTEMATIC 127821 123834 3987 43 0 0 0 0 0 0 0 0 0 0 2 0 0 0 235.391 233.242 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed263688301.log 31184 hl-extractinstructions.txt 20180829_045752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_9
20180829_045322 50 1 4 3 300000 117661523 41 10000 0 9995 1261 41 29 10000 4 SYSTEMATIC 127967 123965 4002 40 0 0 0 0 0 0 0 0 0 0 2 0 0 0 240.195 238.174 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed117661523.log 31182 hl-extractinstructions.txt 20180829_045753 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_5
20180829_045328 50 1 4 3 300000 50746969 45 10000 0 9996 1255 45 29 10000 4 SYSTEMATIC 127954 123958 3996 45 0 0 0 0 0 0 0 0 0 0 2 0 0 0 235.174 233.043 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed50746969.log 31183 hl-extractinstructions.txt 20180829_045753 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_10
20180829_045325 50 1 4 3 300000 967561224 42 10000 0 9995 1233 42 29 10000 4 SYSTEMATIC 127412 123494 3918 40 0 0 0 0 0 0 0 0 0 0 2 0 0 0 241.770 239.676 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s4tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed967561224.log 31182 hl-extractinstructions.txt 20180829_045757 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 029163bd14050763b7d0ac3bda31b0151cc57e5d_7
