timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180829_033541 50 1 5 3 300000 117661523 5 10000 0 10000 2780 5 29 10000 1 TOTAL 157784 148230 9554 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 316.683 314.381 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed117661523.log 33006 hl-extractinstructions.txt 20180829_034128 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_5
20180829_033543 50 1 5 3 300000 967561224 3 10000 0 10000 2890 3 29 10000 1 TOTAL 158570 148637 9933 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 319.390 316.740 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed967561224.log 33006 hl-extractinstructions.txt 20180829_034133 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_7
20180829_033540 50 1 5 3 300000 681028781 4 10000 0 9999 2891 4 29 10000 1 TOTAL 158316 148234 10082 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 325.157 322.704 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed681028781.log 33007 hl-extractinstructions.txt 20180829_034135 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_4
20180829_033545 50 1 5 3 300000 263688301 3 10000 0 9999 2807 3 29 10000 1 TOTAL 158530 148871 9659 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 323.332 320.564 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed263688301.log 33006 hl-extractinstructions.txt 20180829_034139 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_9
20180829_033539 50 1 5 3 300000 141246882 2 10000 0 10000 2752 2 29 10000 1 TOTAL 157926 148331 9595 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 333.059 330.699 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed141246882.log 33006 hl-extractinstructions.txt 20180829_034142 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_3
20180829_033537 50 1 5 3 300000 919028296 9 10000 0 10000 2778 9 29 10000 1 TOTAL 157807 148113 9694 8 0 0 0 0 0 0 0 0 0 0 2 0 0 0 340.800 338.305 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed919028296.log 33006 hl-extractinstructions.txt 20180829_034148 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_1
20180829_033546 50 1 5 3 300000 50746969 6 10000 0 10000 2782 6 29 10000 1 TOTAL 157820 148252 9568 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 332.650 329.891 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed50746969.log 33006 hl-extractinstructions.txt 20180829_034149 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_10
20180829_033544 50 1 5 3 300000 420477893 5 10000 0 10000 2849 5 29 10000 1 TOTAL 158196 148310 9886 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 337.660 334.957 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed420477893.log 33007 hl-extractinstructions.txt 20180829_034152 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_8
20180829_033542 50 1 5 3 300000 105731136 9 10000 0 9999 2789 9 29 10000 1 TOTAL 157889 148301 9588 9 0 0 0 0 0 0 0 0 0 0 2 0 0 0 341.967 339.337 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed105731136.log 33006 hl-extractinstructions.txt 20180829_034154 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_6
20180829_033538 50 1 5 3 300000 103765041 5 10000 0 10000 2769 5 29 10000 1 TOTAL 157877 148453 9424 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 347.267 345.074 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed103765041.log 33007 hl-extractinstructions.txt 20180829_034155 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 6dfea3c5af288190956a2401bbb6395fa76872c9_2
