timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180825_224558 50 1 3 2 100000 919028296 915 10000 56 9390 5064 915 9 10000 4 UNIFORM 38014 25812 12202 825 0 0 0 0 0 0 0 0 0 0 2 0 0 0 39.606 38.010317 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 21826 hl-extractinstructions.txt 20180825_224708 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_1
20180825_224600 50 1 3 2 100000 141246882 897 10000 51 9356 5130 897 9 10000 4 UNIFORM 38185 25837 12348 816 0 0 0 0 0 0 0 0 0 0 2 0 0 0 38.700 37.023472 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 21826 hl-extractinstructions.txt 20180825_224709 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_3
20180825_224559 50 1 3 2 100000 103765041 862 10000 72 9362 5176 862 9 10000 4 UNIFORM 37829 25719 12110 781 0 0 0 0 0 0 0 0 0 0 2 0 0 0 41.177 39.487889 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 21826 hl-extractinstructions.txt 20180825_224710 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_2
20180825_224601 50 1 3 2 100000 681028781 937 10000 64 9315 5054 937 9 10000 4 UNIFORM 37812 25658 12154 859 0 0 0 0 0 0 0 0 0 0 2 0 0 0 39.644 38.095142 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 21826 hl-extractinstructions.txt 20180825_224711 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_4
20180825_224603 50 1 3 2 100000 105731136 886 10000 64 9350 5110 886 9 10000 4 UNIFORM 38015 25643 12372 798 0 0 0 0 0 0 0 0 0 0 2 0 0 0 38.228 36.708601 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 21826 hl-extractinstructions.txt 20180825_224712 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_6
20180825_224602 50 1 3 2 100000 117661523 935 10000 51 9351 5212 935 9 10000 4 UNIFORM 38283 25835 12448 838 0 0 0 0 0 0 0 0 0 0 2 0 0 0 40.833 39.448295 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 21826 hl-extractinstructions.txt 20180825_224713 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_5
20180825_224605 50 1 3 2 100000 420477893 913 10000 63 9371 5093 913 9 10000 4 UNIFORM 37597 25463 12134 831 0 0 0 0 0 0 0 0 0 0 2 0 0 0 42.687 41.314265 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 21826 hl-extractinstructions.txt 20180825_224718 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_8
20180825_224604 50 1 3 2 100000 967561224 887 10000 50 9383 5065 887 9 10000 4 UNIFORM 37894 25784 12110 807 0 0 0 0 0 0 0 0 0 0 2 0 0 0 46.014 44.332366 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 21826 hl-extractinstructions.txt 20180825_224720 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_7
20180825_224606 50 1 3 2 100000 263688301 867 10000 51 9377 5101 867 9 10000 4 UNIFORM 37782 25564 12218 801 0 0 0 0 0 0 0 0 0 0 2 0 0 0 45.026 43.412735 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 21826 hl-extractinstructions.txt 20180825_224721 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_9
20180825_224607 50 1 3 2 100000 50746969 889 10000 50 9399 5081 889 9 10000 4 UNIFORM 37835 25649 12186 806 0 0 0 0 0 0 0 0 0 0 2 0 0 0 45.547 44.143933 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 21825 hl-extractinstructions.txt 20180825_224723 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 26229eb24ce2172501d596474734f3bd8354449b_10
20180825_224620 50 1 3 3 100000 919028296 334 10000 330 9157 3247 334 9 10000 4 UNIFORM 27488 20696 6792 309 0 0 0 0 0 0 0 0 0 0 2 0 0 0 33.923 32.456111 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 20315 hl-extractinstructions.txt 20180825_224724 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 95ec7c9dc80288be81c6602a2f6070a7ac1c96c9_1
