timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181022_161205 50 1 4 3 1000000 263688301 135 10000 0 9997 3676 135 99 10000 1 TOTAL 427946 414401 13545 133 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1164.338 1161.734 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed263688301.log 47994 hl-extractinstructions.txt 20181022_163130 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_9
20181022_161158 50 1 4 3 1000000 103765041 145 10000 0 9998 3667 145 99 10000 1 TOTAL 428044 414421 13623 141 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1175.928 1172.660 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed103765041.log 47995 hl-extractinstructions.txt 20181022_163134 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_2
20181022_161157 50 1 4 3 1000000 919028296 154 10000 0 9997 3708 154 99 10000 1 TOTAL 428190 414612 13578 154 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1193.913 1190.038 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed919028296.log 47994 hl-extractinstructions.txt 20181022_163151 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_1
20181022_161159 50 1 4 3 1000000 141246882 141 10000 0 9994 3641 141 99 10000 1 TOTAL 427048 413608 13440 139 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1192.801 1190.269 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed141246882.log 47994 hl-extractinstructions.txt 20181022_163152 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_3
20181022_161203 50 1 4 3 1000000 967561224 117 10000 0 10000 3671 117 99 10000 1 TOTAL 428455 415078 13377 114 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1191.400 1188.135 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed967561224.log 47996 hl-extractinstructions.txt 20181022_163155 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_7
20181022_161200 50 1 4 3 1000000 681028781 144 10000 0 9993 3569 144 99 10000 1 TOTAL 426591 413397 13194 140 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1196.793 1193.512 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed681028781.log 47994 hl-extractinstructions.txt 20181022_163157 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_4
20181022_161206 50 1 4 3 1000000 50746969 137 10000 0 9996 3643 137 99 10000 1 TOTAL 429382 415771 13611 137 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1192.068 1188.706 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed50746969.log 47995 hl-extractinstructions.txt 20181022_163159 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_10
20181022_161202 50 1 4 3 1000000 105731136 158 10000 0 9996 3652 158 99 10000 1 TOTAL 426864 413373 13491 156 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1207.418 1204.520 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed105731136.log 47994 hl-extractinstructions.txt 20181022_163210 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_6
20181022_161201 50 1 4 3 1000000 117661523 154 10000 0 9995 3651 154 99 10000 1 TOTAL 427508 413960 13548 153 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1216.141 1213.452 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed117661523.log 47994 hl-extractinstructions.txt 20181022_163218 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_5
20181022_161204 50 1 4 3 1000000 420477893 136 10000 0 9993 3709 136 99 10000 1 TOTAL 429061 415216 13845 136 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1230.303 1227.147 ../hl201810/LONG100/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed420477893.log 47995 hl-extractinstructions.txt 20181022_163235 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 a61a02890c4964c139b1be8be85ce1aef0ebc976_8
20181022_161137 50 1 4 2 1000000 141246882 623 10000 0 9985 7244 623 99 10000 1 TOTAL 608960 570419 38541 616 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1893.356 1886.599 ../hl201810/LONG100/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed141246882.log 54135 hl-extractinstructions.txt 20181022_164311 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 19b0c90b6b87558ee343b0969bf267a16829eae5_3
20181022_161139 50 1 4 2 1000000 117661523 589 10000 0 9991 7205 589 99 10000 1 TOTAL 608279 569696 38583 583 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1892.681 1886.490 ../hl201810/LONG100/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed117661523.log 54130 hl-extractinstructions.txt 20181022_164313 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 19b0c90b6b87558ee343b0969bf267a16829eae5_5
20181022_161136 50 1 4 2 1000000 103765041 623 10000 0 9984 7232 623 99 10000 1 TOTAL 607252 568558 38694 616 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1907.304 1899.692 ../hl201810/LONG100/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed103765041.log 54127 hl-extractinstructions.txt 20181022_164324 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 19b0c90b6b87558ee343b0969bf267a16829eae5_2
20181022_161138 50 1 4 2 1000000 681028781 567 10000 0 9990 7244 567 99 10000 1 TOTAL 608122 569641 38481 563 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1913.831 1907.038 ../hl201810/LONG100/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed681028781.log 54131 hl-extractinstructions.txt 20181022_164333 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 19b0c90b6b87558ee343b0969bf267a16829eae5_4
20181022_161135 50 1 4 2 1000000 919028296 654 10000 0 9993 7272 654 99 10000 1 TOTAL 606855 567981 38874 644 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1929.985 1920.664 ../hl201810/LONG100/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed919028296.log 54121 hl-extractinstructions.txt 20181022_164346 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 19b0c90b6b87558ee343b0969bf267a16829eae5_1
20181022_161140 50 1 4 2 1000000 105731136 591 10000 0 9988 7203 591 99 10000 1 TOTAL 607807 569413 38394 586 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1945.433 1939.202 ../hl201810/LONG100/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen1000000_seed105731136.log 54128 hl-extractinstructions.txt 20181022_164407 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.054 19b0c90b6b87558ee343b0969bf267a16829eae5_6
