timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181002_164138 50 1 3 10000 100000 919028296 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 4 11 100 0.053 0.019 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed919028296.log 31177 hl-extractinstructions.txt 20181002_164208 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_1
20181002_164139 50 1 3 10000 100000 103765041 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 4 10 102 0.055 0.020 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed103765041.log 30705 hl-extractinstructions.txt 20181002_164209 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_2
20181002_164140 50 1 3 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 6 3 100 0.046 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed141246882.log 27236 hl-extractinstructions.txt 20181002_164210 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_3
20181002_164141 50 1 3 10000 100000 681028781 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 5 3 100 0.045 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed681028781.log 27233 hl-extractinstructions.txt 20181002_164211 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_4
20181002_164142 50 1 3 10000 100000 117661523 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 4 4 100 0.047 0.014 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed117661523.log 27741 hl-extractinstructions.txt 20181002_164212 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_5
20181002_164143 50 1 3 10000 100000 105731136 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 3 12 104 0.055 0.021 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed105731136.log 31712 hl-extractinstructions.txt 20181002_164213 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_6
20181002_164144 50 1 3 10000 100000 967561224 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 5 8 101 0.052 0.018 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed967561224.log 29709 hl-extractinstructions.txt 20181002_164214 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_7
20181002_164145 50 1 3 10000 100000 420477893 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 5 9 102 0.053 0.019 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed420477893.log 30217 hl-extractinstructions.txt 20181002_164215 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_8
20181002_164146 50 1 3 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 10000 10000 50 10000 1 2 2 18 109 0.062 0.026 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed263688301.log 35220 hl-extractinstructions.txt 20181002_164216 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_9
20181002_164147 50 1 3 10000 100000 50746969 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 50 10000 1 2 5 3 100 0.046 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif10000simlen0_seed50746969.log 27230 hl-extractinstructions.txt 20181002_164217 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.110 499af6ac1af084aeb90a282fda3c8bd54bbef2ad_10
