timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181001_215534 50 1 3 10000 100000 919028296 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 1 2 3 11 97 0.057 0.022 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed919028296.log 32633 hl-extractinstructions.txt 20181001_215604 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_1
20181001_215535 50 1 3 10000 100000 103765041 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 1 2 3 5 96 0.053 0.019 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed103765041.log 29680 hl-extractinstructions.txt 20181001_215605 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_2
20181001_215536 50 1 3 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 1 2 6 3 97 0.046 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed141246882.log 27243 hl-extractinstructions.txt 20181001_215606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_3
20181001_215537 50 1 3 10000 100000 681028781 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 1 2 3 5 97 0.048 0.015 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed681028781.log 28216 hl-extractinstructions.txt 20181001_215608 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_4
20181001_215538 50 1 3 10000 100000 117661523 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 1 2 3 10 98 0.054 0.020 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed117661523.log 30715 hl-extractinstructions.txt 20181001_215609 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_5
20181001_215539 50 1 3 10000 100000 105731136 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 1 2 4 16 105 0.061 0.025 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed105731136.log 34222 hl-extractinstructions.txt 20181001_215610 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_6
20181001_215540 50 1 3 10000 100000 967561224 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 1 2 2 11 102 0.056 0.022 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed967561224.log 31721 hl-extractinstructions.txt 20181001_215611 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_7
20181001_215542 50 1 3 10000 100000 420477893 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 1 2 5 14 102 0.060 0.025 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed420477893.log 33694 hl-extractinstructions.txt 20181001_215612 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_8
20181001_215543 50 1 3 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 1 2 2 6 96 0.052 0.019 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed263688301.log 30166 hl-extractinstructions.txt 20181001_215613 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_9
20181001_215544 50 1 3 10000 100000 50746969 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 1 2 3 14 102 0.058 0.023 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s1m10000_svrdeflif20000simlen0_seed50746969.log 33183 hl-extractinstructions.txt 20181001_215614 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 65edece7a52eaf02184cc4a84e31586a8b6e3b73_10
