timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181001_234102 50 1 4 10000 100000 919028296 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 2 2 6 18 101 0.062 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed919028296.log 35025 hl-extractinstructions.txt 20181001_234132 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_1
20181001_234103 50 1 4 10000 100000 103765041 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 5 13 100 0.060 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed103765041.log 33517 hl-extractinstructions.txt 20181001_234133 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_2
20181001_234104 50 1 4 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 2 2 3 4 97 0.047 0.014 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed141246882.log 28049 hl-extractinstructions.txt 20181001_234134 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_3
20181001_234105 50 1 4 10000 100000 681028781 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 2 2 4 5 97 0.049 0.015 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed681028781.log 28547 hl-extractinstructions.txt 20181001_234135 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_4
20181001_234106 50 1 4 10000 100000 117661523 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 6 23 102 0.069 0.030 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed117661523.log 38454 hl-extractinstructions.txt 20181001_234136 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_5
20181001_234107 50 1 4 10000 100000 105731136 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 4 18 106 0.064 0.027 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed105731136.log 36017 hl-extractinstructions.txt 20181001_234137 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_6
20181001_234108 50 1 4 10000 100000 967561224 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 5 13 102 0.059 0.024 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed967561224.log 33543 hl-extractinstructions.txt 20181001_234138 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_7
20181001_234109 50 1 4 10000 100000 420477893 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 4 19 104 0.082 0.045 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed420477893.log 36482 hl-extractinstructions.txt 20181001_234139 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_8
20181001_234110 50 1 4 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 2 10 96 0.059 0.023 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed263688301.log 32942 hl-extractinstructions.txt 20181001_234140 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_9
20181001_234111 50 1 4 10000 100000 50746969 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 5 19 105 0.064 0.028 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed50746969.log 36028 hl-extractinstructions.txt 20181001_234141 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 26812f33c4d20f3f0444cea6a9e9ce1d193f79f5_10
