timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181007_202752 50 1 6 10000 100000 919028296 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 3 28 106 0.076 0.036 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed919028296.log 41596 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_1
20181007_202752 50 1 6 10000 100000 103765041 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 4 27 108 0.074 0.035 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed103765041.log 41152 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_2
20181007_202752 50 1 6 10000 100000 141246882 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 4 34 111 0.081 0.040 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed141246882.log 44608 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_3
20181007_202752 50 1 6 10000 100000 681028781 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 3 38 114 0.081 0.040 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed681028781.log 46112 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_4
20181007_202752 50 1 6 10000 100000 117661523 10 10 0 0 1 10 9 10000 1 TOTAL 1 0 1 10 0 0 0 0 0 20000 20000 100 10000 2 2 3 27 103 0.072 0.033 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed117661523.log 40102 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_5
20181007_202752 50 1 6 10000 100000 105731136 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 1 26 109 0.073 0.035 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed105731136.log 41107 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_6
20181007_202752 50 1 6 10000 100000 967561224 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 3 31 109 0.077 0.037 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed967561224.log 43106 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_7
20181007_202752 50 1 6 10000 100000 420477893 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 3 32 113 0.081 0.038 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed420477893.log 43656 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_8
20181007_202752 50 1 6 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 5 25 104 0.072 0.034 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed263688301.log 40619 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_9
20181007_202752 50 1 6 10000 100000 50746969 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 10000 2 2 2 34 112 0.077 0.038 ../hl201810/SHOCKSPAN2/log/doc50cop6shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m10000_svrdeflif20000simlen0_seed50746969.log 44109 hl-extractinstructions.txt 20181007_202752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 6a5c99a577283a40e8d0decfbee7cc50ac93e99d_10
