timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20190117_223330 50 1 5 10000 100000 616603922 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 4 86 0.087 0.034 20190117_223331
20190117_223330 50 1 5 10000 100000 160211880 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 5 87 0.088 0.034 20190117_223331
20190117_223351 50 1 5 10000 100000 391467625 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 6 85 0.167 0.074 20190117_223351
20190117_223351 50 1 5 10000 100000 521589958 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 4 85 0.170 0.066 20190117_223351
20190117_223351 50 1 5 10000 100000 133671816 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 3 91 0.159 0.067 20190117_223351
20190117_223351 50 1 5 10000 100000 106595100 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 7 89 0.179 0.073 20190117_223351
20190117_223351 50 1 5 10000 100000 364192286 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 4 78 0.169 0.068 20190117_223351
20190117_223351 50 1 5 10000 100000 257388880 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 3 86 0.165 0.067 20190117_223351
20190117_223351 50 1 5 10000 100000 615287595 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 8 87 0.173 0.069 20190117_223351
20190117_223351 50 1 5 10000 100000 120170124 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 3 80 0.149 0.055 20190117_223351
20190117_223351 50 1 5 10000 100000 105327160 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 7 91 0.173 0.070 20190117_223351
20190117_223351 50 1 5 10000 100000 124134630 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 4 91 0.171 0.070 20190117_223351
20190117_223351 50 1 5 10000 100000 601514327 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 8 90 0.197 0.076 20190117_223351
20190117_223351 50 1 5 10000 100000 627321836 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 80000 0 0 0 0 2 0 0 1 92 0.154 0.038 20190117_223351
