timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20190118_232546 50 1 7 10000 100000 862415775 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 10 30 42 148 0.176 0.115 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed862415775.log 62993 hl-extractinstructions.txt 20190118_232546 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_1
20190118_232606 50 1 7 10000 100000 616603922 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 7 21 37 139 0.318 0.226 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed616603922.log 60362 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_2
20190118_232606 50 1 7 10000 100000 521589958 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 4 12 34 144 0.319 0.226 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed521589958.log 58823 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_6
20190118_232606 50 1 7 10000 100000 106595100 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 4 12 34 142 0.345 0.216 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed106595100.log 58793 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_15
20190118_232606 50 1 7 10000 100000 133671816 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 3 9 20 132 0.313 0.203 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed133671816.log 51770 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_8
20190118_232606 50 1 7 10000 100000 993928726 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 4 12 23 142 0.311 0.204 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed993928726.log 53377 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_7
20190118_232606 50 1 7 10000 100000 790002907 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 7 21 31 144 0.304 0.205 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed790002907.log 57422 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_5
20190118_232606 50 1 7 10000 100000 391467625 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 8 24 38 141 0.337 0.228 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed391467625.log 60908 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_10
20190118_232606 50 1 7 10000 100000 105327160 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 7 21 35 145 0.326 0.215 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed105327160.log 59398 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_14
20190118_232606 50 1 7 10000 100000 751552608 0 20 0 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 7 21 41 143 0.360 0.234 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s4tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed751552608.log 62369 hl-extractinstructions.txt 20190118_232606 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 fd7463e292901ebba98aa14123ed5d8a767f4cb2_4
