timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20190123_214900 50 1 5 10000 100000 862415775 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 108 0.088 0.035 20190123_214900
20190123_214920 50 1 5 10000 100000 160211880 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 99 0.103 0.038 20190123_214921
20190123_214920 50 1 5 10000 100000 631064730 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 97 0.098 0.041 20190123_214921
20190123_214920 50 1 5 10000 100000 751552608 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 98 0.108 0.034 20190123_214921
20190123_214920 50 1 5 10000 100000 221069975 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 107 0.141 0.068 20190123_214921
20190123_214920 50 1 5 10000 100000 790002907 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 103 0.172 0.070 20190123_214921
20190123_214920 50 1 5 10000 100000 364192286 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 92 0.172 0.075 20190123_214921
20190123_214920 50 1 5 10000 100000 880215307 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 100 0.147 0.037 20190123_214921
20190123_214920 50 1 5 10000 100000 106595100 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 102 0.137 0.070 20190123_214921
20190123_214920 50 1 5 10000 100000 209425884 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 9 106 0.193 0.076 20190123_214921
20190123_214920 50 1 5 10000 100000 616603922 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 100 0.193 0.069 20190123_214921
20190123_214920 50 1 5 10000 100000 993928726 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 1 98 0.128 0.057 20190123_214921
20190123_214920 50 1 5 10000 100000 391467625 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 9 105 0.190 0.076 20190123_214921
20190123_214920 50 1 5 10000 100000 105327160 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 102 0.141 0.068 20190123_214921
20190123_214920 50 1 5 10000 100000 521589958 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 104 0.175 0.069 20190123_214921
20190123_214920 50 1 5 10000 100000 480102295 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 105 0.170 0.068 20190123_214921
20190123_214920 50 1 5 10000 100000 257388880 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 104 0.183 0.065 20190123_214921
20190123_214920 50 1 5 10000 100000 996520084 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 96 0.163 0.058 20190123_214921
20190123_214920 50 1 5 10000 100000 124134630 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 103 0.154 0.052 20190123_214921
20190123_214920 50 1 5 10000 100000 122365525 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 105 0.143 0.073 20190123_214921
20190123_214920 50 1 5 10000 100000 615287595 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 9 101 0.168 0.064 20190123_214921
20190123_214920 50 1 5 10000 100000 097492175 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 101 0.140 0.042 20190123_214921
20190123_214920 50 1 5 10000 100000 120170124 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 102 0.156 0.064 20190123_214921
20190123_214920 50 1 5 10000 100000 133671816 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 103 0.190 0.045 20190123_214921
20190123_214920 50 1 5 10000 100000 638279258 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 92 0.193 0.071 20190123_214921
20190123_214920 50 1 5 10000 100000 786838584 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 104 0.154 0.064 20190123_214921
20190123_214921 50 1 5 10000 100000 761862692 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 112 0.179 0.046 20190123_214921
20190123_214920 50 1 5 10000 100000 333018605 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 93 0.128 0.068 20190123_214921
20190123_214920 50 1 5 10000 100000 574671125 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 96 0.141 0.060 20190123_214921
20190123_214921 50 1 5 10000 100000 822225147 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 101 0.173 0.065 20190123_214921
20190123_214920 50 1 5 10000 100000 601514327 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 9 106 0.174 0.071 20190123_214921
20190123_214921 50 1 5 10000 100000 808717148 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 9 110 0.151 0.075 20190123_214921
20190123_214921 50 1 5 10000 100000 846536632 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 101 0.160 0.059 20190123_214921
20190123_214921 50 1 5 10000 100000 512324072 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 101 0.087 0.035 20190123_214922
20190123_214921 50 1 5 10000 100000 627321836 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 109 0.132 0.060 20190123_214922
20190123_214921 50 1 5 10000 100000 204532894 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 112 0.144 0.073 20190123_214922
20190123_214922 50 1 5 10000 100000 717183202 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 2 99 0.134 0.042 20190123_214922
20190123_214922 50 1 5 10000 100000 609519146 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 101 0.179 0.069 20190123_214922
20190123_214921 50 1 5 10000 100000 743307559 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 99 0.144 0.071 20190123_214922
20190123_214921 50 1 5 10000 100000 762788464 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 2 101 0.150 0.065 20190123_214922
20190123_214922 50 1 5 10000 100000 373056765 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 94 0.139 0.061 20190123_214922
20190123_214922 50 1 5 10000 100000 490315076 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 91 0.133 0.053 20190123_214922
20190123_214921 50 1 5 10000 100000 082732383 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 107 0.111 0.048 20190123_214922
20190123_214922 50 1 5 10000 100000 348425878 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 109 0.187 0.067 20190123_214922
20190123_214921 50 1 5 10000 100000 048313482 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 107 0.227 0.076 20190123_214922
20190123_214921 50 1 5 10000 100000 954707134 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 100 0.152 0.059 20190123_214922
20190123_214921 50 1 5 10000 100000 548281167 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 0 108 0.140 0.061 20190123_214922
20190123_214922 50 1 5 10000 100000 100828497 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 101 0.173 0.072 20190123_214922
20190123_214922 50 1 5 10000 100000 760810211 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 95 0.112 0.035 20190123_214922
20190123_214921 50 1 5 10000 100000 334540650 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 105 0.162 0.065 20190123_214922
20190123_214922 50 1 5 10000 100000 796975167 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 111 0.133 0.036 20190123_214922
20190123_214922 50 1 5 10000 100000 927368961 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 118 0.169 0.063 20190123_214922
20190123_214922 50 1 5 10000 100000 052623900 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 107 0.111 0.054 20190123_214922
20190123_214922 50 1 5 10000 100000 670148885 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 10 111 0.189 0.080 20190123_214922
20190123_214922 50 1 5 10000 100000 914850829 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 98 0.170 0.062 20190123_214922
20190123_214922 50 1 5 10000 100000 840804396 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 1 101 0.135 0.056 20190123_214922
20190123_214922 50 1 5 10000 100000 628501202 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 101 0.170 0.061 20190123_214922
20190123_214922 50 1 5 10000 100000 235473920 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 101 0.146 0.056 20190123_214922
20190123_214922 50 1 5 10000 100000 358697864 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 2 102 0.189 0.060 20190123_214922
20190123_214922 50 1 5 10000 100000 912170971 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 100 0.177 0.073 20190123_214922
20190123_214922 50 1 5 10000 100000 012661218 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 97 0.177 0.066 20190123_214922
20190123_214922 50 1 5 10000 100000 298208252 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 10 104 0.185 0.077 20190123_214922
20190123_214922 50 1 5 10000 100000 127918687 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 96 0.176 0.066 20190123_214922
20190123_214922 50 1 5 10000 100000 669050629 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 105 0.163 0.068 20190123_214922
20190123_214922 50 1 5 10000 100000 474973862 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 101 0.195 0.073 20190123_214922
20190123_214922 50 1 5 10000 100000 640119826 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 103 0.093 0.040 20190123_214923
20190123_214923 50 1 5 10000 100000 482015582 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 11 112 0.098 0.043 20190123_214923
20190123_214923 50 1 5 10000 100000 598599314 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 99 0.096 0.037 20190123_214923
20190123_214923 50 1 5 10000 100000 988779587 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 99 0.151 0.069 20190123_214923
20190123_214923 50 1 5 10000 100000 808112130 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 103 0.171 0.075 20190123_214923
20190123_214923 50 1 5 10000 100000 725834655 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 103 0.117 0.048 20190123_214923
20190123_214923 50 1 5 10000 100000 254760117 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 102 0.171 0.067 20190123_214923
20190123_214923 50 1 5 10000 100000 216606051 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 115 0.126 0.042 20190123_214923
20190123_214923 50 1 5 10000 100000 357353472 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 2 96 0.158 0.066 20190123_214923
20190123_214923 50 1 5 10000 100000 233844467 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 2 91 0.167 0.065 20190123_214923
20190123_214923 50 1 5 10000 100000 414675982 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 107 0.156 0.068 20190123_214923
20190123_214923 50 1 5 10000 100000 736884115 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 102 0.176 0.072 20190123_214923
20190123_214923 50 1 5 10000 100000 139914151 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 103 0.153 0.059 20190123_214923
20190123_214923 50 1 5 10000 100000 390889445 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 109 0.174 0.072 20190123_214923
20190123_214923 50 1 5 10000 100000 451258240 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 104 0.178 0.067 20190123_214923
20190123_214923 50 1 5 10000 100000 769980526 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 113 0.157 0.075 20190123_214923
20190123_214923 50 1 5 10000 100000 043626409 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 107 0.102 0.041 20190123_214923
20190123_214923 50 1 5 10000 100000 877820910 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 108 0.191 0.068 20190123_214923
20190123_214923 50 1 5 10000 100000 050668335 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 90 0.153 0.067 20190123_214923
20190123_214923 50 1 5 10000 100000 227739542 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 108 0.167 0.069 20190123_214923
20190123_214923 50 1 5 10000 100000 084091298 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 107 0.133 0.048 20190123_214923
20190123_214923 50 1 5 10000 100000 307279805 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 93 0.175 0.076 20190123_214923
20190123_214923 50 1 5 10000 100000 462360492 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 1 104 0.171 0.065 20190123_214923
20190123_214923 50 1 5 10000 100000 051446283 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 106 0.171 0.050 20190123_214923
20190123_214923 50 1 5 10000 100000 384476418 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 7 115 0.176 0.076 20190123_214923
20190123_214923 50 1 5 10000 100000 772196943 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 106 0.139 0.062 20190123_214923
20190123_214923 50 1 5 10000 100000 729121182 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 96 0.151 0.048 20190123_214923
20190123_214923 50 1 5 10000 100000 036104998 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 8 114 0.181 0.074 20190123_214923
20190123_214923 50 1 5 10000 100000 345371674 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 1 103 0.149 0.044 20190123_214923
20190123_214923 50 1 5 10000 100000 866510128 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 4 102 0.197 0.066 20190123_214923
20190123_214923 50 1 5 10000 100000 010015137 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 112 0.143 0.061 20190123_214923
20190123_214923 50 1 5 10000 100000 605057215 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 100 0.187 0.065 20190123_214923
20190123_214923 50 1 5 10000 100000 167344124 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 104 0.088 0.035 20190123_214923
20190123_214924 50 1 5 10000 100000 037455483 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 3 91 0.086 0.033 20190123_214924
20190123_214924 50 1 5 10000 100000 220901752 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 10 110 0.092 0.038 20190123_214924
20190123_214924 50 1 5 10000 100000 433703530 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 102 0.130 0.064 20190123_214924
20190123_214924 50 1 5 10000 100000 331436865 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 5 100 0.125 0.054 20190123_214924
20190123_214924 50 1 5 10000 100000 172369465 0 20 0 9 10000 1 TOTAL 0 0 0 0 0 60000 0 0 0 0 2 0 0 6 93 0.158 0.058 20190123_214924
