timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20190127_232604 50 1 5 10000 100000 862415775 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 3 6 21 140 0.963 0.898 20190127_232605
20190127_232604 50 1 5 10000 100000 751552608 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 8 16 22 141 0.974 0.909 20190127_232605
20190127_232604 50 1 5 10000 100000 616603922 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 25 134 0.973 0.908 20190127_232605
20190127_232604 50 1 5 10000 100000 521589958 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 4 8 22 143 0.978 0.913 20190127_232605
20190127_232604 50 1 5 10000 100000 160211880 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 9 18 26 139 0.977 0.912 20190127_232605
20190127_232604 50 1 5 10000 100000 391467625 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 23 138 0.985 0.921 20190127_232605
20190127_232604 50 1 5 10000 100000 133671816 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 21 132 0.983 0.914 20190127_232605
20190127_232604 50 1 5 10000 100000 993928726 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 9 18 30 141 0.995 0.929 20190127_232605
20190127_232604 50 1 5 10000 100000 790002907 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 12 24 34 144 1.011 0.944 20190127_232605
20190127_232604 50 1 5 10000 100000 209425884 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 9 18 32 139 1.007 0.941 20190127_232605
20190127_232624 50 1 5 10000 100000 601514327 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 3 6 20 138 1.937 1.816 20190127_232626
20190127_232624 50 1 5 10000 100000 480102295 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 3 6 22 141 1.930 1.818 20190127_232626
