timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20190217_195541 50 1 6 10000 100000 862415775 0 100 0 1 100 0 9 10000 50 SYSTEMATIC 1 1 0 0 0 0 0 0 0 30000 10000 100 10 3 2 8 24 41 147 1.042 0.971 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed862415775.log 62135 hl-extractinstructions.txt 20190217_195542 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_1
20190217_195541 50 1 6 10000 100000 616603922 0 100 0 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 11 33 46 139 1.065 0.995 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed616603922.log 64620 hl-extractinstructions.txt 20190217_195542 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_2
20190217_195601 50 1 6 10000 100000 521589958 100 100 0 0 0 100 9 10000 50 SYSTEMATIC 0 0 0 100 0 0 0 0 0 30000 10000 100 10 3 2 5 8 18 142 1.939 1.816 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed521589958.log 47652 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_6
20190217_195601 50 1 6 10000 100000 790002907 0 100 0 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 7 21 28 142 2.062 1.935 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed790002907.log 55619 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_5
20190217_195601 50 1 6 10000 100000 751552608 0 100 0 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 5 15 33 143 2.062 1.904 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed751552608.log 58059 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_4
20190217_195601 50 1 6 10000 100000 209425884 0 100 0 1 100 0 9 10000 50 SYSTEMATIC 1 1 0 0 0 0 0 0 0 30000 10000 100 10 3 2 4 12 24 139 2.003 1.883 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed209425884.log 53535 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_9
20190217_195601 50 1 6 10000 100000 480102295 0 100 0 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 5 15 34 147 2.066 1.940 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed480102295.log 58595 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_11
20190217_195601 50 1 6 10000 100000 391467625 0 100 0 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 5 15 30 143 2.067 1.899 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed391467625.log 56599 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_10
20190217_195601 50 1 6 10000 100000 631064730 0 100 0 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 3 9 24 134 2.037 1.908 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed631064730.log 53474 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_17
20190217_195601 50 1 6 10000 100000 786838584 0 100 0 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 6 18 34 140 2.078 1.919 ../hl20190217/SHOCKSPAN3/log/doc50cop6shlf1lif10000_af10000s50tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed786838584.log 58564 hl-extractinstructions.txt 20190217_195603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 56df76cc59a164a72e7b08459f35094ec67e888e_23
