timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20190217_214815 50 1 8 10000 100000 862415775 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 6 18 39 143 0.416 0.343 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed862415775.log 62705 hl-extractinstructions.txt 20190217_214815 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_1
20190217_214835 50 1 8 10000 100000 601514327 100 100 0 0 0 100 9 10000 10 SYSTEMATIC 0 0 0 100 0 0 0 0 0 30000 10000 100 10 3 2 10 7 10 136 0.568 0.439 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed601514327.log 44377 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_20
20190217_214835 50 1 8 10000 100000 257388880 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 1 3 14 135 0.728 0.593 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed257388880.log 50143 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_16
20190217_214835 50 1 8 10000 100000 790002907 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 8 24 32 141 0.852 0.688 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed790002907.log 59272 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_5
20190217_214835 50 1 8 10000 100000 364192286 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 6 18 33 142 0.840 0.694 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed364192286.log 59735 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_12
20190217_214835 50 1 8 10000 100000 751552608 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 9 27 46 147 0.867 0.739 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed751552608.log 66311 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_4
20190217_214835 50 1 8 10000 100000 761862692 0 100 0 1 100 0 9 10000 10 SYSTEMATIC 1 1 0 0 0 0 0 0 0 30000 10000 100 10 3 2 3 9 30 143 0.828 0.684 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed761862692.log 58183 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_19
20190217_214835 50 1 8 10000 100000 133671816 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 8 24 34 137 0.867 0.717 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed133671816.log 60245 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_8
20190217_214835 50 1 8 10000 100000 221069975 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 7 21 41 149 0.846 0.692 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed221069975.log 63767 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_21
20190217_214835 50 1 8 10000 100000 160211880 0 100 0 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 11 33 47 146 0.926 0.777 ../hl20190217/SHOCKSPAN3/log/doc50cop8shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed160211880.log 66856 hl-extractinstructions.txt 20190217_214836 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 35039e5bfb6d5c0a3cbad75ee753afbf684b782c_3
