timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180828_232350 50 1 5 5 300000 919028296 56 10000 0 9974 9951 56 29 10000 1 TOTAL 84749 71223 13526 56 0 0 0 0 0 100000 20000 50 10000 2 2 10 18 91 119.676 117.620 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed919028296.log 38852 hl-extractinstructions.txt 20180828_232620 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_1
20180828_232353 50 1 5 5 300000 681028781 18 10000 0 9987 9989 18 29 10000 1 TOTAL 83414 67336 16078 18 0 0 0 0 0 100000 20000 50 10000 2 2 9 20 90 121.060 119.004 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed681028781.log 39839 hl-extractinstructions.txt 20180828_232625 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_4
20180828_232351 50 1 5 5 300000 103765041 16 10000 0 9995 9986 16 29 10000 1 TOTAL 85224 70436 14788 16 0 0 0 0 0 100000 20000 50 10000 2 2 6 17 94 124.503 122.411 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed103765041.log 38825 hl-extractinstructions.txt 20180828_232626 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_2
20180828_232354 50 1 5 5 300000 117661523 67 10000 0 9985 9975 67 29 10000 1 TOTAL 82791 66299 16492 67 0 0 0 0 0 100000 20000 50 10000 2 2 10 21 91 125.902 123.909 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed117661523.log 40909 hl-extractinstructions.txt 20180828_232631 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_5
20180828_232352 50 1 5 5 300000 141246882 96 10000 0 9952 9923 96 29 10000 1 TOTAL 84775 71102 13673 96 0 0 0 0 0 100000 20000 50 10000 2 2 6 18 94 129.775 127.682 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed141246882.log 38820 hl-extractinstructions.txt 20180828_232632 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_3
20180828_232355 50 1 5 5 300000 105731136 87 10000 0 9992 9937 87 29 10000 1 TOTAL 83489 71282 12207 87 0 0 0 0 0 100000 20000 50 10000 2 2 5 19 95 128.632 126.561 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed105731136.log 39859 hl-extractinstructions.txt 20180828_232634 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_6
20180828_232356 50 1 5 5 300000 967561224 2 10000 0 9997 9998 2 29 10000 1 TOTAL 88439 80590 7849 2 0 0 0 0 0 100000 20000 50 10000 2 2 7 14 90 133.617 131.667 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed967561224.log 37256 hl-extractinstructions.txt 20180828_232640 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_7
20180828_232403 50 1 5 5 300000 597296547 72 10000 0 9996 9967 72 29 10000 1 TOTAL 84435 69449 14986 71 0 0 0 0 0 100000 20000 50 10000 2 2 6 19 92 127.948 126.086 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed597296547.log 39835 hl-extractinstructions.txt 20180828_232641 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_13
20180828_232407 50 1 5 5 300000 376517787 nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound TOTAL nolinefound nolinefound nolinefound nolinefound 0 0 0 0 nolinefound 100000 20000 50 10000 2 2 nolinefound nolinefound nolinefound nolinefound nolinefound ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed376517787.log 27061 hl-extractinstructions.txt 20180828_232642 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_17
20180828_232358 50 1 5 5 300000 263688301 36 10000 0 9999 9972 36 29 10000 1 TOTAL 89511 82787 6724 36 0 0 0 0 0 100000 20000 50 10000 2 2 5 11 88 133.724 131.810 ../hl201808/ONEPCTLONGTERM/log/doc50cop5shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen300000_seed263688301.log 36727 hl-extractinstructions.txt 20180828_232642 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 366c8cb464c86b8bb74ce94e2275444b0e6ae81e_9
