timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181002_211922 50 1 3 10000 100000 919028296 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 3 16 104 0.058 0.023 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed919028296.log 33690 hl-extractinstructions.txt 20181002_211952 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_1
20181002_211923 50 1 3 10000 100000 103765041 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 0 6 100 0.050 0.017 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed103765041.log 28707 hl-extractinstructions.txt 20181002_211953 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_2
20181002_211924 50 1 3 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 3 3 100 0.047 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed141246882.log 27232 hl-extractinstructions.txt 20181002_211954 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_3
20181002_211925 50 1 3 10000 100000 681028781 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 1 3 100 0.045 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed681028781.log 27229 hl-extractinstructions.txt 20181002_211955 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_4
20181002_211926 50 1 3 10000 100000 117661523 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 0 4 100 0.048 0.014 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed117661523.log 27741 hl-extractinstructions.txt 20181002_211956 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_5
20181002_211927 50 1 3 10000 100000 105731136 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 0 12 104 0.055 0.021 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed105731136.log 31706 hl-extractinstructions.txt 20181002_211957 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_6
20181002_211928 50 1 3 10000 100000 967561224 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 2 10 102 0.053 0.019 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed967561224.log 30707 hl-extractinstructions.txt 20181002_211958 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_7
20181002_211929 50 1 3 10000 100000 420477893 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 3 16 108 0.059 0.024 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed420477893.log 33740 hl-extractinstructions.txt 20181002_211959 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_8
20181002_211930 50 1 3 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 10000 30000 50 10000 1 2 1 18 109 0.061 0.026 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed263688301.log 35215 hl-extractinstructions.txt 20181002_212000 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_9
20181002_211931 50 1 3 10000 100000 50746969 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 30000 50 10000 1 2 3 3 100 0.046 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_svrdeflif10000simlen0_seed50746969.log 27230 hl-extractinstructions.txt 20181002_212001 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 19173effd480cca0979afd568a7a1a7606c63e91_10
