timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181002_224910 50 1 4 10000 100000 919028296 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 3 15 100 0.063 0.026 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed919028296.log 34465 hl-extractinstructions.txt 20181002_224940 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_1
20181002_224911 50 1 4 10000 100000 103765041 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 3 8 96 0.058 0.022 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed103765041.log 31960 hl-extractinstructions.txt 20181002_224941 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_2
20181002_224912 50 1 4 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 50 10000 1 2 3 4 97 0.047 0.014 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed141246882.log 28049 hl-extractinstructions.txt 20181002_224942 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_3
20181002_224913 50 1 4 10000 100000 681028781 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 3 16 97 0.062 0.026 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed681028781.log 35884 hl-extractinstructions.txt 20181002_224943 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_4
20181002_224914 50 1 4 10000 100000 117661523 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 4 22 105 0.066 0.029 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed117661523.log 37496 hl-extractinstructions.txt 20181002_224944 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_5
20181002_224915 50 1 4 10000 100000 105731136 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 2 19 107 0.065 0.028 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed105731136.log 36513 hl-extractinstructions.txt 20181002_224945 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_6
20181002_224916 50 1 4 10000 100000 967561224 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 4 18 105 0.062 0.026 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed967561224.log 35530 hl-extractinstructions.txt 20181002_224946 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_7
20181002_224917 50 1 4 10000 100000 420477893 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 2 15 101 0.062 0.026 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed420477893.log 34954 hl-extractinstructions.txt 20181002_224947 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_8
20181002_224918 50 1 4 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 2 9 96 0.058 0.023 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed263688301.log 32441 hl-extractinstructions.txt 20181002_224948 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_9
20181002_224919 50 1 4 10000 100000 50746969 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 1 2 2 17 104 0.062 0.026 ../hl201810/SHOCKSPAN1/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_svrdeflif20000simlen0_seed50746969.log 34998 hl-extractinstructions.txt 20181002_224949 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 b32fae4a090439a7f0a53e97331604701fd0a484_10
