timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180929_004508 50 1 3 10000 100000 919028296 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 6 3 100 0.185 0.016 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed919028296.log 27214 hl-extractinstructions.txt 20180929_004539 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_1
20180929_004510 50 1 3 10000 100000 103765041 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 4 10 102 0.177 0.063 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed103765041.log 30678 hl-extractinstructions.txt 20180929_004541 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_2
20180929_004511 50 1 3 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 6 3 100 0.141 0.016 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed141246882.log 27209 hl-extractinstructions.txt 20180929_004543 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_3
20180929_004513 50 1 3 10000 100000 681028781 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 5 3 100 0.132 0.031 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed681028781.log 27206 hl-extractinstructions.txt 20180929_004544 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_4
20180929_004514 50 1 3 10000 100000 117661523 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 4 4 100 0.112 0.047 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed117661523.log 27714 hl-extractinstructions.txt 20180929_004545 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_5
20180929_004526 50 1 3 10000 100000 105731136 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 4 11 103 0.112 0.031 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed105731136.log 31187 hl-extractinstructions.txt 20180929_004557 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_6
20180929_004631 50 1 3 10000 100000 967561224 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 5 10 102 0.161 0.063 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed967561224.log 30688 hl-extractinstructions.txt 20180929_004702 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_7
20180929_004632 50 1 3 10000 100000 420477893 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 5 9 102 0.260 0.093 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed420477893.log 30190 hl-extractinstructions.txt 20180929_004704 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_8
20180929_004634 50 1 3 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 10000 10000 80 10000 1 2 3 18 109 0.121 0.047 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed263688301.log 35200 hl-extractinstructions.txt 20180929_004706 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_9
20180929_004646 50 1 3 10000 100000 50746969 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 10000 80 10000 1 2 5 3 100 0.134 0.016 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif10000simlen0_seed50746969.log 27203 hl-extractinstructions.txt 20180929_004717 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 d0aeda45e563a436f62ab0553cc09c3c526961ae_10
