timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180226_183828 50 1 3 2 100000 103765041 4 10000 65 9931 794 4 99 1000 1 TOTAL 50414 48792 1622 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 131.092 124.282 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 21807 hl-extractinstructions.txt 20180226_184110 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_2
20180226_183827 50 1 3 2 100000 919028296 7 10000 64 9927 878 7 99 1000 1 TOTAL 50827 49015 1812 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 133.342 125.891 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 21807 hl-extractinstructions.txt 20180226_184111 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_1
20180226_183829 50 1 3 2 100000 141246882 4 10000 61 9929 895 4 99 1000 1 TOTAL 50920 49102 1818 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 134.616 124.969 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 21807 hl-extractinstructions.txt 20180226_184115 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_3
20180226_183832 50 1 3 2 100000 117661523 6 10000 55 9936 779 6 99 1000 1 TOTAL 51012 49412 1600 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 132.343 125.844 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 21807 hl-extractinstructions.txt 20180226_184115 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_5
20180226_183830 50 1 3 2 100000 681028781 4 10000 64 9925 833 4 99 1000 1 TOTAL 51144 49448 1696 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 133.998 126.547 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 21807 hl-extractinstructions.txt 20180226_184115 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_4
20180226_183833 50 1 3 2 100000 105731136 8 10000 55 9935 870 8 99 1000 1 TOTAL 50803 48993 1810 8 0 0 0 0 0 0 0 0 0 0 2 0 0 0 132.318 124.75 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 21805 hl-extractinstructions.txt 20180226_184116 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_6
20180226_183836 50 1 3 2 100000 420477893 10 10000 45 9947 828 10 99 1000 1 TOTAL 51228 49496 1732 10 0 0 0 0 0 0 0 0 0 0 2 0 0 0 130.964 123.954 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 21811 hl-extractinstructions.txt 20180226_184118 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_8
20180226_183835 50 1 3 2 100000 967561224 1 10000 61 9934 808 1 99 1000 1 TOTAL 51006 49348 1658 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 132.911 124.281 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 21807 hl-extractinstructions.txt 20180226_184118 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_7
20180226_184052 50 1 3 2 100000 263688301 5 10000 58 9938 875 5 99 1000 1 TOTAL 50988 49168 1820 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 95.379 92.407 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 21805 hl-extractinstructions.txt 20180226_184259 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_9
20180226_184054 50 1 3 2 100000 50746969 8 10000 51 9941 786 8 99 1000 1 TOTAL 50788 49182 1606 8 0 0 0 0 0 0 0 0 0 0 2 0 0 0 96.059 93.047 ../hl/auditfreq/log/doc50cop3shlf1lif2_af1000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 21804 hl-extractinstructions.txt 20180226_184301 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 780307c8c434e37d000f6b9aa1bf808087668a41_10
