timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171102_181416 50 1 2 3 100000 919028296 1590 10000 987 8161 0 1590 9 10000 10 15285 15285 0 1464 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.391 28.687 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 11398628 hl-extractinstructions.txt 20171102_181638 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_1
20171102_181418 50 1 2 3 100000 103765041 1526 10000 1010 8180 0 1526 9 10000 10 15404 15404 0 1411 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.341 28.281 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 11410459 hl-extractinstructions.txt 20171102_181640 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_2
20171102_181419 50 1 2 3 100000 141246882 1506 10000 1050 8141 0 1506 9 10000 10 15489 15489 0 1414 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.533 27.985 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 11461700 hl-extractinstructions.txt 20171102_181642 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_3
20171102_181420 50 1 2 3 100000 681028781 1599 10000 1025 8131 0 1599 9 10000 10 15400 15400 0 1508 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.331 28.485 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 11473386 hl-extractinstructions.txt 20171102_181644 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_4
20171102_181422 50 1 2 3 100000 117661523 1631 10000 957 8176 0 1631 9 10000 10 15580 15580 0 1510 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.831 29.515 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 11592943 hl-extractinstructions.txt 20171102_181645 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_5
20171102_181423 50 1 2 3 100000 105731136 1581 10000 1009 8137 0 1581 9 10000 10 15425 15425 0 1472 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.540 28.672 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 11463697 hl-extractinstructions.txt 20171102_181646 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_6
20171102_181425 50 1 2 3 100000 967561224 1624 10000 987 8172 0 1624 9 10000 10 15551 15551 0 1501 0 0 0 0 0 0 0 0 0 0 2 0 0 0 77.881 28.0 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 11554364 hl-extractinstructions.txt 20171102_181647 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_7
20171102_181537 50 1 2 3 100000 420477893 1562 10000 988 8174 0 1562 9 10000 10 15458 15458 0 1448 0 0 0 0 0 0 0 0 0 0 2 0 0 0 98.011 26.063 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 11456335 hl-extractinstructions.txt 20171102_181812 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_8
20171102_181548 50 1 2 3 100000 263688301 1525 10000 1034 8175 0 1525 9 10000 10 15452 15452 0 1402 0 0 0 0 0 0 0 0 0 0 2 0 0 0 97.719 25.922 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 11434770 hl-extractinstructions.txt 20171102_181826 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_9
20171102_181550 50 1 2 3 100000 50746969 1560 10000 998 8151 0 1560 9 10000 10 15402 15402 0 1449 0 0 0 0 0 0 0 0 0 0 2 0 0 0 98.852 26.985 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 11436121 hl-extractinstructions.txt 20171102_181828 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 a67b3f994fc46143989916bb480811d22c74d3e6_10
