timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170913_154357 50 1 1 1 100000 919028296 9676 10000 324 0 0 9676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.682 6.437108 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 4272645 hl-extractinstructions.txt 20170913_154418 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_1
20170913_154358 50 1 1 1 100000 103765041 9673 10000 327 0 0 9673 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.977 6.73165 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 4253403 hl-extractinstructions.txt 20170913_154420 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_2
20170913_154359 50 1 1 1 100000 141246882 9671 10000 329 0 0 9671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.711 6.462652 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 4271920 hl-extractinstructions.txt 20170913_154420 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_3
20170913_154400 50 1 1 1 100000 681028781 9705 10000 295 0 0 9705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 8.068 6.803471 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 4275890 hl-extractinstructions.txt 20170913_154422 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_4
20170913_154401 50 1 1 1 100000 117661523 9691 10000 309 0 0 9691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.810 6.541924 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 4273964 hl-extractinstructions.txt 20170913_154423 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_5
20170913_154402 50 1 1 1 100000 105731136 9696 10000 304 0 0 9696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.745 6.486252 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 4278528 hl-extractinstructions.txt 20170913_154424 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_6
20170913_154403 50 1 1 1 100000 967561224 9680 10000 320 0 0 9680 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.767 6.49909 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 4276752 hl-extractinstructions.txt 20170913_154425 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_7
20170913_154405 50 1 1 1 100000 420477893 9697 10000 303 0 0 9697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.758 6.492766 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 4275351 hl-extractinstructions.txt 20170913_154426 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_8
20170913_154406 50 1 1 1 100000 263688301 9691 10000 309 0 0 9691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.733 6.471538 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 4282744 hl-extractinstructions.txt 20170913_154427 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_9
20170913_154407 50 1 1 1 100000 50746969 9653 10000 347 0 0 9653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.813 6.53249 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 4236130 hl-extractinstructions.txt 20170913_154428 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_10
20170913_154408 50 1 1 1 100000 533657980 9678 10000 322 0 0 9678 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.681 6.435935 baseline/noaudit/log/doc50cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed533657980.log 4275158 hl-extractinstructions.txt 20170913_154429 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 5bba83f3a506e736de92326d19f7b0cf3e0d9cbd_11
