timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180130_174255 50 1 3 3 100000 919028296 173 10000 257 9544 3034 173 9 10000 1 TOTAL 31044 24634 6410 155 1000 33 0 250 239 0 0 0 0 0 2 0 0 0 22.752 21.697232 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed919028296.log 21836 hl-extractinstructions.txt 20180130_174348 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_1
20180130_174256 50 1 3 3 100000 103765041 152 10000 246 9542 3117 152 9 10000 1 TOTAL 30863 24321 6542 138 1000 33 0 250 229 0 0 0 0 0 2 0 0 0 22.929 21.773088 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed103765041.log 21836 hl-extractinstructions.txt 20180130_174349 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_2
20180130_174258 50 1 3 3 100000 681028781 175 10000 227 9546 3138 175 9 10000 1 TOTAL 31411 24645 6766 159 1000 33 0 250 242 0 0 0 0 0 2 0 0 0 24.483 23.407673 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed681028781.log 21835 hl-extractinstructions.txt 20180130_174353 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_4
20180130_174257 50 1 3 3 100000 141246882 177 10000 218 9557 3059 177 9 10000 1 TOTAL 30865 24445 6420 160 1000 33 0 250 234 0 0 0 0 0 2 0 0 0 26.205 24.992542 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed141246882.log 21833 hl-extractinstructions.txt 20180130_174354 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_3
20180130_174259 50 1 3 3 100000 117661523 139 10000 245 9526 3127 139 9 10000 1 TOTAL 30991 24321 6670 126 1000 33 0 250 210 0 0 0 0 0 2 0 0 0 26.439 25.223661 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed117661523.log 21835 hl-extractinstructions.txt 20180130_174356 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_5
20180130_174300 50 1 3 3 100000 105731136 158 10000 222 9575 3102 158 9 10000 1 TOTAL 31008 24420 6588 142 1000 33 0 250 217 0 0 0 0 0 2 0 0 0 26.996 25.868479 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed105731136.log 21835 hl-extractinstructions.txt 20180130_174357 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_6
20180130_174302 50 1 3 3 100000 420477893 153 10000 247 9553 3056 153 9 10000 1 TOTAL 30891 24481 6410 139 1000 33 0 250 231 0 0 0 0 0 2 0 0 0 25.534 24.417943 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed420477893.log 21837 hl-extractinstructions.txt 20180130_174358 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_8
20180130_174303 50 1 3 3 100000 263688301 162 10000 231 9559 3053 162 9 10000 1 TOTAL 30975 24521 6454 147 1000 33 0 250 235 0 0 0 0 0 2 0 0 0 26.549 25.423209 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed263688301.log 21836 hl-extractinstructions.txt 20180130_174400 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_9
20180130_174301 50 1 3 3 100000 967561224 141 10000 263 9539 3051 141 9 10000 1 TOTAL 30969 24501 6468 120 1000 33 0 250 194 0 0 0 0 0 2 0 0 0 28.893 27.598781 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed967561224.log 21835 hl-extractinstructions.txt 20180130_174400 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_7
20180130_174304 50 1 3 3 100000 50746969 182 10000 230 9531 3083 182 9 10000 1 TOTAL 31133 24601 6532 166 1000 33 0 250 246 0 0 0 0 0 2 0 0 0 30.934 29.63972 ../glitch/month/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf1000i33d0m250_sh0i0s0m0_sdl0_seed50746969.log 21832 hl-extractinstructions.txt 20180130_174406 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 feddffcd6988735fc10fa16cfe24aeee8de5a780_10
