timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180130_214253 50 1 3 3 100000 919028296 160 10000 217 9561 3356 160 9 10000 1 TOTAL 32502 25336 7166 149 2500 33 0 1000 104 0 0 0 0 0 2 0 0 0 23.622 22.637576 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed919028296.log 21848 hl-extractinstructions.txt 20180130_214347 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_1
20180130_214254 50 1 3 3 100000 103765041 150 10000 200 9575 3231 150 9 10000 1 TOTAL 32121 25219 6902 138 2500 33 0 1000 89 0 0 0 0 0 2 0 0 0 24.912 23.963471 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed103765041.log 21844 hl-extractinstructions.txt 20180130_214350 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_2
20180130_214256 50 1 3 3 100000 141246882 200 10000 225 9557 3197 200 9 10000 1 TOTAL 31713 24971 6742 183 2500 33 0 1000 97 0 0 0 0 0 2 0 0 0 24.548 23.578646 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed141246882.log 21846 hl-extractinstructions.txt 20180130_214350 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_3
20180130_214259 50 1 3 3 100000 105731136 173 10000 184 9588 3241 173 9 10000 1 TOTAL 32063 25109 6954 155 2500 33 0 1000 101 0 0 0 0 0 2 0 0 0 24.838 23.774381 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed105731136.log 21848 hl-extractinstructions.txt 20180130_214354 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_6
20180130_214258 50 1 3 3 100000 117661523 183 10000 208 9577 3219 183 9 10000 1 TOTAL 31669 24861 6808 166 2500 33 0 1000 89 0 0 0 0 0 2 0 0 0 26.002 25.010373 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed117661523.log 21844 hl-extractinstructions.txt 20180130_214354 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_5
20180130_214257 50 1 3 3 100000 681028781 173 10000 190 9603 3303 173 9 10000 1 TOTAL 32548 25434 7114 153 2500 33 0 1000 105 0 0 0 0 0 2 0 0 0 27.512 26.440938 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed681028781.log 21849 hl-extractinstructions.txt 20180130_214354 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_4
20180130_214301 50 1 3 3 100000 420477893 182 10000 244 9545 3106 182 9 10000 1 TOTAL 31494 24912 6582 164 2500 33 0 1000 80 0 0 0 0 0 2 0 0 0 26.776 25.664648 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed420477893.log 21845 hl-extractinstructions.txt 20180130_214358 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_8
20180130_214300 50 1 3 3 100000 967561224 185 10000 193 9605 3299 185 9 10000 1 TOTAL 32650 25486 7164 170 2500 33 0 1000 102 0 0 0 0 0 2 0 0 0 29.823 28.49931 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed967561224.log 21846 hl-extractinstructions.txt 20180130_214400 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_7
20180130_214302 50 1 3 3 100000 263688301 170 10000 168 9635 3372 170 9 10000 1 TOTAL 32436 25266 7170 151 2500 33 0 1000 100 0 0 0 0 0 2 0 0 0 29.662 28.3587 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed263688301.log 21843 hl-extractinstructions.txt 20180130_214402 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_9
20180130_214304 50 1 3 3 100000 533657980 177 10000 200 9572 3254 177 9 10000 1 TOTAL 32530 25436 7094 160 2500 33 0 1000 93 0 0 0 0 0 2 0 0 0 32.034 30.617149 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf2500i33d0m1000_sh0i0s0m0_sdl0_seed533657980.log 21845 hl-extractinstructions.txt 20180130_214406 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 83c5b24a7b79bdeaddef901c274a2274063e10b4_11
