timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180130_225541 50 1 3 3 100000 919028296 130 10000 310 9464 2779 130 9 10000 1 TOTAL 28822 23088 5734 127 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.337 18.420753 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 20298 hl-extractinstructions.txt 20180130_225630 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_1
20180130_225542 50 1 3 3 100000 103765041 109 10000 298 9493 2673 109 9 10000 1 TOTAL 28621 23055 5566 106 0 0 0 0 0 0 0 0 0 0 2 0 0 0 18.905 18.001433 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 20298 hl-extractinstructions.txt 20180130_225631 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_2
20180130_225543 50 1 3 3 100000 141246882 131 10000 314 9479 2787 131 9 10000 1 TOTAL 29001 23183 5818 119 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.390 18.469262 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 20298 hl-extractinstructions.txt 20180130_225632 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_3
20180130_225545 50 1 3 3 100000 117661523 129 10000 315 9467 2818 129 9 10000 1 TOTAL 29031 23165 5866 115 0 0 0 0 0 0 0 0 0 0 2 0 0 0 21.077 20.132247 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 20298 hl-extractinstructions.txt 20180130_225636 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_5
20180130_225546 50 1 3 3 100000 105731136 133 10000 340 9407 2677 133 9 10000 1 TOTAL 28806 23192 5614 122 0 0 0 0 0 0 0 0 0 0 2 0 0 0 23.307 22.283741 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 20298 hl-extractinstructions.txt 20180130_225639 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_6
20180130_225544 50 1 3 3 100000 681028781 135 10000 312 9462 2710 135 9 10000 1 TOTAL 28837 23095 5742 126 0 0 0 0 0 0 0 0 0 0 2 0 0 0 26.490 25.392158 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 20298 hl-extractinstructions.txt 20180130_225640 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_4
20180130_225548 50 1 3 3 100000 420477893 133 10000 302 9481 2739 133 9 10000 1 TOTAL 29105 23449 5656 120 0 0 0 0 0 0 0 0 0 0 2 0 0 0 22.944 21.902743 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 20298 hl-extractinstructions.txt 20180130_225641 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_8
20180130_225549 50 1 3 3 100000 263688301 114 10000 327 9471 2742 114 9 10000 1 TOTAL 29047 23343 5704 105 0 0 0 0 0 0 0 0 0 0 2 0 0 0 22.311 21.235474 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 20298 hl-extractinstructions.txt 20180130_225641 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_9
20180130_225550 50 1 3 3 100000 50746969 139 10000 323 9473 2686 139 9 10000 1 TOTAL 28676 23156 5520 130 0 0 0 0 0 0 0 0 0 0 2 0 0 0 23.839 22.743575 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 20297 hl-extractinstructions.txt 20180130_225644 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_10
20180130_225547 50 1 3 3 100000 967561224 113 10000 287 9506 2757 113 9 10000 1 TOTAL 28911 23241 5670 100 0 0 0 0 0 0 0 0 0 0 2 0 0 0 27.163 25.942251 ../glitch/quarter/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 20298 hl-extractinstructions.txt 20180130_225644 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 fe6aa6882152956e42d4460ebbe162a4d118e536_7
