timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180130_232635 50 1 3 3 100000 919028296 202 10000 206 9572 3310 202 9 10000 1 TOTAL 32112 25000 7112 188 10000 33 0 5000 17 0 0 0 0 0 2 0 0 0 23.663 22.641631 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed919028296.log 21836 hl-extractinstructions.txt 20180130_232729 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_1
20180130_232636 50 1 3 3 100000 103765041 169 10000 211 9576 3218 169 9 10000 1 TOTAL 31951 25141 6810 147 10000 33 0 5000 19 0 0 0 0 0 2 0 0 0 23.051 22.06669 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed103765041.log 21839 hl-extractinstructions.txt 20180130_232729 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_2
20180130_232637 50 1 3 3 100000 141246882 147 10000 209 9581 3095 147 9 10000 1 TOTAL 30763 24413 6350 127 10000 33 0 5000 14 0 0 0 0 0 2 0 0 0 23.015 21.923387 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed141246882.log 21334 hl-extractinstructions.txt 20180130_232730 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_3
20180130_232638 50 1 3 3 100000 681028781 174 10000 191 9604 3311 174 9 10000 1 TOTAL 32519 25433 7086 145 10000 33 0 5000 21 0 0 0 0 0 2 0 0 0 25.153 24.068927 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed681028781.log 21837 hl-extractinstructions.txt 20180130_232734 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_4
20180130_232639 50 1 3 3 100000 117661523 179 10000 189 9586 3298 179 9 10000 1 TOTAL 32492 25414 7078 168 10000 33 0 5000 22 0 0 0 0 0 2 0 0 0 25.420 24.402375 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed117661523.log 21840 hl-extractinstructions.txt 20180130_232735 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_5
20180130_232640 50 1 3 3 100000 105731136 189 10000 233 9562 3235 189 9 10000 1 TOTAL 31690 24878 6812 166 10000 33 0 5000 22 0 0 0 0 0 2 0 0 0 28.027 26.674597 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed105731136.log 21837 hl-extractinstructions.txt 20180130_232739 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_6
20180130_232641 50 1 3 3 100000 967561224 171 10000 223 9562 3149 171 9 10000 1 TOTAL 30870 24234 6636 163 10000 33 0 5000 16 0 0 0 0 0 2 0 0 0 27.592 26.18865 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed967561224.log 21832 hl-extractinstructions.txt 20180130_232739 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_7
20180130_232642 50 1 3 3 100000 420477893 158 10000 236 9525 3085 158 9 10000 1 TOTAL 31128 24634 6494 139 10000 33 0 5000 18 0 0 0 0 0 2 0 0 0 27.038 25.729486 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed420477893.log 21837 hl-extractinstructions.txt 20180130_232740 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_8
20180130_232643 50 1 3 3 100000 263688301 179 10000 184 9587 3332 179 9 10000 1 TOTAL 32862 25598 7264 165 10000 33 0 5000 29 0 0 0 0 0 2 0 0 0 32.322 30.984973 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed263688301.log 21847 hl-extractinstructions.txt 20180130_232746 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_9
20180130_232644 50 1 3 3 100000 50746969 189 10000 189 9597 3286 189 9 10000 1 TOTAL 32750 25576 7174 171 10000 33 0 5000 24 0 0 0 0 0 2 0 0 0 31.508 30.154628 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed50746969.log 21838 hl-extractinstructions.txt 20180130_232746 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_10
20180130_232646 50 1 3 3 100000 533657980 218 10000 193 9612 3442 218 9 10000 1 TOTAL 33106 25718 7388 195 10000 33 0 5000 30 0 0 0 0 0 2 0 0 0 32.328 31.179909 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed533657980.log 21848 hl-extractinstructions.txt 20180130_232748 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_11
20180130_232648 50 1 3 3 100000 597296547 164 10000 207 9585 3377 164 9 10000 1 TOTAL 32527 25343 7184 140 10000 33 0 5000 25 0 0 0 0 0 2 0 0 0 34.127 32.717257 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed597296547.log 21841 hl-extractinstructions.txt 20180130_232752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_13
20180130_232647 50 1 3 3 100000 711283608 198 10000 176 9630 3439 198 9 10000 1 TOTAL 33284 25862 7422 171 10000 33 0 5000 27 0 0 0 0 0 2 0 0 0 35.479 34.20384 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed711283608.log 21846 hl-extractinstructions.txt 20180130_232752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_12
20180130_232650 50 1 3 3 100000 258760793 172 10000 185 9606 3287 172 9 10000 1 TOTAL 32435 25317 7118 161 10000 33 0 5000 20 0 0 0 0 0 2 0 0 0 33.517 32.316138 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed258760793.log 21843 hl-extractinstructions.txt 20180130_232753 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_15
20180130_232649 50 1 3 3 100000 664375964 202 10000 167 9625 3560 202 9 10000 1 TOTAL 33223 25615 7608 177 10000 33 0 5000 31 0 0 0 0 0 2 0 0 0 35.670 34.452156 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed664375964.log 21849 hl-extractinstructions.txt 20180130_232754 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_14
20180130_232651 50 1 3 3 100000 666549275 221 10000 171 9571 3537 221 9 10000 1 TOTAL 33644 25958 7686 201 10000 33 0 5000 29 0 0 0 0 0 2 0 0 0 36.703 35.465865 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed666549275.log 21850 hl-extractinstructions.txt 20180130_232758 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_16
20180130_232654 50 1 3 3 100000 519606501 169 10000 187 9587 3201 169 9 10000 1 TOTAL 31879 25005 6874 152 10000 33 0 5000 17 0 0 0 0 0 2 0 0 0 34.317 33.102222 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed519606501.log 21338 hl-extractinstructions.txt 20180130_232758 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_19
20180130_232653 50 1 3 3 100000 817713633 206 10000 196 9586 3390 206 9 10000 1 TOTAL 33214 25768 7446 191 10000 33 0 5000 30 0 0 0 0 0 2 0 0 0 36.261 34.848366 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed817713633.log 21847 hl-extractinstructions.txt 20180130_232759 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_18
20180130_232652 50 1 3 3 100000 376517787 174 10000 182 9626 3403 174 9 10000 1 TOTAL 32839 25495 7344 154 10000 33 0 5000 25 0 0 0 0 0 2 0 0 0 38.106 36.682697 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed376517787.log 21844 hl-extractinstructions.txt 20180130_232800 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_17
20180130_232655 50 1 3 3 100000 715258232 208 10000 147 9629 3508 208 9 10000 1 TOTAL 33710 26050 7660 195 10000 33 0 5000 26 0 0 0 0 0 2 0 0 0 35.122 33.799204 ../glitch/year/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i33d0m5000_sh0i0s0m0_sdl0_seed715258232.log 21847 hl-extractinstructions.txt 20180130_232800 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.342 158a8df20159f2f00c0de8e293b82504327ee49b_20
