timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171102_141655 50 1 2 3 100000 103765041 1397 10000 1016 8246 0 1397 9 10000 4 15593 15593 0 1268 0 0 0 0 0 0 0 0 0 0 2 0 0 0 74.347 28.25 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 11273206 hl-extractinstructions.txt 20171102_141913 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_2
20171102_141654 50 1 2 3 100000 919028296 1542 10000 982 8206 0 1542 9 10000 4 15500 15500 0 1420 0 0 0 0 0 0 0 0 0 0 2 0 0 0 76.385 28.876 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 11303669 hl-extractinstructions.txt 20171102_141914 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_1
20171102_141656 50 1 2 3 100000 141246882 1496 10000 1003 8238 0 1496 9 10000 4 15546 15546 0 1373 0 0 0 0 0 0 0 0 0 0 2 0 0 0 75.588 28.782 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 11309174 hl-extractinstructions.txt 20171102_141917 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_3
20171102_141658 50 1 2 3 100000 681028781 1513 10000 983 8232 0 1513 9 10000 4 15560 15560 0 1395 0 0 0 0 0 0 0 0 0 0 2 0 0 0 74.999 28.609 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 11314867 hl-extractinstructions.txt 20171102_141917 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_4
20171102_141659 50 1 2 3 100000 117661523 1523 10000 934 8294 0 1523 9 10000 4 15551 15551 0 1384 0 0 0 0 0 0 0 0 0 0 2 0 0 0 75.331 29.484 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 11333532 hl-extractinstructions.txt 20171102_141919 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_5
20171102_141700 50 1 2 3 100000 105731136 1477 10000 979 8279 0 1477 9 10000 4 15652 15652 0 1354 0 0 0 0 0 0 0 0 0 0 2 0 0 0 75.679 28.796 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 11340702 hl-extractinstructions.txt 20171102_141920 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_6
20171102_141702 50 1 2 3 100000 967561224 1497 10000 996 8230 0 1497 9 10000 4 15644 15644 0 1377 0 0 0 0 0 0 0 0 0 0 2 0 0 0 76.493 28.766 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 11358732 hl-extractinstructions.txt 20171102_141922 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_7
20171102_141815 50 1 2 3 100000 420477893 1482 10000 962 8246 0 1482 9 10000 4 15533 15533 0 1377 0 0 0 0 0 0 0 0 0 0 2 0 0 0 93.602 26.015 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 11294338 hl-extractinstructions.txt 20171102_142047 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_8
20171102_141816 50 1 2 3 100000 263688301 1482 10000 1018 8237 0 1482 9 10000 4 15877 15877 0 1349 0 0 0 0 0 0 0 0 0 0 2 0 0 0 95.993 25.594 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 11436641 hl-extractinstructions.txt 20171102_142052 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_9
20171102_141817 50 1 2 3 100000 50746969 1538 10000 955 8254 0 1538 9 10000 4 15687 15687 0 1407 0 0 0 0 0 0 0 0 0 0 2 0 0 0 96.933 26.531 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 11408267 hl-extractinstructions.txt 20171102_142054 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_10
20171102_141828 50 1 2 3 100000 533657980 1461 10000 984 8257 0 1461 9 10000 4 15736 15736 0 1355 0 0 0 0 0 0 0 0 0 0 2 0 0 0 94.422 26.171 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed533657980.log 11374980 hl-extractinstructions.txt 20171102_142101 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_11
20171102_142003 50 1 2 3 100000 711283608 1514 10000 965 8260 0 1514 9 10000 4 15736 15736 0 1377 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.747 29.094 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed711283608.log 11438949 hl-extractinstructions.txt 20171102_142225 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_12
20171102_142004 50 1 2 3 100000 597296547 1484 10000 991 8241 0 1484 9 10000 4 15557 15557 0 1356 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.229 28.844 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed597296547.log 11298750 hl-extractinstructions.txt 20171102_142225 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_13
20171102_142005 50 1 2 3 100000 664375964 1493 10000 970 8255 0 1493 9 10000 4 15551 15551 0 1364 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.426 30.126 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed664375964.log 11314801 hl-extractinstructions.txt 20171102_142226 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_14
20171102_142006 50 1 2 3 100000 258760793 1489 10000 986 8250 0 1489 9 10000 4 15795 15795 0 1355 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.866 28.063 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed258760793.log 11431321 hl-extractinstructions.txt 20171102_142228 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_15
20171102_142007 50 1 2 3 100000 666549275 1524 10000 995 8227 0 1524 9 10000 4 15573 15573 0 1404 0 0 0 0 0 0 0 0 0 0 2 0 0 0 80.149 28.828 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed666549275.log 11350901 hl-extractinstructions.txt 20171102_142230 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_16
20171102_142131 50 1 2 3 100000 376517787 1444 10000 962 8273 0 1444 9 10000 4 15727 15727 0 1326 0 0 0 0 0 0 0 0 0 0 2 0 0 0 86.588 29.093 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed376517787.log 11360006 hl-extractinstructions.txt 20171102_142359 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_17
20171102_142132 50 1 2 3 100000 817713633 1503 10000 1003 8208 0 1503 9 10000 4 15354 15354 0 1374 0 0 0 0 0 0 0 0 0 0 2 0 0 0 86.808 28.954 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s4tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed817713633.log 11198623 hl-extractinstructions.txt 20171102_142401 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 174c8c1faf8d29129d37c794ffdb27219ef145fe_18
