timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170921_205631 5 1 1 1 100000 919028296 2893 10000 7107 0 0 2893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.867 5.998108 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 1405946 hl-extractinstructions.txt 20170921_205652 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_1
20170921_205635 5 1 1 1 100000 117661523 2927 10000 7073 0 0 2927 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 8.030 6.119025 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 1417582 hl-extractinstructions.txt 20170921_205657 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_5
20170921_205634 5 1 1 1 100000 681028781 2918 10000 7082 0 0 2918 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.920 6.053597 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 1417600 hl-extractinstructions.txt 20170921_205657 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_4
20170921_205633 5 1 1 1 100000 141246882 2889 10000 7111 0 0 2889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 10.300 7.823849 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 1405741 hl-extractinstructions.txt 20170921_205657 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_3
20170921_205636 5 1 1 1 100000 105731136 2955 10000 7045 0 0 2955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 8.008 6.09268 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 1433483 hl-extractinstructions.txt 20170921_205659 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_6
20170921_205632 5 1 1 1 100000 103765041 2917 10000 7083 0 0 2917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.949 6.02825 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 1413093 hl-extractinstructions.txt 20170921_205659 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_2
20170921_205638 5 1 1 1 100000 420477893 2896 10000 7104 0 0 2896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.942 6.03905 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 1407326 hl-extractinstructions.txt 20170921_205700 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_8
20170921_205639 5 1 1 1 100000 263688301 2968 10000 7032 0 0 2968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.957 6.045432 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 1435014 hl-extractinstructions.txt 20170921_205701 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_9
20170921_205637 5 1 1 1 100000 967561224 2867 10000 7133 0 0 2867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 10.185 8.245858 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 1389379 hl-extractinstructions.txt 20170921_205703 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_7
20170921_205640 5 1 1 1 100000 50746969 2867 10000 7133 0 0 2867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 7.912 6.036595 ../scaling/docsize/log/doc5cop1shlf1lif1_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 1395924 hl-extractinstructions.txt 20170921_205703 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 ca480b1f83d68e85bd21ef09c11fc454a112cd12_10
