timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170921_230322 50 1 5 20 100000 919028296 0 10000 4222 5778 3 0 9 10000 1 7749 7740 9 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 59.934 51.04181 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 5073810 hl-extractinstructions.txt 20170921_230514 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_1
20170921_230326 50 1 5 20 100000 117661523 0 10000 4202 5792 11 0 9 10000 1 7701 7668 33 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 60.464 51.399805 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 5039346 hl-extractinstructions.txt 20170921_230522 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_5
20170921_230323 50 1 5 20 100000 103765041 0 10000 4208 5789 6 0 9 10000 1 7670 7655 15 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 63.241 53.706611 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 5027361 hl-extractinstructions.txt 20170921_230524 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_2
20170921_230325 50 1 5 20 100000 681028781 0 10000 4231 5768 4 0 9 10000 1 7764 7755 9 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 63.785 52.860752 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 5063530 hl-extractinstructions.txt 20170921_230525 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_4
20170921_230324 50 1 5 20 100000 141246882 0 10000 4254 5742 7 0 9 10000 1 7686 7665 21 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 62.767 52.878739 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 5038828 hl-extractinstructions.txt 20170921_230526 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_3
20170921_230328 50 1 5 20 100000 967561224 0 10000 4182 5814 5 0 9 10000 1 7727 7712 15 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 62.611 52.464809 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 5063475 hl-extractinstructions.txt 20170921_230526 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_7
20170921_230330 50 1 5 20 100000 263688301 0 10000 4166 5830 5 0 9 10000 1 7671 7656 15 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 60.788 50.2862 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 5033903 hl-extractinstructions.txt 20170921_230526 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_9
20170921_230331 50 1 5 20 100000 50746969 0 10000 4190 5808 3 0 9 10000 1 7812 7806 6 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 59.991 49.783028 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 5091340 hl-extractinstructions.txt 20170921_230527 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_10
20170921_230329 50 1 5 20 100000 420477893 0 10000 4133 5864 8 0 9 10000 1 7827 7803 24 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 60.765 50.404797 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 5102876 hl-extractinstructions.txt 20170921_230529 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_8
20170921_230327 50 1 5 20 100000 105731136 0 10000 4209 5789 8 0 9 10000 1 7695 7674 21 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 62.763 52.307952 ../scaling/shelfsize/log/doc50cop5shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 5040318 hl-extractinstructions.txt 20170921_230530 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.062 09c1ea632c8d5698c59c58ee425a33dd5a6fe832_6
