timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180319_180416 50 1 3 3 100000 919028296 130 10000 310 9464 2779 130 9 10000 1 SYSTEMATIC 28822 23088 5734 127 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.101 48.671225 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 17463380 hl-extractinstructions.txt 20180319_180626 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_1
20180319_180418 50 1 3 3 100000 141246882 131 10000 314 9479 2787 131 9 10000 1 SYSTEMATIC 29001 23183 5818 119 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.564 49.576328 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 17526279 hl-extractinstructions.txt 20180319_180628 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_3
20180319_180417 50 1 3 3 100000 103765041 109 10000 298 9493 2673 109 9 10000 1 SYSTEMATIC 28621 23055 5566 106 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.034 49.000939 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 17359129 hl-extractinstructions.txt 20180319_180629 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_2
20180319_180354 50 1 3 2 100000 919028296 381 10000 49 9729 4816 381 9 10000 1 SYSTEMATIC 41151 29687 11464 352 0 0 0 0 0 0 0 0 0 0 2 0 0 0 62.410 59.473642 ../hl/segmentedauditing/log/doc50cop3shlf1lif2_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 24964722 hl-extractinstructions.txt 20180319_180630 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 cd6fa6d7b2debd6cb40f6eec63dae1cdd346e66b_1
20180319_180420 50 1 3 3 100000 117661523 129 10000 315 9467 2818 129 9 10000 1 SYSTEMATIC 29031 23165 5866 115 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.368 49.161603 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 17522176 hl-extractinstructions.txt 20180319_180635 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_5
20180319_180422 50 1 3 3 100000 967561224 113 10000 287 9506 2757 113 9 10000 1 SYSTEMATIC 28911 23241 5670 100 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.082 47.979249 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 17518368 hl-extractinstructions.txt 20180319_180637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_7
20180319_180423 50 1 3 3 100000 420477893 133 10000 302 9481 2739 133 9 10000 1 SYSTEMATIC 29105 23449 5656 120 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.650 48.478221 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 17610053 hl-extractinstructions.txt 20180319_180637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_8
20180319_180421 50 1 3 3 100000 105731136 133 10000 340 9407 2677 133 9 10000 1 SYSTEMATIC 28806 23192 5614 122 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.753 49.460829 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 17449131 hl-extractinstructions.txt 20180319_180637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_6
20180319_180419 50 1 3 3 100000 681028781 135 10000 312 9462 2710 135 9 10000 1 SYSTEMATIC 28837 23095 5742 126 0 0 0 0 0 0 0 0 0 0 2 0 0 0 53.589 51.247074 ../hl/segmentedauditing/log/doc50cop3shlf1lif3_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 17453007 hl-extractinstructions.txt 20180319_180638 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 28c7e40e5c9f2aae6c8fbc061d0a66c76e30b34d_4
20180319_180355 50 1 3 2 100000 103765041 367 10000 60 9736 4842 367 9 10000 1 SYSTEMATIC 41151 29689 11462 335 0 0 0 0 0 0 0 0 0 0 2 0 0 0 64.665 62.032784 ../hl/segmentedauditing/log/doc50cop3shlf1lif2_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 24986196 hl-extractinstructions.txt 20180319_180638 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 cd6fa6d7b2debd6cb40f6eec63dae1cdd346e66b_2
