timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180827_013022 50 1 5 2 100000 103765041 17 10000 0 9984 9986 17 9 10000 4 SYSTEMATIC 65735 55162 10573 17 0 0 0 0 0 100000 20000 50 10000 2 2 3 9 41 76.170 74.204 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed103765041.log 28231 hl-extractinstructions.txt 20180827_013209 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_2
20180827_013021 50 1 5 2 100000 919028296 17 10000 0 9990 5895 17 9 10000 4 SYSTEMATIC 70612 60952 9660 17 0 0 0 0 0 100000 20000 50 10000 2 2 2 4 36 78.271 76.036 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed919028296.log 25650 hl-extractinstructions.txt 20180827_013210 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_1
20180827_013024 50 1 5 2 100000 681028781 11 10000 0 9992 9992 11 9 10000 4 SYSTEMATIC 68739 58339 10400 11 0 0 0 0 0 100000 20000 50 10000 2 2 3 7 44 82.061 80.105 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed681028781.log 27196 hl-extractinstructions.txt 20180827_013217 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_4
20180827_013025 50 1 5 2 100000 117661523 12 10000 0 9984 9988 12 9 10000 4 SYSTEMATIC 68745 58885 9860 12 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 30 82.695 80.752 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed117661523.log 27124 hl-extractinstructions.txt 20180827_013218 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_5
20180827_013023 50 1 5 2 100000 141246882 30 10000 0 9981 9979 30 9 10000 4 SYSTEMATIC 68221 57575 10646 30 0 0 0 0 0 100000 20000 50 10000 2 2 4 8 40 85.118 83.083 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed141246882.log 27694 hl-extractinstructions.txt 20180827_013219 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_3
20180827_013028 50 1 5 2 100000 420477893 17 10000 0 9990 9986 17 9 10000 4 SYSTEMATIC 70811 61184 9627 14 0 0 0 0 0 100000 20000 50 10000 2 2 3 5 38 85.400 83.617 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed420477893.log 25161 hl-extractinstructions.txt 20180827_013224 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_8
20180827_013031 50 1 5 2 100000 533657980 41 10000 0 9963 9964 41 9 10000 4 SYSTEMATIC 65539 54468 11071 41 0 0 0 0 0 100000 20000 50 10000 2 2 6 11 44 83.784 82.027 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed533657980.log 29739 hl-extractinstructions.txt 20180827_013226 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_11
20180827_013032 50 1 5 2 100000 711283608 12 10000 0 9990 9991 12 9 10000 4 SYSTEMATIC 69356 59657 9699 11 0 0 0 0 0 100000 20000 50 10000 2 2 2 7 34 86.629 84.923 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed711283608.log 26651 hl-extractinstructions.txt 20180827_013229 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_12
20180827_013029 50 1 5 2 100000 263688301 14 10000 0 9994 5824 14 9 10000 4 SYSTEMATIC 70362 60493 9869 13 0 0 0 0 0 100000 20000 50 10000 2 2 3 5 38 90.135 88.367 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed263688301.log 26677 hl-extractinstructions.txt 20180827_013230 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_9
20180827_013030 50 1 5 2 100000 50746969 22 10000 0 9980 9985 22 9 10000 4 SYSTEMATIC 68352 57480 10872 21 0 0 0 0 0 100000 20000 50 10000 2 2 2 8 41 90.901 89.058 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s4tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed50746969.log 28198 hl-extractinstructions.txt 20180827_013232 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 46cc7e3a8b5d961d8272ec408e42b77d12f57ebb_10
