timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180828_205456 50 1 4 2 100000 919028296 64 10000 0 9955 9939 64 9 10000 10 SYSTEMATIC 56064 52502 3562 64 0 0 0 0 0 100000 20000 50 10000 2 2 3 5 37 49.174 46.982 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed919028296.log 24316 hl-extractinstructions.txt 20180828_205615 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_1
20180828_205458 50 1 4 2 100000 141246882 57 10000 0 9958 9946 57 9 10000 10 SYSTEMATIC 56406 52823 3583 57 0 0 0 0 0 100000 20000 50 10000 2 2 3 6 39 57.097 55.015 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed141246882.log 25822 hl-extractinstructions.txt 20180828_205625 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_3
20180828_205459 50 1 4 2 100000 681028781 75 10000 0 9937 9935 75 9 10000 10 SYSTEMATIC 52080 48643 3437 75 0 0 0 0 0 100000 20000 50 10000 2 2 5 10 46 56.610 54.505 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed681028781.log 26947 hl-extractinstructions.txt 20180828_205626 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_4
20180828_205500 50 1 4 2 100000 117661523 66 10000 0 9964 9941 66 9 10000 10 SYSTEMATIC 55485 52072 3413 64 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 30 60.076 57.786 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed117661523.log 25286 hl-extractinstructions.txt 20180828_205630 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_5
20180828_205457 50 1 4 2 100000 103765041 46 10000 0 9980 3383 46 9 10000 10 SYSTEMATIC 57730 54141 3589 44 0 0 0 0 0 100000 20000 50 10000 2 2 0 3 39 63.467 61.237 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed103765041.log 24308 hl-extractinstructions.txt 20180828_205631 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_2
20180828_205502 50 1 4 2 100000 967561224 67 10000 0 9954 9936 67 9 10000 10 SYSTEMATIC 56286 52451 3835 66 0 0 0 0 0 100000 20000 50 10000 2 2 4 5 41 59.886 57.939 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed967561224.log 24859 hl-extractinstructions.txt 20180828_205632 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_7
20180828_205503 50 1 4 2 100000 420477893 57 10000 0 9965 9949 57 9 10000 10 SYSTEMATIC 57140 53610 3530 57 0 0 0 0 0 100000 20000 50 10000 2 2 4 5 38 60.423 58.621 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed420477893.log 25305 hl-extractinstructions.txt 20180828_205634 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_8
20180828_205501 50 1 4 2 100000 105731136 75 10000 0 9975 3362 75 9 10000 10 SYSTEMATIC 57005 53610 3395 71 0 0 0 0 0 100000 20000 50 10000 2 2 2 4 37 65.957 63.896 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed105731136.log 25293 hl-extractinstructions.txt 20180828_205637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_6
20180828_205505 50 1 4 2 100000 50746969 45 10000 0 9983 3437 45 9 10000 10 SYSTEMATIC 57672 53938 3734 43 0 0 0 0 0 100000 20000 50 10000 2 2 3 3 40 65.596 63.352 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed50746969.log 24802 hl-extractinstructions.txt 20180828_205641 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_10
20180828_205508 50 1 4 2 100000 597296547 91 10000 0 9946 9913 91 9 10000 10 SYSTEMATIC 56081 52343 3738 89 0 0 0 0 0 100000 20000 50 10000 2 2 3 5 43 63.780 61.823 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed597296547.log 24864 hl-extractinstructions.txt 20180828_205642 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_13
20180828_205504 50 1 4 2 100000 263688301 61 10000 0 9975 3410 61 9 10000 10 SYSTEMATIC 57073 53385 3688 61 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 37 69.027 67.001 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed263688301.log 25308 hl-extractinstructions.txt 20180828_205643 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_9
20180828_205506 50 1 4 2 100000 533657980 63 10000 0 9961 9939 63 9 10000 10 SYSTEMATIC 55041 51611 3430 63 0 0 0 0 0 100000 20000 50 10000 2 2 2 9 43 69.573 67.760 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed533657980.log 27859 hl-extractinstructions.txt 20180828_205646 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_11
20180828_205510 50 1 4 2 100000 258760793 66 10000 0 9955 9937 66 9 10000 10 SYSTEMATIC 54045 50583 3462 65 0 0 0 0 0 100000 20000 50 10000 2 2 4 8 44 65.410 63.425 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed258760793.log 25892 hl-extractinstructions.txt 20180828_205646 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_15
20180828_205507 50 1 4 2 100000 711283608 78 10000 0 9965 9923 78 9 10000 10 SYSTEMATIC 56955 53060 3895 78 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 33 70.348 68.454 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed711283608.log 26773 hl-extractinstructions.txt 20180828_205648 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_12
20180828_205511 50 1 4 2 100000 666549275 88 10000 0 9950 9918 88 9 10000 10 SYSTEMATIC 53790 50323 3467 87 0 0 0 0 0 100000 20000 50 10000 2 2 5 8 43 68.099 66.298 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed666549275.log 26888 hl-extractinstructions.txt 20180828_205650 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_16
20180828_205512 50 1 4 2 100000 376517787 65 10000 0 9961 9942 65 9 10000 10 SYSTEMATIC 55709 52083 3626 65 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 40 67.185 64.910 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed376517787.log 25833 hl-extractinstructions.txt 20180828_205650 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_17
20180828_205509 50 1 4 2 100000 664375964 71 10000 0 9991 1556 71 9 10000 10 SYSTEMATIC 59447 55622 3825 70 0 0 0 0 0 100000 20000 50 10000 2 2 1 2 30 71.681 69.983 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed664375964.log 24751 hl-extractinstructions.txt 20180828_205651 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_14
20180828_205518 50 1 4 2 100000 919028296 68 10000 0 9953 9932 68 9 10000 10 SYSTEMATIC 55410 51731 3679 68 0 0 0 0 0 100000 20000 75 10000 2 2 3 6 38 64.880 63.030 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed919028296.log 24845 hl-extractinstructions.txt 20180828_205653 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 f53557045c2124f3fe9afa48eb2518b4ce205282_1
20180828_205515 50 1 4 2 100000 519606501 54 10000 0 9984 1555 54 9 10000 10 SYSTEMATIC 58643 54896 3747 54 0 0 0 0 0 100000 20000 50 10000 2 2 1 2 34 69.392 67.450 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed519606501.log 23770 hl-extractinstructions.txt 20180828_205654 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_19
20180828_205516 50 1 4 2 100000 715258232 79 10000 0 9977 3410 79 9 10000 10 SYSTEMATIC 57383 53664 3719 79 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 37 68.746 66.495 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed715258232.log 24794 hl-extractinstructions.txt 20180828_205654 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_20
20180828_205513 50 1 4 2 100000 817713633 92 10000 0 9986 1704 92 9 10000 10 SYSTEMATIC 58968 54993 3975 91 0 0 0 0 0 100000 20000 50 10000 2 2 3 2 34 71.535 69.681 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed817713633.log 24778 hl-extractinstructions.txt 20180828_205655 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_18
20180828_205522 50 1 4 2 100000 117661523 89 10000 0 9954 9915 89 9 10000 10 SYSTEMATIC 54428 50932 3496 86 0 0 0 0 0 100000 20000 75 10000 2 2 2 7 31 63.189 61.671 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed117661523.log 25306 hl-extractinstructions.txt 20180828_205655 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 f53557045c2124f3fe9afa48eb2518b4ce205282_5
20180828_205517 50 1 4 2 100000 792850679 67 10000 0 9980 3368 67 9 10000 10 SYSTEMATIC 57380 53721 3659 66 0 0 0 0 0 100000 20000 50 10000 2 2 1 4 40 68.557 66.908 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed792850679.log 24815 hl-extractinstructions.txt 20180828_205655 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 1931e77c8b83710bf8b046d00c7a25a7bd3dc251_21
20180828_205519 50 1 4 2 100000 103765041 46 10000 0 9980 3383 46 9 10000 10 SYSTEMATIC 57730 54141 3589 44 0 0 0 0 0 100000 20000 75 10000 2 2 0 3 39 66.456 64.890 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed103765041.log 24308 hl-extractinstructions.txt 20180828_205655 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 f53557045c2124f3fe9afa48eb2518b4ce205282_2
20180828_205520 50 1 4 2 100000 141246882 76 10000 0 9948 9929 76 9 10000 10 SYSTEMATIC 55968 52306 3662 74 0 0 0 0 0 100000 20000 75 10000 2 2 2 6 39 65.844 63.796 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed141246882.log 25324 hl-extractinstructions.txt 20180828_205656 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 f53557045c2124f3fe9afa48eb2518b4ce205282_3
20180828_205523 50 1 4 2 100000 105731136 109 10000 0 9946 9896 109 9 10000 10 SYSTEMATIC 54313 50705 3608 108 0 0 0 0 0 100000 20000 75 10000 2 2 3 7 40 62.935 61.015 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed105731136.log 25366 hl-extractinstructions.txt 20180828_205656 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 f53557045c2124f3fe9afa48eb2518b4ce205282_6
20180828_205524 50 1 4 2 100000 967561224 64 10000 0 9962 9940 64 9 10000 10 SYSTEMATIC 55389 51577 3812 64 0 0 0 0 0 100000 20000 75 10000 2 2 3 6 41 62.662 60.635 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed967561224.log 25362 hl-extractinstructions.txt 20180828_205657 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 f53557045c2124f3fe9afa48eb2518b4ce205282_7
20180828_205521 50 1 4 2 100000 681028781 67 10000 0 9940 9938 67 9 10000 10 SYSTEMATIC 55762 52059 3703 67 0 0 0 0 0 100000 20000 75 10000 2 2 1 6 43 67.587 65.624 ../hl201808/SHOCKSEGMENTS/log/doc50cop4shlf1lif2_af10000s10tSYSTEMATIC_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed681028781.log 25846 hl-extractinstructions.txt 20180828_205659 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 f53557045c2124f3fe9afa48eb2518b4ce205282_4
