timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180105_230537 50 1 3 3 100000 919028296 1243 10000 0 9439 4963 1243 9 10000 1 TOTAL 23854 17883 5971 1234 0 0 0 0 0 100000 20000 50 10000 2 2 1 3 36 19.687 18.6868 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed919028296.log 22428 hl-extractinstructions.txt 20180105_230627 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_1
20180105_230539 50 1 3 3 100000 141246882 1303 10000 0 8495 4833 1303 9 10000 1 TOTAL 21483 15874 5609 1294 0 0 0 0 0 100000 20000 50 10000 2 2 1 3 37 18.255 17.31051 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed141246882.log 22425 hl-extractinstructions.txt 20180105_230628 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_3
20180105_230538 50 1 3 3 100000 103765041 428 10000 0 8702 9695 428 9 10000 1 TOTAL 25961 17818 8143 315 0 0 0 0 0 100000 20000 50 10000 2 2 2 3 40 20.374 19.353534 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed103765041.log 21953 hl-extractinstructions.txt 20180105_230629 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_2
20180105_230540 50 1 3 3 100000 681028781 728 10000 0 6843 9572 728 9 10000 1 TOTAL 22091 10131 11960 614 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 44 21.032 19.92864 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed681028781.log 23493 hl-extractinstructions.txt 20180105_230632 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_4
20180105_230544 50 1 3 3 100000 967561224 1282 10000 0 9298 4956 1282 9 10000 1 TOTAL 23189 17256 5933 1274 0 0 0 0 0 100000 20000 50 10000 2 2 4 3 39 19.884 18.773307 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed967561224.log 22468 hl-extractinstructions.txt 20180105_230634 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_7
20180105_230541 50 1 3 3 100000 117661523 1567 10000 0 7631 9101 1567 9 10000 1 TOTAL 21521 12741 8780 1461 0 0 0 0 0 100000 20000 50 10000 2 2 3 6 31 22.568 21.443881 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed117661523.log 23428 hl-extractinstructions.txt 20180105_230634 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_5
20180105_230542 50 1 3 3 100000 105731136 544 10000 0 7553 9633 544 9 10000 1 TOTAL 23195 12452 10743 522 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 38 21.926 20.761814 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed105731136.log 22950 hl-extractinstructions.txt 20180105_230635 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_6
20180105_230545 50 1 3 3 100000 420477893 1244 10000 0 9044 4913 1244 9 10000 1 TOTAL 22658 16762 5896 1233 0 0 0 0 0 100000 20000 50 10000 2 2 3 3 37 20.291 19.231259 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed420477893.log 22450 hl-extractinstructions.txt 20180105_230635 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_8
20180105_230547 50 1 3 3 100000 50746969 3165 10000 0 6434 7900 3165 9 10000 1 TOTAL 15294 9376 5918 3160 0 0 0 0 0 100000 20000 50 10000 2 2 3 8 43 20.487 19.422022 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed50746969.log 25028 hl-extractinstructions.txt 20180105_230637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_10
20180105_230546 50 1 3 3 100000 263688301 433 10000 0 8680 9676 433 9 10000 1 TOTAL 26133 17867 8266 314 0 0 0 0 0 100000 20000 50 10000 2 2 2 3 37 21.593 20.557039 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed263688301.log 21939 hl-extractinstructions.txt 20180105_230637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_9
20180105_230554 50 1 3 3 100000 376517787 10000 10000 0 6949 1192 10000 9 10000 1 TOTAL 12745 10243 2502 10000 0 0 0 0 0 100000 20000 50 10000 2 2 3 3 41 13.417 12.205006 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed376517787.log 20965 hl-extractinstructions.txt 20180105_230637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_17
20180105_230548 50 1 3 3 100000 533657980 1487 10000 0 6729 8617 1487 9 10000 1 TOTAL 19311 11307 8004 1478 0 0 0 0 0 100000 20000 50 10000 2 2 1 5 42 21.272 20.206652 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed533657980.log 23475 hl-extractinstructions.txt 20180105_230639 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_11
20180105_230549 50 1 3 3 100000 711283608 2445 10000 0 6739 8150 2445 9 10000 1 TOTAL 17198 11075 6123 2352 0 0 0 0 0 100000 20000 50 10000 2 2 2 7 34 20.823 19.639611 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed711283608.log 23954 hl-extractinstructions.txt 20180105_230640 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_12
20180105_230552 50 1 3 3 100000 258760793 2274 10000 0 7078 7892 2274 9 10000 1 TOTAL 17293 11365 5928 2261 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 43 20.475 19.262114 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed258760793.log 24011 hl-extractinstructions.txt 20180105_230642 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_15
20180105_230550 50 1 3 3 100000 597296547 1390 10000 0 8253 9146 1390 9 10000 1 TOTAL 22501 15019 7482 1381 0 0 0 0 0 100000 20000 50 10000 2 2 2 4 43 23.536 22.288348 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed597296547.log 22994 hl-extractinstructions.txt 20180105_230643 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_13
20180105_230551 50 1 3 3 100000 664375964 452 10000 0 9353 6816 452 9 10000 1 TOTAL 24827 15444 9383 426 0 0 0 0 0 100000 20000 50 10000 2 2 2 3 31 23.672 22.516174 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed664375964.log 22400 hl-extractinstructions.txt 20180105_230645 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_14
20180105_230553 50 1 3 3 100000 666549275 1218 10000 0 9038 4884 1218 9 10000 1 TOTAL 22660 16823 5837 1209 0 0 0 0 0 100000 20000 50 10000 2 2 2 3 40 22.891 21.816175 ../shocks/compare/pct50/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed666549275.log 22458 hl-extractinstructions.txt 20180105_230646 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 bc46d31205666afbdb6a86c37eab177e4e9f5729_16
20180105_230559 50 1 3 5 100000 919028296 105 10000 0 9511 4321 105 9 10000 1 TOTAL 16482 12209 4273 101 0 0 0 0 0 100000 20000 50 10000 2 2 1 2 35 17.318 15.876218 ../shocks/compare/pct50/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed919028296.log 21902 hl-extractinstructions.txt 20180105_230647 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 4178088f87809cfa8169774ba99f6d1ed5284f2d_1
20180105_230600 50 1 3 5 100000 103765041 777 10000 0 6583 9415 777 9 10000 1 TOTAL 13981 10052 3929 773 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 40 17.436 16.372858 ../shocks/compare/pct50/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed103765041.log 22953 hl-extractinstructions.txt 20180105_230648 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 4178088f87809cfa8169774ba99f6d1ed5284f2d_2
20180105_230601 50 1 3 5 100000 141246882 182 10000 0 6063 9858 182 9 10000 1 TOTAL 14839 8646 6193 180 0 0 0 0 0 100000 20000 50 10000 2 2 2 4 38 18.672 17.434414 ../shocks/compare/pct50/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed141246882.log 22929 hl-extractinstructions.txt 20180105_230650 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 4178088f87809cfa8169774ba99f6d1ed5284f2d_3
20180105_230603 50 1 3 5 100000 117661523 238 10000 0 6114 9824 238 9 10000 1 TOTAL 14878 8591 6287 193 0 0 0 0 0 100000 20000 50 10000 2 2 2 5 30 17.355 16.16293 ../shocks/compare/pct50/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed117661523.log 22886 hl-extractinstructions.txt 20180105_230651 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 4178088f87809cfa8169774ba99f6d1ed5284f2d_5
20180105_230602 50 1 3 5 100000 681028781 255 10000 0 6109 9812 255 9 10000 1 TOTAL 14893 8586 6307 195 0 0 0 0 0 100000 20000 50 10000 2 2 1 5 43 18.898 17.712766 ../shocks/compare/pct50/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed681028781.log 22966 hl-extractinstructions.txt 20180105_230651 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 4178088f87809cfa8169774ba99f6d1ed5284f2d_4
