timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180129_185429 50 1 3 3 100000 50746969 10000 10000 0 2573 328 10000 9 10000 1 TOTAL 3229 2573 656 10000 0 0 0 0 0 100000 10000 50 5000 2 2 5 3 40 8.682 6.991477 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed50746969.log 8313332 hl-extractinstructions.txt 20180129_185526 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_10
20180129_185450 50 1 3 3 100000 50746969 10000 10000 0 2573 328 10000 9 10000 1 TOTAL 3229 2573 656 10000 0 0 0 0 0 100000 10000 80 5000 2 2 5 3 40 14.516 11.750286 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s2m5000_sdl100000_seed50746969.log 8313322 hl-extractinstructions.txt 20180129_185553 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 166fd411cf8a597bcb93b443da5600c1609eed35_10
20180129_185419 50 1 3 3 100000 919028296 1458 10000 0 8230 9140 1458 9 10000 1 TOTAL 22592 15079 7513 1347 0 0 0 0 0 100000 10000 50 5000 2 2 6 5 38 37.493 34.984037 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed919028296.log 25696893 hl-extractinstructions.txt 20180129_185626 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_1
20180129_185424 50 1 3 3 100000 105731136 1321 10000 0 8946 4856 1321 9 10000 1 TOTAL 22186 16487 5699 1313 0 0 0 0 0 100000 10000 50 5000 2 2 4 3 37 36.069 33.577442 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed105731136.log 22531125 hl-extractinstructions.txt 20180129_185628 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_6
20180129_185421 50 1 3 3 100000 141246882 525 10000 0 8044 9629 525 9 10000 1 TOTAL 24211 14935 9276 424 0 0 0 0 0 100000 10000 50 5000 2 2 5 4 38 39.245 36.657152 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed141246882.log 25396229 hl-extractinstructions.txt 20180129_185634 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_3
20180129_185432 50 1 3 3 100000 597296547 309 10000 0 9515 6223 309 9 10000 1 TOTAL 25973 17646 8327 298 0 0 0 0 0 100000 10000 50 5000 2 2 3 2 41 44.147 41.734195 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed597296547.log 22117459 hl-extractinstructions.txt 20180129_185646 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_13
20180129_185426 50 1 3 3 100000 420477893 1439 10000 0 7956 8729 1439 9 10000 1 TOTAL 21447 14476 6971 1330 0 0 0 0 0 100000 10000 50 5000 2 2 7 5 39 41.220 38.571952 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed420477893.log 25707539 hl-extractinstructions.txt 20180129_185650 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_8
20180129_185420 50 1 3 3 100000 103765041 1584 10000 0 6920 9133 1584 9 10000 1 TOTAL 20111 10253 9858 1573 0 0 0 0 0 100000 10000 50 5000 2 2 3 6 41 40.757 37.871268 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed103765041.log 29985331 hl-extractinstructions.txt 20180129_185651 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_2
20180129_185425 50 1 3 3 100000 967561224 10000 10000 0 7448 4060 10000 9 10000 1 TOTAL 18643 12130 6513 10000 0 0 0 0 0 100000 10000 50 5000 2 2 8 7 43 40.525 37.403964 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed967561224.log 27434276 hl-extractinstructions.txt 20180129_185653 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_7
20180129_185427 50 1 3 3 100000 263688301 552 10000 0 8230 9611 552 9 10000 1 TOTAL 24570 15251 9319 429 0 0 0 0 0 100000 10000 50 5000 2 2 5 4 38 42.529 40.177544 ../shocks/high/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed263688301.log 24504510 hl-extractinstructions.txt 20180129_185654 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 725a1bdf4d9434007c91a8914778192b6f2fc665_9
