timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171127_221123 50 1 3 3 100000 967561224 10000 10000 0 6933 2890 10000 9 10000 1 14689 10248 4441 10000 0 0 0 0 0 100000 20000 50 5000 3 2 4 4 40 24.378 21.981651 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed967561224.log 17729349 hl-extractinstructions.txt 20171127_221248 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_7
20171127_221146 50 1 3 3 100000 420477893 10000 10000 0 4577 631 10000 9 10000 1 6566 5286 1280 10000 0 0 0 0 0 100000 20000 90 5000 3 2 3 3 38 18.564 15.470437 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed420477893.log 9945632 hl-extractinstructions.txt 20171127_221256 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_8
20171127_221145 50 1 3 3 100000 967561224 10000 10000 0 4459 616 10000 9 10000 1 6379 5129 1250 10000 0 0 0 0 0 100000 20000 90 5000 3 2 5 3 39 18.450 15.339799 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed967561224.log 10096961 hl-extractinstructions.txt 20171127_221257 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_7
20171127_221116 50 1 3 3 100000 103765041 326 10000 0 9561 6167 326 9 10000 1 26086 17966 8120 314 0 0 0 0 0 100000 20000 50 5000 3 2 1 2 39 37.923 34.020864 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed103765041.log 22275469 hl-extractinstructions.txt 20171127_221313 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_2
20171127_221115 50 1 3 3 100000 919028296 2249 10000 0 8704 8317 2249 9 10000 1 23735 17797 5938 1273 0 0 0 0 0 100000 20000 50 5000 3 2 4 5 38 39.235 34.892471 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed919028296.log 24863365 hl-extractinstructions.txt 20171127_221320 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_1
20171127_221117 50 1 3 3 100000 141246882 2263 10000 0 7774 8101 2263 9 10000 1 21591 16068 5523 1289 0 0 0 0 0 100000 20000 50 5000 3 2 4 5 39 38.044 33.856385 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed141246882.log 24260932 hl-extractinstructions.txt 20171127_221321 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_3
20171127_221223 50 1 3 3 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 100 5000 3 2 2 3 37 7.468 5.63182 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s3m5000_sdl100000_seed141246882.log 6785974 hl-extractinstructions.txt 20171127_221325 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 dbf552bcbf60d94545b5bcf21e187eb33f02ed10_3
20171127_221144 50 1 3 3 100000 105731136 10000 10000 0 2541 3691 10000 9 10000 1 7083 2541 4542 10000 0 0 0 0 0 100000 20000 90 5000 3 2 2 5 39 25.983 23.271248 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed105731136.log 16748171 hl-extractinstructions.txt 20171127_221330 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_6
20171127_221139 50 1 3 3 100000 919028296 10000 10000 0 8336 1688 10000 9 10000 1 19230 15542 3688 10000 0 0 0 0 0 100000 20000 90 5000 3 2 2 3 36 34.152 31.398296 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed919028296.log 16813385 hl-extractinstructions.txt 20171127_221331 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_1
20171127_221222 50 1 3 3 100000 103765041 10000 10000 0 2633 317 10000 9 10000 1 3267 2633 634 10000 0 0 0 0 0 100000 20000 100 5000 3 2 1 3 41 9.824 8.113816 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s3m5000_sdl100000_seed103765041.log 8474078 hl-extractinstructions.txt 20171127_221332 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 dbf552bcbf60d94545b5bcf21e187eb33f02ed10_2
20171127_221215 50 1 3 3 100000 666549275 10000 10000 0 4575 616 10000 9 10000 1 6498 5250 1248 10000 0 0 0 0 0 100000 20000 90 5000 3 2 3 3 41 14.969 12.461144 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed666549275.log 10276292 hl-extractinstructions.txt 20171127_221335 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_16
20171127_221128 50 1 3 3 100000 711283608 10000 10000 0 6116 2794 10000 9 10000 1 13202 9045 4157 10000 0 0 0 0 0 100000 20000 50 5000 3 2 2 6 34 35.286 32.115616 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed711283608.log 21936422 hl-extractinstructions.txt 20171127_221336 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_12
20171127_221125 50 1 3 3 100000 263688301 1392 10000 0 8615 9009 1392 9 10000 1 23672 17392 6280 1300 0 0 0 0 0 100000 20000 50 5000 3 2 2 4 38 40.600 38.351428 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed263688301.log 23391939 hl-extractinstructions.txt 20171127_221338 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_9
20171127_221124 50 1 3 3 100000 420477893 1404 10000 0 7885 8735 1404 9 10000 1 21125 14275 6850 1394 0 0 0 0 0 100000 20000 50 5000 3 2 3 4 38 40.746 38.151132 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed420477893.log 24568549 hl-extractinstructions.txt 20171127_221344 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_8
20171127_221150 50 1 3 3 100000 533657980 10000 10000 0 3965 2165 10000 9 10000 1 7434 4552 2882 10000 0 0 0 0 0 100000 20000 90 5000 3 2 3 6 44 27.471 25.071287 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed533657980.log 18827872 hl-extractinstructions.txt 20171127_221345 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_11
20171127_221220 50 1 3 3 100000 792850679 10000 10000 0 2629 2242 10000 9 10000 1 5196 2629 2567 10000 0 0 0 0 0 100000 20000 90 5000 3 2 2 4 41 12.920 11.215359 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed792850679.log 12328736 hl-extractinstructions.txt 20171127_221346 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_21
20171127_221121 50 1 3 3 100000 105731136 1501 10000 0 7057 9043 1501 9 10000 1 19826 11470 8356 1488 0 0 0 0 0 100000 20000 50 5000 3 2 2 5 38 43.616 39.52985 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed105731136.log 27425705 hl-extractinstructions.txt 20171127_221348 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_6
20171127_221129 50 1 3 3 100000 597296547 327 10000 0 9513 6207 327 9 10000 1 26037 17821 8216 317 0 0 0 0 0 100000 20000 50 5000 3 2 1 2 41 41.693 39.452494 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed597296547.log 22151606 hl-extractinstructions.txt 20171127_221348 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_13
20171127_221119 50 1 3 3 100000 117661523 544 10000 0 7696 9647 544 9 10000 1 23621 12915 10706 531 0 0 0 0 0 100000 20000 50 5000 3 2 2 4 29 45.166 40.879435 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed117661523.log 27026931 hl-extractinstructions.txt 20171127_221349 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_5
20171127_221219 50 1 3 3 100000 715258232 10000 10000 0 2318 300 10000 9 10000 1 2918 2318 600 10000 0 0 0 0 0 100000 20000 90 5000 3 2 4 5 39 14.433 12.061921 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed715258232.log 13396336 hl-extractinstructions.txt 20171127_221349 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_20
20171127_221136 50 1 3 3 100000 519606501 353 10000 0 9760 4871 353 9 10000 1 27400 20423 6977 231 0 0 0 0 0 100000 20000 50 5000 3 2 1 2 34 43.082 40.665782 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed519606501.log 20884275 hl-extractinstructions.txt 20171127_221350 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_19
20171127_221147 50 1 3 3 100000 263688301 10000 10000 0 7609 1475 10000 9 10000 1 15678 12554 3124 10000 0 0 0 0 0 100000 20000 90 5000 3 2 2 5 39 32.459 29.663871 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i90s3m5000_sdl100000_seed263688301.log 20128738 hl-extractinstructions.txt 20171127_221352 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5bb1b77c64a808f85ae4ead7e361c17199e6682b_9
20171127_221135 50 1 3 3 100000 817713633 304 10000 0 9549 6313 304 9 10000 1 26314 17894 8420 287 0 0 0 0 0 100000 20000 50 5000 3 2 4 2 34 42.579 40.200801 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s3m5000_sdl100000_seed817713633.log 22350871 hl-extractinstructions.txt 20171127_221353 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 c9f6ea4e1d6d53dbeaca93aefc2e04955dd56255_18
