timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170612_232233 50 1 1 10 100000 919028296 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 2 1 21 1.305 0.855336 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed919028296.log 12985 hl-extractinstructions.txt 20170612_232241 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_1
20170612_232234 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 2 1 22 1.893 1.444502 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed103765041.log 12995 hl-extractinstructions.txt 20170612_232243 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_2
20170612_232236 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 4 1 25 1.084 0.632942 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed681028781.log 13003 hl-extractinstructions.txt 20170612_232244 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_4
20170612_232235 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 3 1 22 2.509 2.049793 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed141246882.log 12992 hl-extractinstructions.txt 20170612_232245 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_3
20170612_232237 50 1 1 10 100000 117661523 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 6 1 17 1.307 0.857933 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed117661523.log 12961 hl-extractinstructions.txt 20170612_232246 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_5
20170612_232238 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 2 1 21 1.285 0.834982 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed105731136.log 12982 hl-extractinstructions.txt 20170612_232247 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_6
20170612_232240 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 5 1 21 1.069 0.618094 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed420477893.log 12979 hl-extractinstructions.txt 20170612_232248 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_8
20170612_232239 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 3 1 21 2.335 1.869614 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed967561224.log 12991 hl-extractinstructions.txt 20170612_232249 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_7
20170612_232242 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 1 2 2 1 26 1.315 0.867215 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed50746969.log 13011 hl-extractinstructions.txt 20170612_232251 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_10
20170612_232241 50 1 1 10 100000 263688301 2897 10000 7103 0 0 2897 9 10000 1 0 0 0 2636 0 0 0 0 0 100000 20000 20 5000 1 2 1 0 19 2.547 2.101133 ../shock/2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s1m5000_sdl100000_seed263688301.log 12970 hl-extractinstructions.txt 20170612_232251 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 dfa1851577b3a2d87c834530e477e4fef02d350d_9
