timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171220_205928 50 1 3 3 100000 50746969 10000 10000 0 2573 328 10000 9 10000 1 TOTAL 3229 2573 656 10000 0 0 0 0 0 100000 10000 50 5000 2 2 5 3 40 8.538 6.825115 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed50746969.log 8313330 hl-extractinstructions.txt 20171220_210024 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_10
20171220_205950 50 1 3 3 100000 50746969 10000 10000 0 2573 328 10000 9 10000 1 TOTAL 3229 2573 656 10000 0 0 0 0 0 100000 10000 90 5000 2 2 5 3 40 14.777 11.803639 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s2m5000_sdl100000_seed50746969.log 8313308 hl-extractinstructions.txt 20171220_210054 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 bff55d95247501f564c693b44f56328147f89b37_10
20171220_205949 50 1 3 3 100000 263688301 10000 10000 0 4471 608 10000 9 10000 1 TOTAL 6318 5082 1236 10000 0 0 0 0 0 100000 10000 90 5000 2 2 6 3 38 19.412 16.352136 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s2m5000_sdl100000_seed263688301.log 10003241 hl-extractinstructions.txt 20171220_210103 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 bff55d95247501f564c693b44f56328147f89b37_9
20171220_205924 50 1 3 3 100000 105731136 1321 10000 0 8946 4856 1321 9 10000 1 TOTAL 22186 16487 5699 1313 0 0 0 0 0 100000 10000 50 5000 2 2 4 3 37 36.950 34.754245 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed105731136.log 22531123 hl-extractinstructions.txt 20171220_210129 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_6
20171220_205918 50 1 3 3 100000 919028296 1458 10000 0 8230 9140 1458 9 10000 1 TOTAL 22592 15079 7513 1347 0 0 0 0 0 100000 10000 50 5000 2 2 6 5 38 38.458 35.986311 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed919028296.log 25696891 hl-extractinstructions.txt 20171220_210131 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_1
20171220_205921 50 1 3 3 100000 141246882 525 10000 0 8044 9629 525 9 10000 1 TOTAL 24211 14935 9276 424 0 0 0 0 0 100000 10000 50 5000 2 2 5 4 38 39.722 37.28344 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed141246882.log 25396225 hl-extractinstructions.txt 20171220_210134 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_3
20171220_205931 50 1 3 3 100000 597296547 309 10000 0 9515 6223 309 9 10000 1 TOTAL 25973 17646 8327 298 0 0 0 0 0 100000 10000 50 5000 2 2 3 2 41 42.379 40.268886 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed597296547.log 22117457 hl-extractinstructions.txt 20171220_210146 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_13
20171220_205927 50 1 3 3 100000 263688301 552 10000 0 8230 9611 552 9 10000 1 TOTAL 24570 15251 9319 429 0 0 0 0 0 100000 10000 50 5000 2 2 5 4 38 43.337 41.304163 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed263688301.log 24504508 hl-extractinstructions.txt 20171220_210149 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_9
20171220_210003 50 1 3 3 100000 597296547 10000 10000 0 5752 896 10000 9 10000 1 TOTAL 9304 7448 1856 10000 0 0 0 0 0 100000 10000 90 5000 2 2 3 5 43 24.625 22.170432 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s2m5000_sdl100000_seed597296547.log 16765291 hl-extractinstructions.txt 20171220_210150 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 bff55d95247501f564c693b44f56328147f89b37_13
20171220_205926 50 1 3 3 100000 420477893 1439 10000 0 7956 8729 1439 9 10000 1 TOTAL 21447 14476 6971 1330 0 0 0 0 0 100000 10000 50 5000 2 2 7 5 39 41.265 38.876186 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed420477893.log 25707537 hl-extractinstructions.txt 20171220_210152 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_8
20171220_205923 50 1 3 3 100000 117661523 1540 10000 0 7732 9081 1540 9 10000 1 TOTAL 21578 12858 8720 1529 0 0 0 0 0 100000 10000 50 5000 2 2 5 5 30 43.269 40.915883 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed117661523.log 28076902 hl-extractinstructions.txt 20171220_210154 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_5
20171220_205919 50 1 3 3 100000 103765041 1584 10000 0 6920 9133 1584 9 10000 1 TOTAL 20111 10253 9858 1573 0 0 0 0 0 100000 10000 50 5000 2 2 3 6 41 41.158 38.697729 ../shocks/low/span2/1yr/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed103765041.log 29985329 hl-extractinstructions.txt 20171220_210154 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.066 725a1bdf4d9434007c91a8914778192b6f2fc665_2
