timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170715_171401 500 1 1 10 100000 919028296 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 4 1 21 9.153 7.483086 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed919028296.log 16051 hl-extractinstructions.txt 20170715_171418 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_1
20170715_171402 500 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 4 1 22 9.448 7.792431 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed103765041.log 16049 hl-extractinstructions.txt 20170715_171419 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_2
20170715_171404 500 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 7 1 25 8.896 7.164947 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed681028781.log 16057 hl-extractinstructions.txt 20170715_171420 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_4
20170715_171403 500 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 5 1 22 10.525 8.871058 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed141246882.log 16048 hl-extractinstructions.txt 20170715_171421 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_3
20170715_171407 500 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 5 1 21 7.887 6.249621 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed105731136.log 16030 hl-extractinstructions.txt 20170715_171422 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_6
20170715_171406 500 1 1 10 100000 117661523 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 6 1 17 10.259 8.579382 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed117661523.log 16029 hl-extractinstructions.txt 20170715_171423 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_5
20170715_171408 500 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 5 1 21 8.875 7.213039 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed967561224.log 16047 hl-extractinstructions.txt 20170715_171424 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_7
20170715_171409 500 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 7 1 21 8.725 7.053732 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed420477893.log 16037 hl-extractinstructions.txt 20170715_171425 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_8
20170715_171411 500 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 4 1 26 7.989 6.316264 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed50746969.log 16055 hl-extractinstructions.txt 20170715_171426 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_10
20170715_171412 500 1 1 10 100000 533657980 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 7 1 27 7.206 5.520997 ../shock2/a10000s1/log/doc500cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed533657980.log 16033 hl-extractinstructions.txt 20170715_171426 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.382 cd4e7ef423c84ab0015c2b6c3f3de415fd2a87ba_11
