timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180319_162312 50 1 1 2 100000 919028296 8194 10000 1806 0 0 8194 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.722 4.558948 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 3570528 hl-extractinstructions.txt 20180319_162354 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_1
20180319_162313 50 1 1 2 100000 103765041 8219 10000 1781 0 0 8219 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.599 4.474247 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 3565516 hl-extractinstructions.txt 20180319_162355 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_2
20180319_162314 50 1 1 2 100000 141246882 8202 10000 1798 0 0 8202 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.541 4.355683 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 3575684 hl-extractinstructions.txt 20180319_162356 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_3
20180319_162316 50 1 1 2 100000 117661523 8217 10000 1783 0 0 8217 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.410 4.264828 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 3581134 hl-extractinstructions.txt 20180319_162357 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_5
20180319_162315 50 1 1 2 100000 681028781 8265 10000 1735 0 0 8265 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.489 4.331333 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 3594041 hl-extractinstructions.txt 20180319_162358 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_4
20180319_162317 50 1 1 2 100000 105731136 8256 10000 1744 0 0 8256 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 6.366 5.169364 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 3595204 hl-extractinstructions.txt 20180319_162359 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_6
20180319_162319 50 1 1 2 100000 967561224 8203 10000 1797 0 0 8203 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.560 4.390329 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 3577828 hl-extractinstructions.txt 20180319_162400 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_7
20180319_162320 50 1 1 2 100000 420477893 8299 10000 1701 0 0 8299 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 6.681 5.319158 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 3610200 hl-extractinstructions.txt 20180319_162402 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_8
20180319_162321 50 1 1 2 100000 263688301 8174 10000 1826 0 0 8174 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.752 4.612441 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 3567554 hl-extractinstructions.txt 20180319_162402 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_9
20180319_162322 50 1 1 2 100000 50746969 8237 10000 1763 0 0 8237 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5.479 4.314405 ../hl/copies1/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 3568542 hl-extractinstructions.txt 20180319_162403 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.334 200617fce493d2da121ab43a8edf4ea9595c019d_10
