timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180825_212905 50 1 5 3 300000 681028781 4 10000 0 9999 2891 4 29 10000 1 TOTAL 158316 148234 10082 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 309.524 306.990664 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed681028781.log 27039 hl-extractinstructions.txt 20180825_213445 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_4
20180825_212908 50 1 5 3 300000 967561224 3 10000 0 10000 2890 3 29 10000 1 TOTAL 158570 148637 9933 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 308.116 305.747094 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed967561224.log 27039 hl-extractinstructions.txt 20180825_213447 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_7
20180825_212907 50 1 5 3 300000 105731136 9 10000 0 9999 2789 9 29 10000 1 TOTAL 157889 148301 9588 9 0 0 0 0 0 0 0 0 0 0 2 0 0 0 312.114 309.687281 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed105731136.log 27038 hl-extractinstructions.txt 20180825_213450 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_6
20180825_212902 50 1 5 3 300000 919028296 9 10000 0 10000 2778 9 29 10000 1 TOTAL 157807 148113 9694 8 0 0 0 0 0 0 0 0 0 0 2 0 0 0 320.439 318.209437 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed919028296.log 27039 hl-extractinstructions.txt 20180825_213453 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_1
20180825_212904 50 1 5 3 300000 141246882 2 10000 0 10000 2752 2 29 10000 1 TOTAL 157926 148331 9595 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 320.425 318.337178 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed141246882.log 27038 hl-extractinstructions.txt 20180825_213455 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_3
20180825_212909 50 1 5 3 300000 420477893 5 10000 0 10000 2849 5 29 10000 1 TOTAL 158196 148310 9886 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 318.577 315.904943 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed420477893.log 27039 hl-extractinstructions.txt 20180825_213458 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_8
20180825_212903 50 1 5 3 300000 103765041 5 10000 0 10000 2769 5 29 10000 1 TOTAL 157877 148453 9424 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 326.126 323.942444 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed103765041.log 27039 hl-extractinstructions.txt 20180825_213500 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_2
20180825_212906 50 1 5 3 300000 117661523 5 10000 0 10000 2780 5 29 10000 1 TOTAL 157784 148230 9554 5 0 0 0 0 0 0 0 0 0 0 2 0 0 0 327.337 324.915948 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed117661523.log 27038 hl-extractinstructions.txt 20180825_213504 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_5
20180825_212911 50 1 5 3 300000 263688301 3 10000 0 9999 2807 3 29 10000 1 TOTAL 158530 148871 9659 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 328.045 325.312281 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed263688301.log 27038 hl-extractinstructions.txt 20180825_213509 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_9
20180825_212912 50 1 5 3 300000 50746969 6 10000 0 10000 2782 6 29 10000 1 TOTAL 157820 148252 9568 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 329.372 326.813986 ../hl201808/COPIES5LONGTERM/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed50746969.log 27038 hl-extractinstructions.txt 20180825_213511 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 6dfea3c5af288190956a2401bbb6395fa76872c9_10
