timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180826_214555 50 1 5 2 100000 141246882 299 10000 0 9676 9734 299 9 10000 1 TOTAL 58053 40597 17456 298 0 0 0 0 0 100000 20000 50 10000 2 2 2 7 39 70.471 68.454 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed141246882.log 26686 hl-extractinstructions.txt 20180826_214736 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_3
20180826_214554 50 1 5 2 100000 103765041 184 10000 0 9749 9906 184 9 10000 1 TOTAL 56234 32001 24233 147 0 0 0 0 0 100000 20000 50 10000 2 2 3 11 43 73.252 71.281 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed103765041.log 28266 hl-extractinstructions.txt 20180826_214738 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_2
20180826_214556 50 1 5 2 100000 681028781 87 10000 0 9879 9943 87 9 10000 1 TOTAL 60087 39437 20650 86 0 0 0 0 0 100000 20000 50 10000 2 2 3 7 43 72.262 70.258 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed681028781.log 26199 hl-extractinstructions.txt 20180826_214739 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_4
20180826_214553 50 1 5 2 100000 919028296 30 10000 0 9975 7863 30 9 10000 1 TOTAL 65131 50190 14941 29 0 0 0 0 0 100000 20000 50 10000 2 2 1 4 36 75.853 73.814 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed919028296.log 25634 hl-extractinstructions.txt 20180826_214739 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_1
20180826_214559 50 1 5 2 100000 105731136 103 10000 0 9883 9940 103 9 10000 1 TOTAL 59709 38971 20738 97 0 0 0 0 0 100000 20000 50 10000 2 2 4 8 41 77.013 75.229 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed105731136.log 26720 hl-extractinstructions.txt 20180826_214746 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_6
20180826_214558 50 1 5 2 100000 117661523 73 10000 0 9950 9944 73 9 10000 1 TOTAL 63185 46287 16898 67 0 0 0 0 0 100000 20000 50 10000 2 2 1 6 30 81.483 79.555 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed117661523.log 26118 hl-extractinstructions.txt 20180826_214749 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_5
20180826_214601 50 1 5 2 100000 420477893 65 10000 0 9980 7847 65 9 10000 1 TOTAL 66350 52501 13849 56 0 0 0 0 0 100000 20000 50 10000 2 2 4 4 37 85.511 83.703 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed420477893.log 25139 hl-extractinstructions.txt 20180826_214756 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_8
20180826_214602 50 1 5 2 100000 263688301 90 10000 0 9942 9941 90 9 10000 1 TOTAL 61561 43208 18353 80 0 0 0 0 0 100000 20000 50 10000 2 2 4 7 39 86.163 84.237 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed263688301.log 27191 hl-extractinstructions.txt 20180826_214758 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_9
20180826_214609 50 1 5 2 100000 666549275 84 10000 0 9862 9947 84 9 10000 1 TOTAL 58434 36733 21701 77 0 0 0 0 0 100000 20000 50 10000 2 2 3 9 43 80.012 78.294 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed666549275.log 26740 hl-extractinstructions.txt 20180826_214759 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_16
20180826_214603 50 1 5 2 100000 50746969 109 10000 0 9893 9933 109 9 10000 1 TOTAL 59821 39269 20552 109 0 0 0 0 0 100000 20000 50 10000 2 2 2 7 41 88.206 85.599 ../hl201808/COPIES6FORSHOCKS/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed50746969.log 27202 hl-extractinstructions.txt 20180826_214801 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 9877b60b5961b54dbd44a30bf7bd67090453e7b3_10
