timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180924_202620 50 1 4 2 100000 103765041 63 10000 14 9968 1309 63 9 10000 1 TOTAL 56711 52967 3744 63 0 0 0 0 0 0 0 0 0 0 2 0 0 0 69.941 68.154 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 29131 hl-extractinstructions.txt 20180924_202800 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_2
20180924_202619 50 1 4 2 100000 919028296 50 10000 7 9983 1321 50 9 10000 1 TOTAL 56993 53246 3747 42 0 0 0 0 0 0 0 0 0 0 2 0 0 0 73.043 71.264 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 29130 hl-extractinstructions.txt 20180924_202802 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_1
20180924_202622 50 1 4 2 100000 681028781 56 10000 8 9976 1212 56 9 10000 1 TOTAL 56432 52976 3456 51 0 0 0 0 0 0 0 0 0 0 2 0 0 0 73.171 71.387 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 29130 hl-extractinstructions.txt 20180924_202805 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_4
20180924_202625 50 1 4 2 100000 967561224 61 10000 10 9971 1278 61 9 10000 1 TOTAL 56939 53264 3675 58 0 0 0 0 0 0 0 0 0 0 2 0 0 0 70.590 68.888 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 29131 hl-extractinstructions.txt 20180924_202806 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_7
20180924_202621 50 1 4 2 100000 141246882 65 10000 13 9969 1253 65 9 10000 1 TOTAL 56933 53381 3552 58 0 0 0 0 0 0 0 0 0 0 2 0 0 0 75.092 73.422 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 29131 hl-extractinstructions.txt 20180924_202806 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_3
20180924_202624 50 1 4 2 100000 105731136 63 10000 9 9973 1252 63 9 10000 1 TOTAL 56754 53112 3642 61 0 0 0 0 0 0 0 0 0 0 2 0 0 0 72.384 70.702 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 29130 hl-extractinstructions.txt 20180924_202806 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_6
20180924_202627 50 1 4 2 100000 263688301 59 10000 15 9974 1231 59 9 10000 1 TOTAL 57050 53474 3576 53 0 0 0 0 0 0 0 0 0 0 2 0 0 0 73.992 72.430 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 29131 hl-extractinstructions.txt 20180924_202811 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_9
20180924_202623 50 1 4 2 100000 117661523 54 10000 11 9975 1221 54 9 10000 1 TOTAL 57014 53495 3519 49 0 0 0 0 0 0 0 0 0 0 2 0 0 0 79.938 78.224 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 29131 hl-extractinstructions.txt 20180924_202813 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_5
20180924_202626 50 1 4 2 100000 420477893 52 10000 8 9977 1240 52 9 10000 1 TOTAL 57026 53456 3570 48 0 0 0 0 0 0 0 0 0 0 2 0 0 0 78.428 76.758 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 29130 hl-extractinstructions.txt 20180924_202814 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_8
20180924_202628 50 1 4 2 100000 50746969 67 10000 10 9968 1200 67 9 10000 1 TOTAL 56666 53231 3435 61 0 0 0 0 0 0 0 0 0 0 2 0 0 0 80.277 78.628 ../hl201809/ANNUALAUDIT/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 29130 hl-extractinstructions.txt 20180924_202818 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 b9f2b2727cfd40d3f681e370083d4e2d2ef3171d_10
