timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180924_212351 50 1 5 2 100000 919028296 25 10000 1 9993 4042 25 9 10000 1 TOTAL 85161 71085 14076 24 2500 50 0 1000 169 0 0 0 0 0 2 0 0 0 123.404 121.195 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 30570 hl-extractinstructions.txt 20180924_212625 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_1
20180924_212352 50 1 5 2 100000 103765041 21 10000 0 9997 4007 21 9 10000 1 TOTAL 85743 71472 14271 19 2500 50 0 1000 182 0 0 0 0 0 2 0 0 0 124.493 122.419 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 30574 hl-extractinstructions.txt 20180924_212627 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_2
20180924_212354 50 1 5 2 100000 681028781 27 10000 0 9997 3950 27 9 10000 1 TOTAL 85587 71751 13836 23 2500 50 0 1000 174 0 0 0 0 0 2 0 0 0 128.898 127.008 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 30570 hl-extractinstructions.txt 20180924_212633 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_4
20180924_212353 50 1 5 2 100000 141246882 20 10000 0 9994 4231 20 9 10000 1 TOTAL 86236 71334 14902 18 2500 50 0 1000 192 0 0 0 0 0 2 0 0 0 131.965 129.984 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 30574 hl-extractinstructions.txt 20180924_212635 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_3
20180924_212356 50 1 5 2 100000 105731136 17 10000 0 9993 4251 17 9 10000 1 TOTAL 87493 72337 15156 15 2500 50 0 1000 206 0 0 0 0 0 2 0 0 0 134.655 132.808 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 30576 hl-extractinstructions.txt 20180924_212641 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_6
20180924_212357 50 1 5 2 100000 967561224 24 10000 0 9997 4035 24 9 10000 1 TOTAL 84551 70793 13758 22 2500 50 0 1000 177 0 0 0 0 0 2 0 0 0 136.088 134.217 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 30572 hl-extractinstructions.txt 20180924_212643 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_7
20180924_212359 50 1 5 2 100000 263688301 31 10000 0 9994 4234 31 9 10000 1 TOTAL 86636 71893 14743 29 2500 50 0 1000 203 0 0 0 0 0 2 0 0 0 137.047 135.176 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 30577 hl-extractinstructions.txt 20180924_212646 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_9
20180924_212355 50 1 5 2 100000 117661523 20 10000 0 9993 4191 20 9 10000 1 TOTAL 86891 71940 14951 19 2500 50 0 1000 207 0 0 0 0 0 2 0 0 0 143.073 141.176 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 30573 hl-extractinstructions.txt 20180924_212648 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_5
20180924_212401 50 1 5 2 100000 533657980 21 10000 0 9996 4271 21 9 10000 1 TOTAL 88109 72870 15239 19 2500 50 0 1000 195 0 0 0 0 0 2 0 0 0 138.264 136.549 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed533657980.log 30576 hl-extractinstructions.txt 20180924_212650 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_11
20180924_212403 50 1 5 2 100000 597296547 31 10000 0 9993 4156 31 9 10000 1 TOTAL 87026 72142 14884 29 2500 50 0 1000 201 0 0 0 0 0 2 0 0 0 136.860 135.088 ../hl201809/GLITCHES41/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed597296547.log 30577 hl-extractinstructions.txt 20180924_212650 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 87352d6d1e32321405b514074bb152bc529ed86e_13
