timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180825_203159 50 1 3 2 100000 919028296 381 10000 49 9729 4816 381 9 10000 1 TOTAL 41151 29687 11464 352 0 0 0 0 0 0 0 0 0 0 2 0 0 0 38.769 36.757954 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 21833 hl-extractinstructions.txt 20180825_203308 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_1
20180825_203200 50 1 3 2 100000 103765041 367 10000 60 9736 4842 367 9 10000 1 TOTAL 41151 29689 11462 335 0 0 0 0 0 0 0 0 0 0 2 0 0 0 40.292 38.555109 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 21834 hl-extractinstructions.txt 20180825_203311 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_2
20180825_203201 50 1 3 2 100000 141246882 406 10000 67 9717 4752 406 9 10000 1 TOTAL 41150 29856 11294 380 0 0 0 0 0 0 0 0 0 0 2 0 0 0 43.591 41.500437 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 21833 hl-extractinstructions.txt 20180825_203315 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_3
20180825_203205 50 1 3 2 100000 967561224 368 10000 51 9757 4753 368 9 10000 1 TOTAL 41332 30054 11278 334 0 0 0 0 0 0 0 0 0 0 2 0 0 0 45.962 43.850167 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 21834 hl-extractinstructions.txt 20180825_203322 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_7
20180825_203202 50 1 3 2 100000 681028781 406 10000 64 9709 4711 406 9 10000 1 TOTAL 40754 29568 11186 367 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.407 48.65167 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 21831 hl-extractinstructions.txt 20180825_203323 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_4
20180825_203203 50 1 3 2 100000 117661523 389 10000 54 9740 4751 389 9 10000 1 TOTAL 41420 30140 11280 346 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.096 49.01208 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 21833 hl-extractinstructions.txt 20180825_203325 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_5
20180825_203208 50 1 3 2 100000 263688301 398 10000 54 9741 4733 398 9 10000 1 TOTAL 41126 29956 11170 349 0 0 0 0 0 0 0 0 0 0 2 0 0 0 47.448 45.762595 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 21834 hl-extractinstructions.txt 20180825_203325 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_9
20180825_203207 50 1 3 2 100000 420477893 399 10000 47 9730 4656 399 9 10000 1 TOTAL 41236 30242 10994 358 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.049 48.259965 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 21833 hl-extractinstructions.txt 20180825_203327 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_8
20180825_203221 50 1 3 3 100000 919028296 130 10000 310 9464 2779 130 9 10000 1 TOTAL 28822 23088 5734 127 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.787 33.856171 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 20313 hl-extractinstructions.txt 20180825_203327 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_1
20180825_203204 50 1 3 2 100000 105731136 403 10000 51 9720 4778 403 9 10000 1 TOTAL 41097 29823 11274 364 0 0 0 0 0 0 0 0 0 0 2 0 0 0 52.688 50.665459 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 21834 hl-extractinstructions.txt 20180825_203327 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_6
20180825_203222 50 1 3 3 100000 103765041 109 10000 298 9493 2673 109 9 10000 1 TOTAL 28621 23055 5566 106 0 0 0 0 0 0 0 0 0 0 2 0 0 0 36.357 34.898674 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 20313 hl-extractinstructions.txt 20180825_203329 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_2
20180825_203224 50 1 3 3 100000 681028781 135 10000 312 9462 2710 135 9 10000 1 TOTAL 28837 23095 5742 126 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.058 33.483617 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 20313 hl-extractinstructions.txt 20180825_203329 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_4
20180825_203223 50 1 3 3 100000 141246882 131 10000 314 9479 2787 131 9 10000 1 TOTAL 29001 23183 5818 119 0 0 0 0 0 0 0 0 0 0 2 0 0 0 36.580 34.902743 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 20313 hl-extractinstructions.txt 20180825_203330 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_3
20180825_203211 50 1 3 2 100000 711283608 359 10000 46 9732 4647 359 9 10000 1 TOTAL 40910 29706 11204 332 0 0 0 0 0 0 0 0 0 0 2 0 0 0 49.497 47.769095 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed711283608.log 21834 hl-extractinstructions.txt 20180825_203330 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_12
20180825_203225 50 1 3 3 100000 117661523 129 10000 315 9467 2818 129 9 10000 1 TOTAL 29031 23165 5866 115 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.906 34.268285 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 20313 hl-extractinstructions.txt 20180825_203331 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_5
20180825_203226 50 1 3 3 100000 105731136 133 10000 340 9407 2677 133 9 10000 1 TOTAL 28806 23192 5614 122 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.290 33.81799 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 20311 hl-extractinstructions.txt 20180825_203332 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_6
20180825_203209 50 1 3 2 100000 50746969 382 10000 53 9726 4673 382 9 10000 1 TOTAL 40963 29881 11082 340 0 0 0 0 0 0 0 0 0 0 2 0 0 0 53.453 51.76243 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 21830 hl-extractinstructions.txt 20180825_203332 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_10
20180825_203210 50 1 3 2 100000 533657980 405 10000 46 9728 4704 405 9 10000 1 TOTAL 41310 30102 11208 364 0 0 0 0 0 0 0 0 0 0 2 0 0 0 52.447 50.718905 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed533657980.log 21835 hl-extractinstructions.txt 20180825_203332 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_11
20180825_203227 50 1 3 3 100000 967561224 113 10000 287 9506 2757 113 9 10000 1 TOTAL 28911 23241 5670 100 0 0 0 0 0 0 0 0 0 0 2 0 0 0 34.947 33.310382 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 20313 hl-extractinstructions.txt 20180825_203332 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_7
20180825_203212 50 1 3 2 100000 597296547 378 10000 46 9762 4737 378 9 10000 1 TOTAL 41368 30140 11228 340 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.333 49.935836 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed597296547.log 21837 hl-extractinstructions.txt 20180825_203333 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 d3434c8fb389a5a2057b1f2dc65b4133a0ec1f6a_13
20180825_203228 50 1 3 3 100000 420477893 133 10000 302 9481 2739 133 9 10000 1 TOTAL 29105 23449 5656 120 0 0 0 0 0 0 0 0 0 0 2 0 0 0 34.781 33.076022 ../hl201808/COPIES5SUFFICES/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 20313 hl-extractinstructions.txt 20180825_203333 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 9734572f8df320e0085812998f969ca445a3a540_8
