timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180826_195944 50 1 5 3 100000 967561224 2 10000 9 9989 1651 2 9 10000 1 TOTAL 59141 54028 5113 2 2500 50 0 1000 139 0 0 0 0 0 2 0 0 0 86.123 83.834309 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 24554 hl-extractinstructions.txt 20180826_200141 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_7
20180826_195939 50 1 5 3 100000 103765041 2 10000 16 9981 1689 2 9 10000 1 TOTAL 58697 53715 4982 2 2500 50 0 1000 158 0 0 0 0 0 2 0 0 0 93.947 91.883918 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 24557 hl-extractinstructions.txt 20180826_200143 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_2
20180826_195938 50 1 5 3 100000 919028296 7 10000 3 9991 1804 7 9 10000 1 TOTAL 60417 54989 5428 7 2500 50 0 1000 177 0 0 0 0 0 2 0 0 0 95.331 93.129882 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 24563 hl-extractinstructions.txt 20180826_200143 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_1
20180826_195942 50 1 5 3 100000 117661523 7 10000 5 9990 1787 7 9 10000 1 TOTAL 60260 54960 5300 6 2500 50 0 1000 166 0 0 0 0 0 2 0 0 0 91.405 88.927941 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 24558 hl-extractinstructions.txt 20180826_200144 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_5
20180826_195941 50 1 5 3 100000 681028781 2 10000 5 9990 1647 2 9 10000 1 TOTAL 59271 54380 4891 2 2500 50 0 1000 178 0 0 0 0 0 2 0 0 0 95.983 93.592261 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 24558 hl-extractinstructions.txt 20180826_200147 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_4
20180826_195940 50 1 5 3 100000 141246882 5 10000 6 9991 1770 5 9 10000 1 TOTAL 59371 54077 5294 4 2500 50 0 1000 163 0 0 0 0 0 2 0 0 0 98.279 95.925847 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 24559 hl-extractinstructions.txt 20180826_200148 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_3
20180826_195947 50 1 5 3 100000 50746969 3 10000 6 9990 1785 3 9 10000 1 TOTAL 60353 54904 5449 2 2500 50 0 1000 168 0 0 0 0 0 2 0 0 0 91.137 88.805962 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 24558 hl-extractinstructions.txt 20180826_200149 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_10
20180826_195916 50 1 5 2 100000 919028296 25 10000 1 9993 4042 25 9 10000 1 TOTAL 85161 71085 14076 24 2500 50 0 1000 169 0 0 0 0 0 2 0 0 0 122.806 120.758476 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif2_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 24612 hl-extractinstructions.txt 20180826_200149 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 87352d6d1e32321405b514074bb152bc529ed86e_1
20180826_195945 50 1 5 3 100000 420477893 8 10000 6 9991 1715 8 9 10000 1 TOTAL 59518 54204 5314 8 2500 50 0 1000 149 0 0 0 0 0 2 0 0 0 95.595 93.047166 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 24557 hl-extractinstructions.txt 20180826_200151 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_8
20180826_195946 50 1 5 3 100000 263688301 1 10000 3 9993 1877 1 9 10000 1 TOTAL 61927 56210 5717 1 2500 50 0 1000 187 0 0 0 0 0 2 0 0 0 97.629 95.396807 ../hl201808/GLITCHERRORRATES/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf2500i50d0m1000_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 24562 hl-extractinstructions.txt 20180826_200154 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6b03b4d8c95ed64abb48ed2c54db8c2c0a3214f2_9
