timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180826_163541 5 1 5 2 100000 919028296 0 10000 4206 5791 5 0 9 10000 1 TOTAL 7722 7707 15 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.627 13.361713 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 21919 hl-extractinstructions.txt 20180826_163625 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_1
20180826_163542 5 1 5 2 100000 103765041 0 10000 4193 5807 4 0 9 10000 1 TOTAL 7685 7679 6 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.710 13.438177 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 21917 hl-extractinstructions.txt 20180826_163626 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_2
20180826_163543 5 1 5 2 100000 141246882 0 10000 4190 5805 6 0 9 10000 1 TOTAL 7634 7616 18 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.659 13.384391 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 21919 hl-extractinstructions.txt 20180826_163627 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_3
20180826_163544 5 1 5 2 100000 681028781 0 10000 4233 5765 3 0 9 10000 1 TOTAL 7643 7634 9 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.693 13.410561 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 21917 hl-extractinstructions.txt 20180826_163628 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_4
20180826_163545 5 1 5 2 100000 117661523 0 10000 4213 5785 4 0 9 10000 1 TOTAL 7824 7812 12 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.684 13.428079 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 21919 hl-extractinstructions.txt 20180826_163629 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_5
20180826_163546 5 1 5 2 100000 105731136 0 10000 4181 5819 5 0 9 10000 1 TOTAL 7730 7715 15 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.838 13.563005 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 21919 hl-extractinstructions.txt 20180826_163631 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_6
20180826_163547 5 1 5 2 100000 967561224 0 10000 4159 5837 6 0 9 10000 1 TOTAL 7865 7847 18 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.680 13.397544 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 21919 hl-extractinstructions.txt 20180826_163631 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_7
20180826_163548 5 1 5 2 100000 420477893 0 10000 4166 5833 2 0 9 10000 1 TOTAL 7753 7747 6 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.901 13.614517 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 21917 hl-extractinstructions.txt 20180826_163633 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_8
20180826_163549 5 1 5 2 100000 263688301 0 10000 4191 5807 4 0 9 10000 1 TOTAL 7764 7752 12 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.791 13.493411 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 21919 hl-extractinstructions.txt 20180826_163634 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_9
20180826_163550 5 1 5 2 100000 50746969 0 10000 4212 5786 3 0 9 10000 1 TOTAL 7663 7654 9 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 14.849 13.573068 ../hl201808/LARGEDOCTARGETS/log/doc5cop5shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 21916 hl-extractinstructions.txt 20180826_163635 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 7aaf894494dd456f82d15060e437ad690fc3a6a1_10
