timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180924_153453 5 1 1 2 100000 919028296 1564 10000 8436 0 0 1564 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.871 1.422 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 24437 hl-extractinstructions.txt 20180924_153525 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_1
20180924_153454 5 1 1 2 100000 103765041 1605 10000 8395 0 0 1605 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.870 1.422 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 24438 hl-extractinstructions.txt 20180924_153526 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_2
20180924_153455 5 1 1 2 100000 141246882 1583 10000 8417 0 0 1583 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.882 1.436 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 24438 hl-extractinstructions.txt 20180924_153527 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_3
20180924_153456 5 1 1 2 100000 681028781 1591 10000 8409 0 0 1591 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.900 1.451 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 24438 hl-extractinstructions.txt 20180924_153528 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_4
20180924_153458 5 1 1 2 100000 117661523 1596 10000 8404 0 0 1596 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.879 1.434 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 24438 hl-extractinstructions.txt 20180924_153529 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_5
20180924_153459 5 1 1 2 100000 105731136 1590 10000 8410 0 0 1590 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.869 1.418 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 24438 hl-extractinstructions.txt 20180924_153530 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_6
20180924_153500 5 1 1 2 100000 967561224 1548 10000 8452 0 0 1548 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.887 1.440 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 24438 hl-extractinstructions.txt 20180924_153532 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_7
20180924_153501 5 1 1 2 100000 420477893 1599 10000 8401 0 0 1599 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.908 1.452 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 24438 hl-extractinstructions.txt 20180924_153533 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_8
20180924_153502 5 1 1 2 100000 263688301 1600 10000 8400 0 0 1600 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.876 1.425 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 24438 hl-extractinstructions.txt 20180924_153534 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_9
20180924_153503 5 1 1 2 100000 50746969 1578 10000 8422 0 0 1578 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.878 1.431 ../hl201809/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 24436 hl-extractinstructions.txt 20180924_153535 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.356 6a683aba3228cffd4de56a898586e081180de71b_10
