timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180826_155200 5 1 1 2 100000 919028296 1564 10000 8436 0 0 1564 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.837 1.399876 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 18466 hl-extractinstructions.txt 20180826_155232 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_1
20180826_155201 5 1 1 2 100000 103765041 1605 10000 8395 0 0 1605 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.860 1.41554 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 18464 hl-extractinstructions.txt 20180826_155233 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_2
20180826_155202 5 1 1 2 100000 141246882 1583 10000 8417 0 0 1583 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.870 1.427514 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 18466 hl-extractinstructions.txt 20180826_155234 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_3
20180826_155203 5 1 1 2 100000 681028781 1591 10000 8409 0 0 1591 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.891 1.44789 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 18464 hl-extractinstructions.txt 20180826_155235 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_4
20180826_155204 5 1 1 2 100000 117661523 1596 10000 8404 0 0 1596 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.907 1.461684 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 18466 hl-extractinstructions.txt 20180826_155236 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_5
20180826_155205 5 1 1 2 100000 105731136 1590 10000 8410 0 0 1590 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.866 1.424435 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 18466 hl-extractinstructions.txt 20180826_155237 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_6
20180826_155206 5 1 1 2 100000 967561224 1548 10000 8452 0 0 1548 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.855 1.419018 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 18466 hl-extractinstructions.txt 20180826_155238 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_7
20180826_155207 5 1 1 2 100000 420477893 1599 10000 8401 0 0 1599 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.882 1.440528 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 18466 hl-extractinstructions.txt 20180826_155239 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_8
20180826_155208 5 1 1 2 100000 263688301 1600 10000 8400 0 0 1600 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.880 1.437256 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 18466 hl-extractinstructions.txt 20180826_155240 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_9
20180826_155209 5 1 1 2 100000 50746969 1578 10000 8422 0 0 1578 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.845 1.404674 ../hl201808/LARGEDOCTARGETS/log/doc5cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 18465 hl-extractinstructions.txt 20180826_155241 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 6a683aba3228cffd4de56a898586e081180de71b_10
