timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20191015_231347 50 1 1 2 300000 862415775 9953 10000 47 0 0 9953 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 5.849 5.467 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed862415775.log 35699 hl-extractinstructions.txt 20191015_231353 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 d34f804dc28678317b6fde87aae762dba75e10ad_1
20191015_231347 50 1 1 2 300000 616603922 9942 10000 58 0 0 9942 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 5.939 5.557 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed616603922.log 35699 hl-extractinstructions.txt 20191015_231353 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 d34f804dc28678317b6fde87aae762dba75e10ad_2
20191015_231407 50 1 1 3 300000 364192286 9699 10000 301 0 0 9699 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.740 7.992 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed364192286.log 35699 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_12
20191015_231407 50 1 1 3 300000 616603922 9678 10000 322 0 0 9678 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.736 7.991 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed616603922.log 35697 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_2
20191015_231407 50 1 1 3 300000 133671816 9664 10000 336 0 0 9664 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.806 8.057 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed133671816.log 35697 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_8
20191015_231407 50 1 1 3 300000 521589958 9696 10000 304 0 0 9696 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.813 8.077 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed521589958.log 35696 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_6
20191015_231407 50 1 1 3 300000 862415775 9710 10000 290 0 0 9710 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.807 8.073 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed862415775.log 35697 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_1
20191015_231407 50 1 1 3 300000 209425884 9675 10000 325 0 0 9675 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.818 8.069 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed209425884.log 35697 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_9
20191015_231407 50 1 1 3 300000 751552608 9671 10000 329 0 0 9671 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.826 8.071 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed751552608.log 35697 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_4
20191015_231407 50 1 1 3 300000 993928726 9691 10000 309 0 0 9691 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.819 8.072 ../hl20191008/NOAUDIT30/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen300000_seed993928726.log 35697 hl-extractinstructions.txt 20191015_231416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 bcd8b9b0ae94a7682603d9c89784f0679d98ad8b_7
