timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20191015_224943 50 1 1 2 500000 616603922 9998 10000 2 0 0 9998 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.275 7.891 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed616603922.log 35700 hl-extractinstructions.txt 20191015_224951 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 6b74a1610f4f7a79850afbf126e8f09ba35e376b_2
20191015_224943 50 1 1 2 500000 160211880 9999 10000 1 0 0 9999 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.308 7.922 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed160211880.log 35700 hl-extractinstructions.txt 20191015_224951 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 6b74a1610f4f7a79850afbf126e8f09ba35e376b_3
20191015_224943 50 1 1 2 500000 751552608 10000 10000 0 0 0 10000 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.378 7.989 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed751552608.log 35704 hl-extractinstructions.txt 20191015_224951 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 6b74a1610f4f7a79850afbf126e8f09ba35e376b_4
20191015_224943 50 1 1 2 500000 862415775 9999 10000 1 0 0 9999 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 8.446 8.057 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed862415775.log 35700 hl-extractinstructions.txt 20191015_224951 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 6b74a1610f4f7a79850afbf126e8f09ba35e376b_1
20191015_225003 50 1 1 3 500000 862415775 9972 10000 28 0 0 9972 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 12.013 11.272 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed862415775.log 35702 hl-extractinstructions.txt 20191015_225015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 72a09526ff35c64bf2fdf921196023f708c80fb0_1
20191015_225003 50 1 1 3 500000 209425884 9963 10000 37 0 0 9963 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 11.956 11.343 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed209425884.log 35702 hl-extractinstructions.txt 20191015_225015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 72a09526ff35c64bf2fdf921196023f708c80fb0_9
20191015_225003 50 1 1 3 500000 160211880 9972 10000 28 0 0 9972 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 12.082 11.376 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed160211880.log 35702 hl-extractinstructions.txt 20191015_225015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 72a09526ff35c64bf2fdf921196023f708c80fb0_3
20191015_225003 50 1 1 3 500000 880215307 9977 10000 23 0 0 9977 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 12.141 11.390 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed880215307.log 35704 hl-extractinstructions.txt 20191015_225015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 72a09526ff35c64bf2fdf921196023f708c80fb0_13
20191015_225003 50 1 1 3 500000 616603922 9970 10000 30 0 0 9970 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 12.121 11.311 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed616603922.log 35702 hl-extractinstructions.txt 20191015_225015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 72a09526ff35c64bf2fdf921196023f708c80fb0_2
20191015_225003 50 1 1 3 500000 105327160 9971 10000 29 0 0 9971 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 12.090 11.345 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed105327160.log 35704 hl-extractinstructions.txt 20191015_225015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 72a09526ff35c64bf2fdf921196023f708c80fb0_14
20191015_225003 50 1 1 3 500000 993928726 9961 10000 39 0 0 9961 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 12.192 11.387 ../hl20191008/NOAUDIT50/log/doc50cop1shlf1lif3_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen500000_seed993928726.log 35702 hl-extractinstructions.txt 20191015_225015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.374 72a09526ff35c64bf2fdf921196023f708c80fb0_7
