timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180829_144759 50 1 4 3 300000 919028296 326 10000 0 9991 9753 326 29 10000 1 TOTAL 111955 101029 10926 323 0 0 0 0 0 200000 30000 50 10000 2 2 7 11 69 171.344 169.694 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed919028296.log 35833 hl-extractinstructions.txt 20180829_145121 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_1
20180829_144801 50 1 4 3 300000 141246882 220 10000 0 9978 9818 220 29 10000 1 TOTAL 115632 106781 8851 216 0 0 0 0 0 200000 30000 50 10000 2 2 7 8 70 186.060 184.258 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed141246882.log 35284 hl-extractinstructions.txt 20180829_145138 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_3
20180829_144800 50 1 4 3 300000 103765041 194 10000 0 9996 9834 194 29 10000 1 TOTAL 119467 112317 7150 191 0 0 0 0 0 200000 30000 50 10000 2 2 5 5 74 193.807 191.678 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed103765041.log 33787 hl-extractinstructions.txt 20180829_145144 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_2
20180829_144741 50 1 4 2 300000 681028781 1141 10000 0 9973 9405 1141 29 10000 1 TOTAL 148794 123935 24859 1134 0 0 0 0 0 200000 30000 50 10000 2 2 10 15 75 214.208 211.892 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed681028781.log 39489 hl-extractinstructions.txt 20180829_145145 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 4133a4efd6b674f04839729e439079645b5a9c23_4
20180829_144802 50 1 4 3 300000 681028781 131 10000 0 9984 9885 131 29 10000 1 TOTAL 117948 110475 7473 129 0 0 0 0 0 200000 30000 50 10000 2 2 7 7 69 199.067 197.221 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed681028781.log 34261 hl-extractinstructions.txt 20180829_145152 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_4
20180829_144807 50 1 4 3 300000 420477893 134 10000 0 9986 9889 134 29 10000 1 TOTAL 117015 108966 8049 132 0 0 0 0 0 200000 30000 50 10000 2 2 5 8 70 197.255 194.959 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed420477893.log 34770 hl-extractinstructions.txt 20180829_145154 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_8
20180829_144803 50 1 4 3 300000 117661523 122 10000 0 9992 9892 122 29 10000 1 TOTAL 118917 111838 7079 114 0 0 0 0 0 200000 30000 50 10000 2 2 8 7 58 201.217 198.902 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed117661523.log 33665 hl-extractinstructions.txt 20180829_145155 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_5
20180829_144809 50 1 4 3 300000 50746969 93 10000 0 9991 9916 93 29 10000 1 TOTAL 120339 113789 6550 90 0 0 0 0 0 200000 30000 50 10000 2 2 3 5 68 196.208 194.123 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed50746969.log 33202 hl-extractinstructions.txt 20180829_145155 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_10
20180829_144806 50 1 4 3 300000 967561224 187 10000 0 9997 5683 187 29 10000 1 TOTAL 120829 114034 6795 186 0 0 0 0 0 200000 30000 50 10000 2 2 2 4 70 199.685 197.544 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed967561224.log 33728 hl-extractinstructions.txt 20180829_145155 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 94575edde98351dd4da1056e3a125531e6fcda3a_7
20180829_144754 50 1 4 2 300000 376517787 1193 10000 0 9969 9381 1193 29 10000 1 TOTAL 152092 129106 22986 1185 0 0 0 0 0 200000 30000 50 10000 2 2 8 12 72 216.897 214.703 ../hl201808/ONEPCTLONGTERM/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s2m10000_svrdeflif200000simlen300000_seed376517787.log 36925 hl-extractinstructions.txt 20180829_145201 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.292 4133a4efd6b674f04839729e439079645b5a9c23_17
