timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180825_234200 50 1 3 2 100000 919028296 968 10000 60 9272 5218 968 9 10000 10 UNIFORM 37746 25010 12736 896 0 0 0 0 0 0 0 0 0 0 2 0 0 0 36.273 34.580088 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed919028296.log 21829 hl-extractinstructions.txt 20180825_234306 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_1
20180825_234201 50 1 3 2 100000 103765041 992 10000 54 9297 5161 992 9 10000 10 UNIFORM 37377 24901 12476 880 0 0 0 0 0 0 0 0 0 0 2 0 0 0 38.187 36.394418 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed103765041.log 21829 hl-extractinstructions.txt 20180825_234309 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_2
20180825_234202 50 1 3 2 100000 141246882 967 10000 63 9299 5267 967 9 10000 10 UNIFORM 37816 24958 12858 887 0 0 0 0 0 0 0 0 0 0 2 0 0 0 37.969 36.004587 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed141246882.log 21829 hl-extractinstructions.txt 20180825_234310 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_3
20180825_234203 50 1 3 2 100000 681028781 960 10000 58 9321 5240 960 9 10000 10 UNIFORM 37648 24900 12748 870 0 0 0 0 0 0 0 0 0 0 2 0 0 0 38.590 36.402657 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed681028781.log 21829 hl-extractinstructions.txt 20180825_234312 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_4
20180825_234204 50 1 3 2 100000 117661523 992 10000 52 9317 5317 992 9 10000 10 UNIFORM 38011 25215 12796 897 0 0 0 0 0 0 0 0 0 0 2 0 0 0 38.786 37.064695 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed117661523.log 21829 hl-extractinstructions.txt 20180825_234313 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_5
20180825_234206 50 1 3 2 100000 967561224 990 10000 64 9284 5160 990 9 10000 10 UNIFORM 37511 25117 12394 906 0 0 0 0 0 0 0 0 0 0 2 0 0 0 40.640 38.561886 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed967561224.log 21829 hl-extractinstructions.txt 20180825_234317 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_7
20180825_234205 50 1 3 2 100000 105731136 967 10000 51 9347 5172 967 9 10000 10 UNIFORM 37658 25024 12634 887 0 0 0 0 0 0 0 0 0 0 2 0 0 0 43.792 41.776179 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed105731136.log 21829 hl-extractinstructions.txt 20180825_234319 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_6
20180825_234208 50 1 3 2 100000 263688301 1022 10000 58 9247 5121 1022 9 10000 10 UNIFORM 37333 24883 12450 962 0 0 0 0 0 0 0 0 0 0 2 0 0 0 41.573 39.967755 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed263688301.log 21831 hl-extractinstructions.txt 20180825_234320 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_9
20180825_234210 50 1 3 2 100000 533657980 1037 10000 67 9240 5104 1037 9 10000 10 UNIFORM 37231 24915 12316 955 0 0 0 0 0 0 0 0 0 0 2 0 0 0 41.238 39.413899 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed533657980.log 21832 hl-extractinstructions.txt 20180825_234321 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_11
20180825_234207 50 1 3 2 100000 420477893 934 10000 52 9323 5156 934 9 10000 10 UNIFORM 37628 25272 12356 860 0 0 0 0 0 0 0 0 0 0 2 0 0 0 46.288 44.534995 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed420477893.log 21829 hl-extractinstructions.txt 20180825_234323 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_8
20180825_234209 50 1 3 2 100000 50746969 958 10000 46 9285 5195 958 9 10000 10 UNIFORM 37510 24830 12680 872 0 0 0 0 0 0 0 0 0 0 2 0 0 0 46.606 44.70882 ../hl201808/RANDOMCONTRAST/log/doc50cop3shlf1lif2_af10000s10tUNIFORM_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen0_seed50746969.log 21826 hl-extractinstructions.txt 20180825_234326 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.060 15c4552736d4937f82f29df7c9d5e568fccaf704_10
