timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181127_222535 50 1 5 10000 100000 919028296 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 10000 0 0 0 0 2 0 0 36 168 0.181 0.034 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed919028296.log 56053 hl-extractinstructions.txt 20181127_222535 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_1
20181127_222536 50 1 5 10000 100000 103765041 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 17 154 0.104 0.035 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed103765041.log 46040 hl-extractinstructions.txt 20181127_222536 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_2
20181127_222537 50 1 5 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 5 150 0.057 0.014 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed141246882.log 40074 hl-extractinstructions.txt 20181127_222537 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_3
20181127_222538 50 1 5 10000 100000 681028781 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 5 150 0.056 0.014 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed681028781.log 40094 hl-extractinstructions.txt 20181127_222538 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_4
20181127_222539 50 1 5 10000 100000 117661523 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 12 150 0.062 0.018 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed117661523.log 43549 hl-extractinstructions.txt 20181127_222539 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_5
20181127_222539 50 1 5 10000 100000 105731136 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 24 159 0.074 0.025 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed105731136.log 49569 hl-extractinstructions.txt 20181127_222540 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_6
20181127_222540 50 1 5 10000 100000 967561224 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 18 150 0.066 0.021 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed967561224.log 46503 hl-extractinstructions.txt 20181127_222540 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_7
20181127_222541 50 1 5 10000 100000 420477893 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 27 161 0.074 0.026 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed420477893.log 51059 hl-extractinstructions.txt 20181127_222541 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_8
20181127_222542 50 1 5 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 10000 0 0 0 0 2 0 0 31 166 0.078 0.029 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed263688301.log 53581 hl-extractinstructions.txt 20181127_222542 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_9
20181127_222543 50 1 5 10000 100000 50746969 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 10000 0 0 0 0 2 0 0 22 157 0.077 0.026 ../hl/testsdhl/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif10000simlen0_seed50746969.log 48531 hl-extractinstructions.txt 20181127_222543 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 2cbfbe1ea3a1264f74c1da80891137c3059cfd67_10
