timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20191027_201702 50 1 5 10000 300000 862415775 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 17 147 0.464 0.404 20191027_201703
20191027_201702 50 1 5 10000 300000 751552608 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 17 148 0.544 0.477 20191027_201703
20191027_201702 50 1 5 10000 300000 616603922 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 16 146 0.480 0.422 20191027_201703
20191027_201702 50 1 5 10000 300000 880215307 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 19 151 0.377 0.305 20191027_201703
20191027_201702 50 1 5 10000 300000 209425884 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 22 149 0.411 0.335 20191027_201703
20191027_201702 50 1 5 10000 300000 160211880 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 25 148 0.576 0.510 20191027_201703
20191027_201702 50 1 5 10000 300000 521589958 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 27 157 0.528 0.460 20191027_201703
20191027_201702 50 1 5 10000 300000 993928726 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 17 151 0.561 0.446 20191027_201703
20191027_201702 50 1 5 10000 300000 790002907 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 20 150 0.609 0.525 20191027_201703
20191027_201702 50 1 5 10000 300000 480102295 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 28 152 0.478 0.377 20191027_201703
20191027_201702 50 1 5 10000 300000 106595100 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 16 145 0.469 0.398 20191027_201703
20191027_201702 50 1 5 10000 300000 133671816 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 20 150 0.605 0.528 20191027_201703
20191027_201702 50 1 5 10000 300000 391467625 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 20 149 0.582 0.510 20191027_201703
20191027_201702 50 1 5 10000 300000 364192286 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 19 150 0.667 0.548 20191027_201703
20191027_201702 50 1 5 10000 300000 761862692 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 24 148 0.544 0.459 20191027_201703
20191027_201702 50 1 5 10000 300000 257388880 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 14 150 0.640 0.524 20191027_201703
20191027_201702 50 1 5 10000 300000 105327160 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 24 151 0.679 0.544 20191027_201703
20191027_201702 50 1 5 10000 300000 631064730 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 22 150 0.641 0.524 20191027_201703
20191027_201702 50 1 5 10000 300000 124134630 0 30 0 29 10000 4 SYSTEMATIC 0 0 0 0 0 50000 0 0 0 0 2 0 0 27 153 0.568 0.502 20191027_201703
