timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180928_123941 50 1 3 10000 100000 919028296 0 10 0 10 0 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 5 3 52 0.359 0.141 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed919028296.log 28460 hl-extractinstructions.txt 20180928_124013 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_1
20180928_123943 50 1 3 10000 100000 103765041 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 4 4 58 0.398 0.203 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed103765041.log 28987 hl-extractinstructions.txt 20180928_124015 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_2
20180928_123945 50 1 3 10000 100000 141246882 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 2 4 52 0.391 0.125 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed141246882.log 28937 hl-extractinstructions.txt 20180928_124017 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_3
20180928_123947 50 1 3 10000 100000 681028781 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 4 5 60 0.375 0.218 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed681028781.log 29490 hl-extractinstructions.txt 20180928_124020 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_4
20180928_123949 50 1 3 10000 100000 117661523 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 4 6 44 0.252 0.141 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed117661523.log 29885 hl-extractinstructions.txt 20180928_124021 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_5
20180928_124001 50 1 3 10000 100000 105731136 0 10 0 10 0 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 3 3 49 0.287 0.157 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed105731136.log 28428 hl-extractinstructions.txt 20180928_124032 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_6
20180928_124055 50 1 3 10000 100000 967561224 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 6 6 60 0.355 0.187 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed967561224.log 30000 hl-extractinstructions.txt 20180928_124127 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_7
20180928_124107 50 1 3 10000 100000 420477893 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 5 4 54 0.320 0.172 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed420477893.log 28960 hl-extractinstructions.txt 20180928_124138 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_8
20180928_124109 50 1 3 10000 100000 263688301 0 10 0 10 0 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 4 3 51 0.671 0.328 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed263688301.log 28448 hl-extractinstructions.txt 20180928_124141 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_9
20180928_124110 50 1 3 10000 100000 50746969 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 3 4 56 0.303 0.141 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed50746969.log 28966 hl-extractinstructions.txt 20180928_124142 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_10
20180928_124122 50 1 3 10000 100000 533657980 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 3 6 55 0.225 0.125 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed533657980.log 29932 hl-extractinstructions.txt 20180928_124154 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_11
20180928_124134 50 1 3 10000 100000 711283608 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 100000 10000 80 10000 1 2 5 4 49 0.209 0.093 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed711283608.log 27474 hl-extractinstructions.txt 20180928_124206 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_12
20180928_124207 50 1 3 10000 100000 597296547 0 10 0 10 0 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 100000 10000 80 10000 1 2 2 2 54 0.232 0.094 ../hl/test/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i80s1m10000_svrdeflif100000simlen0_seed597296547.log 27976 hl-extractinstructions.txt 20180928_124239 0.6_20170522 GenuineIntel_fam6mod69step1cor2spd2394.000 51142eb63b90f921ab239e45fcc67ecb69f2c7ae_13
