timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181002_033833 50 1 3 10000 100000 919028296 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 2 2 5 5 97 0.049 0.016 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed919028296.log 28237 hl-extractinstructions.txt 20181002_033903 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_1
20181002_033834 50 1 3 10000 100000 103765041 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 2 7 97 0.055 0.020 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed103765041.log 30676 hl-extractinstructions.txt 20181002_033904 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_2
20181002_033835 50 1 3 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 2 2 5 3 97 0.046 0.013 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed141246882.log 27249 hl-extractinstructions.txt 20181002_033905 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_3
20181002_033836 50 1 3 10000 100000 681028781 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 2 2 4 5 97 0.048 0.014 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed681028781.log 28222 hl-extractinstructions.txt 20181002_033906 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_4
20181002_033837 50 1 3 10000 100000 117661523 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 5 15 100 0.060 0.025 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed117661523.log 34200 hl-extractinstructions.txt 20181002_033907 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_5
20181002_033838 50 1 3 10000 100000 105731136 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 5 15 105 0.060 0.024 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed105731136.log 33745 hl-extractinstructions.txt 20181002_033908 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_6
20181002_033839 50 1 3 10000 100000 967561224 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 3 12 102 0.057 0.022 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed967561224.log 32238 hl-extractinstructions.txt 20181002_033909 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_7
20181002_033840 50 1 3 10000 100000 420477893 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 6 11 98 0.059 0.023 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed420477893.log 32678 hl-extractinstructions.txt 20181002_033910 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_8
20181002_033841 50 1 3 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 10000 50 10000 2 2 2 7 96 0.054 0.020 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed263688301.log 30665 hl-extractinstructions.txt 20181002_033911 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_9
20181002_033842 50 1 3 10000 100000 50746969 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 10000 50 10000 2 2 5 3 98 0.047 0.014 ../hl201810/SHOCKSPAN1/log/doc50cop3shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m10000_svrdeflif20000simlen0_seed50746969.log 27246 hl-extractinstructions.txt 20181002_033912 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.022 03e9e370a99cc7da642077e905ecb5207031efe0_10
